"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"AGO","PMC co-delivery with EPI only",5,"Bengo","0-1yr",4069.27796178626,8536.60864402853,12605.8866058148
"AGO","PMC co-delivery with EPI only",5,"Bengo","0-1yr",2576.3801761152,6639.7039813115,9216.0841574267
"AGO","PMC co-delivery with EPI only",5,"Bengo","0-1yr",1823.84055834685,4763.72412627429,6587.56468462114
"AGO","PMC co-delivery with EPI only",5,"Bengo","0-1yr",3067.6139539344,7427.31180978249,10494.9257637169
"AGO","PMC co-delivery with EPI only",5,"Bengo","1-2yr",1170.17267315792,4230.93919109887,5401.11186425679
"AGO","PMC co-delivery with EPI only",5,"Benguela","0-1yr",16475.6069321532,34643.0859877162,51118.6929198694
"AGO","PMC co-delivery with EPI only",5,"Benguela","0-1yr",12919.4716838302,28101.2975320649,41020.7692158952
"AGO","PMC co-delivery with EPI only",5,"Benguela","0-1yr",7917.08452131673,21781.2714630917,29698.3559844084
"AGO","PMC co-delivery with EPI only",5,"Benguela","0-1yr",5023.64643726715,29155.0961895174,34178.7426267845
"AGO","PMC co-delivery with EPI only",5,"Benguela","1-2yr",1955.98558761943,14036.2526095099,15992.2381971293
"AGO","PMC co-delivery with EPI only",5,"Bie","0-1yr",16797.1995494095,4721.43694345835,21518.6364928678
"AGO","PMC co-delivery with EPI only",5,"Bie","0-1yr",11690.3585227216,3580.96063667608,15271.3191593976
"AGO","PMC co-delivery with EPI only",5,"Bie","0-1yr",6357.60737218962,2416.10879602312,8773.71616821274
"AGO","PMC co-delivery with EPI only",5,"Bie","0-1yr",5581.60803469945,2701.99757131013,8283.60560600959
"AGO","PMC co-delivery with EPI only",5,"Bie","1-2yr",979.147288276131,1061.49904587184,2040.64633414797
"AGO","PMC co-delivery with EPI only",5,"Cabinda","0-1yr",5535.49216344072,40805.6879430029,46341.1801064436
"AGO","PMC co-delivery with EPI only",5,"Cabinda","0-1yr",4483.12333332931,32587.4009572265,37070.5242905558
"AGO","PMC co-delivery with EPI only",5,"Cabinda","0-1yr",3065.2052558112,25834.7818984043,28899.9871542155
"AGO","PMC co-delivery with EPI only",5,"Cabinda","0-1yr",3717.90394909715,32748.0651514601,36465.9691005572
"AGO","PMC co-delivery with EPI only",5,"Cabinda","1-2yr",1069.257647376,8095.80481174203,9165.06245911803
