Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,scenario,Scenario
Angola,AGO,0-30mo,Bengo,raw cases,5,4777.12158576166,357.332155663172,171.858697691958,12.8551550998344,225.690321959443,17.7604745199107,8.11929194543296,0.638939571996767,4551.43126380221,339.571681143261,163.739405746525,12.2162155278376,4.72439978568096,4.97029842918813,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Benguela,raw cases,5,16060.8527200557,1198.60162111335,165.80875031167,12.3741024453935,751.022551158921,55.9843516421802,7.75339347381245,0.577970269984942,15309.8301688968,1142.61726947117,158.055356837857,11.7961321754086,4.67610633289162,4.67080560012739,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Bie,raw cases,5,59765.4835285531,2431.75660785573,1197.21378845244,48.7126074985122,1778.88043142724,102.28831304925,35.6342834488312,2.04902514879839,57986.6030971258,2329.46829480648,1161.57950500361,46.6635823497138,2.97643443406156,4.20635489254186,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Cabinda,raw cases,5,27199.5513370432,1687.41441847544,378.932350666026,23.5083257152782,1823.38930800469,119.765065813314,25.4026688933108,1.66851494548379,25376.1620290385,1567.64935266213,353.529681772715,21.8398107697944,6.70374773984382,7.09754903727326,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Cuando_Cubango,raw cases,5,21629.4808939483,932.759649998708,1104.90829185701,47.6485717177598,648.137445447101,32.2685269564525,33.1090903775635,1.64838736421877,20981.3434485012,900.491123042255,1071.79920147944,46.0001843535411,2.99654646648703,3.45946857333475,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Cuanza_Norte,raw cases,5,16180.9119745463,714.684564235739,973.92477156419,43.0166731058596,918.789339596284,49.5238931797828,55.3016850403462,2.98082990797815,15262.12263495,665.160671055956,918.623086523844,40.0358431978814,5.67822963898207,6.92947569572069,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Cuanza_Sul,raw cases,5,68195.8772572826,3474.36309981396,748.038755062082,38.1101959875577,3217.16449251508,205.635303168977,35.2889913378732,2.25560814474174,64978.7127647675,3268.72779664498,712.749763724209,35.8545878428159,4.71753516767249,5.91864745455038,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Cunene,raw cases,5,6825.75358918489,515.691003215305,119.451148835432,9.02462738704292,517.680389672035,43.6804978193786,9.05944178440272,0.764411662105051,6308.07319951285,472.010505395927,110.391707051029,8.26021572493787,7.58422323495939,8.47028502475961,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Huambo,raw cases,5,26505.707654374,1690.6919496095,326.583965349469,20.8314710283458,1761.9050851063,134.060917542197,21.7089072575074,1.65180068460062,24743.8025692677,1556.63103206731,304.875058091961,19.1796703437452,6.64726672489178,7.92935209593685,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Huila,raw cases,5,28232.9995565419,2019.40989439511,182.692154454786,13.0673449555193,1535.30564269656,120.459069976638,9.93476782546944,0.779475343155761,26697.6939138453,1898.95082441847,172.757386629317,12.2878696123635,5.43798273938913,5.96506287856533,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Luanda,raw cases,5,73901.8679175548,6550.68851282712,84.813057351184,7.51786032185222,6059.10386502877,539.355565757738,6.95369600366212,0.618988339811978,67842.764052526,6011.33294706938,77.8593613475219,6.89887198204024,8.19885076759946,8.23357063462273,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Lunda_Norte,raw cases,5,27477.6972825474,1420.72976514813,661.723364778651,34.2142964516948,494.964568339434,32.5067560352045,11.9198350662308,0.782834156751434,26982.732714208,1388.22300911293,649.803529712421,33.4314622949433,1.80133205213601,2.28803230794669,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Lunda_Sul,raw cases,5,8788.7146096235,560.354773766399,362.320981028844,23.1010222055595,385.317218449594,28.7335778475791,15.8849750841941,1.18456208633784,8403.3973911739,531.62119591882,346.436005944649,21.9164601192217,4.38422722280318,5.12774749012087,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-30mo,Malanje,raw cases,5,30343.7105863121,1488.08255066822,657.72306629875,32.2553240595656,1739.84067383761,102.196080229223,37.7123733635913,2.2151779710948998,28603.8699124745,1385.886470439,620.010692935158,30.0401460884707,5.7337769185765,6.8676351445242,PMC co-delivery with EPI only,PMC co-delivery with EPI only
