Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,scenario,Scenario
Angola,AGO,n_age_0_6,3,Bengo,raw cases,5,8.58224457492235,0.601262733456718,44.2566782839725,3.10057481191937,0,0,0,0,8.58224457492235,0.601262733456718,44.2566782839725,3.10057481191937,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_7_13,10,Bengo,raw cases,5,11.7188507155663,0.582958722054078,51.8493525780012,2.57926592392317,0,0,0,0,11.7188507155663,0.582958722054078,51.8493525780012,2.57926592392317,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_14_20,17,Bengo,raw cases,5,14.3676714454853,0.955680223230083,63.6374105328947,4.2329068377306,0,0,0,0,14.3676714454853,0.955680223230083,63.6374105328947,4.2329068377306,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_21_27,24,Bengo,raw cases,5,11.7708912251801,1.02863079661869,52.1924390841358,4.56097581445162,0,0,0,0,11.7708912251801,1.02863079661869,52.1924390841358,4.56097581445162,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_28_34,31,Bengo,raw cases,5,11.9340631057664,0.850821837325808,52.974232792493,3.77672161408765,0,0,0,0,11.9340631057664,0.850821837325808,52.974232792493,3.77672161408765,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_35_41,38,Bengo,raw cases,5,14.3226730622887,1.34726494175605,63.6455365917716,5.98682939814615,0,0,0,0,14.3226730622887,1.34726494175605,63.6455365917716,5.98682939814615,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_42_48,45,Bengo,raw cases,5,12.5831859335849,1.61669905235167,55.9718214407604,7.19130998773167,0,0,0,0,12.5831859335849,1.61669905235167,55.9718214407604,7.19130998773167,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_49_55,52,Bengo,raw cases,5,20.5024108718624,0,91.2938869786146,0,0,0,0,0,20.5024108718624,0,91.2938869786146,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_56_62,59,Bengo,raw cases,5,13.8385989760853,0.650301996279696,61.6862323972157,2.89875298360805,0,0,0,0,13.8385989760853,0.650301996279696,61.6862323972157,2.89875298360805,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_63_69,66,Bengo,raw cases,5,19.5636030216089,1.29255224083485,87.3039474423495,5.76810482075794,9.76419178990374,0.686253070572493,43.5733891094194,3.06245234782344,9.79941123170514,0.606299170262357,43.7305583329301,2.7056524729345,PMC co-delivery with EPI only,PMC co-delivery with EPI only
