Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,scenario,Scenario
Angola,AGO,n_age_0_6,3,5,raw cases,0.0564116254949939,0.00294730894921393,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_7_13,10,5,raw cases,0.0620938772642569,0.00533279759449308,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_14_20,17,5,raw cases,0.0711921651381046,0.00634969091068478,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_21_27,24,5,raw cases,0.0664299227743188,0.00683445226397535,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_28_34,31,5,raw cases,0.0845021091248689,0.00705259187927431,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_35_41,38,5,raw cases,0.0829123751108892,0.00547551039563811,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_42_48,45,5,raw cases,0.0971458906312399,0.0110364565913262,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_49_55,52,5,raw cases,0.0938390448164058,0.00628593491659701,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_56_62,59,5,raw cases,0.10914960207915,0.0102469213232822,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_63_69,66,5,raw cases,0.0532431425887385,0.00386651522100193,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_70_76,73,5,raw cases,0.0631100910070196,0.00486048775130381,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_77_83,80,5,raw cases,0.0792018946500335,0.00470197781263179,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_84_90,87,5,raw cases,0.103471382346801,0.006583402508639,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_91_97,94,5,raw cases,0.1131769183349,0.00771748864883398,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_98_104,101,5,raw cases,0.136034707342789,0.00945944841306513,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_105_111,108,5,raw cases,0.150334185531313,0.0118937249602986,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_112_118,115,5,raw cases,0.163214622976322,0.0101087078816518,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_119_125,122,5,raw cases,0.10210106792644,0.00734139542706654,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_126_132,129,5,raw cases,0.106274392496544,0.00627739154270784,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_133_139,136,5,raw cases,0.126264522458355,0.00797430307235476,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_140_146,143,5,raw cases,0.141727397229244,0.0105806705764254,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_147_153,150,5,raw cases,0.156957904079536,0.0110262918254699,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_154_160,157,5,raw cases,0.184769758469617,0.0135046486209198,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_161_167,164,5,raw cases,0.201518189262853,0.0184646656669768,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_168_174,171,5,raw cases,0.21345227985077,0.0172435851954993,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_175_181,178,5,raw cases,0.222369522417272,0.0142222128155614,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_182_188,185,5,raw cases,0.160550618198877,0.013293623236387,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_189_195,192,5,raw cases,0.164543886191491,0.0117120581186425,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_196_202,199,5,raw cases,0.178626709293423,0.0121343592307834,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_203_209,206,5,raw cases,0.194023684689502,0.015158564552306,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_210_216,213,5,raw cases,0.216313330751407,0.0129216063230477,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_217_223,220,5,raw cases,0.225823970934092,0.0180212841652346,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_224_230,227,5,raw cases,0.239373002859163,0.014257860361925,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_231_237,234,5,raw cases,0.238415494787327,0.0179747762215663,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_238_244,241,5,raw cases,0.247317930076854,0.0177468213099794,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_245_251,248,5,raw cases,0.263234793745443,0.0187630663725286,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_252_258,255,5,raw cases,0.265148677931001,0.0193841179737834,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_259_265,262,5,raw cases,0.264896404778223,0.0156744252491073,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_266_272,269,5,raw cases,0.270307413170019,0.0174585622879484,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_273_279,276,5,raw cases,0.165496529483465,0.0113249685087788,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_280_286,283,5,raw cases,0.165423118932522,0.0105804081602662,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_287_293,290,5,raw cases,0.180385327865216,0.0109589083998341,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_294_300,297,5,raw cases,0.211775005927909,0.0134996181180955,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_301_307,304,5,raw cases,0.215060843522371,0.0127316544506773,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_308_314,311,5,raw cases,0.251498552872772,0.0156379677359841,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_315_321,318,5,raw cases,0.252060747785626,0.0165821959110668,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_322_328,325,5,raw cases,0.268837212854733,0.0238363719978279,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_329_335,332,5,raw cases,0.273522302539751,0.0158620362202261,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_336_342,339,5,raw cases,0.2844465348003,0.0197465116930632,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_343_349,346,5,raw cases,0.284216807979899,0.017511553151324,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_350_356,353,5,raw cases,0.288541822447331,0.0175348010863851,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_357_363,360,5,raw cases,0.301403566448268,0.0190011409635683,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_364_370,367,5,raw cases,0.278665189822623,0.0178669555978975,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_371_377,374,5,raw cases,0.301329427253479,0.0168942792513907,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_378_384,381,5,raw cases,0.286898141043036,0.0173064210321786,PMC co-delivery with EPI only,PMC co-delivery with EPI only
