"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",13354.9120597613,1153.98951326208,14508.9015730233
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",13267.989871558,1134.7722873007,14402.7621588587
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",12791.4599716557,1101.80120452541,13893.2611761811
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",13683.3044873143,1163.19204030857,14846.4965276229
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",10495.6203830034,939.454532887311,11435.0749158908
"BDI","PMC co-delivery with EPI only",7,"Bubanza","0-1yr",12131.5325848091,1107.06176205016,13238.5943468592
"BDI","PMC co-delivery with EPI only",7,"Bubanza","1-2yr",8111.24257847212,833.902764856615,8945.14534332874
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1323.7089965938,36723.933951365,38047.6429479588
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1310.22424837465,36356.8202494579,37667.0444978326
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1208.26501735162,33528.1917547719,34736.4567721235
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1345.59636748457,37335.4175324674,38681.013899952
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1041.42725808531,28898.9721307445,29940.3993888298
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","0-1yr",1213.20767168878,33665.7739854043,34878.9816570931
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Mairie","1-2yr",818.988414451517,22726.4296962526,23545.4181107041
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",22715.1838884072,5000.85852229029,27716.0424106975
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",22076.4526405663,4987.50049571657,27063.9531362829
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",21517.9903062836,4784.87657689835,26302.8668831819
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",22920.0447653074,4972.99028082171,27893.0350461291
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",17562.251513086,3926.1195635217,21488.3710766077
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","0-1yr",21996.0266146959,4847.16301854955,26843.1896332454
"BDI","PMC co-delivery with EPI only",7,"Bujumbura_Rural","1-2yr",16200.5944101597,3819.52808215912,20020.1224923189
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",29411.870252997,1291.36417616298,30703.23442916
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",28998.1595014297,1260.66409947851,30258.8236009082
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",27918.8315223622,1217.72807794999,29136.5596003122
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",30325.9226404114,1320.57602983543,31646.4986702469
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",20967.0192613028,1014.47927093275,21981.4985322356
"BDI","PMC co-delivery with EPI only",7,"Bururi","0-1yr",27398.2871750217,1207.59701166452,28605.8841866862
"BDI","PMC co-delivery with EPI only",7,"Bururi","1-2yr",19791.5632675925,942.016465866122,20733.5797334586
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",11933.1328418704,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",11798.3397541339,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",11268.7253666295,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",11998.5902974491,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",9616.45597476571,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","0-1yr",11019.8688343429,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cankuzo","1-2yr",9070.44725473651,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",20939.8918112726,0,20939.8918112726
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",20448.1848087853,0,20448.1848087853
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",19579.1985233827,0,19579.1985233827
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",21461.1696780171,0,21461.1696780171
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",15913.2779165404,0,15913.2779165404
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","0-1yr",19246.1336346825,0,19246.1336346825
"BDI","PMC co-delivery with EPI only",7,"Cibitoke","1-2yr",12559.3738256497,0,12559.3738256497
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",27377.9183549891,4132.291392432,31510.2097474211
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",27061.9508554182,3734.75889729386,30796.709752712
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",26361.4071480304,3507.61301384341,29869.0201618738
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",27641.9258338834,4109.23391333143,31751.1597472149
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",24635.7362220918,3709.14237080565,28344.8785928974
"BDI","PMC co-delivery with EPI only",7,"Gitega","0-1yr",26381.4191211818,3615.19246273053,29996.6115839124
"BDI","PMC co-delivery with EPI only",7,"Gitega","1-2yr",20630.2949175621,3419.77665393428,24050.0715714964
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",17818.3892932709,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",17629.9124119334,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",17269.7974720328,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",17961.0719751977,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",15486.4368525701,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","0-1yr",16875.0842116699,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Karuzi","1-2yr",13711.1217671211,NA,NA
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",30060.1778130374,1880.20721476389,31940.3850278013
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",29694.4651650485,1874.46827929219,31568.9334443407
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",29743.2696331194,1801.04308043314,31544.3127135526
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",30075.8414993794,1904.35706705829,31980.1985664377
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",23964.2250140295,1791.80404262031,25756.0290566498
"BDI","PMC co-delivery with EPI only",7,"Kayanza","0-1yr",29340.7469071815,1771.858172016,31112.6050791975
"BDI","PMC co-delivery with EPI only",7,"Kayanza","1-2yr",25240.8778337565,1408.52320810667,26649.4010418631
"BDI","PMC co-delivery with EPI only",7,"Kirundo","0-1yr",30806.8753638072,0,30806.8753638072
"BDI","PMC co-delivery with EPI only",7,"Kirundo","0-1yr",30364.7462459684,0,30364.7462459684
"BDI","PMC co-delivery with EPI only",7,"Kirundo","0-1yr",29547.8767922809,0,29547.8767922809
