Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Burundi,rural/urban merged,BDI,Bubanza,n_age_0_6,3,clinical,ppy,0.159446485160977,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_7_13,10,clinical,ppy,0.104144297525699,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_14_20,17,clinical,ppy,0.147396647509912,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_21_27,24,clinical,ppy,0.190087318249686,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_28_34,31,clinical,ppy,0.22106193141865,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_35_41,38,clinical,ppy,0.185021614091633,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_42_48,45,clinical,ppy,0.0325858262780316,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_49_55,52,clinical,ppy,0.0425866985146598,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_56_62,59,clinical,ppy,0.128429489524388,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_63_69,66,clinical,ppy,0.151189739227977,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_70_76,73,clinical,ppy,0.0360489025714911,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_77_83,80,clinical,ppy,0.065239604767582,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_84_90,87,clinical,ppy,0.0669167134057508,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_91_97,94,clinical,ppy,0.0983645160035024,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_98_104,101,clinical,ppy,0.0408962839403222,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_105_111,108,clinical,ppy,0.0840361261429205,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_112_118,115,clinical,ppy,0.18241033731517,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_119_125,122,clinical,ppy,0.292858332372852,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_126_132,129,clinical,ppy,0.311428566336527,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_133_139,136,clinical,ppy,0.346052852794773,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_140_146,143,clinical,ppy,0.394649262800767,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_147_153,150,clinical,ppy,0.391502945636221,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_154_160,157,clinical,ppy,0.42706609057024,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_161_167,164,clinical,ppy,0.421176187825066,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_168_174,171,clinical,ppy,0.501166941060464,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_175_181,178,clinical,ppy,0.510353998329366,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_182_188,185,clinical,ppy,0.126484376781479,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_189_195,192,clinical,ppy,0.190482195157385,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_196_202,199,clinical,ppy,0.284467060204215,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_203_209,206,clinical,ppy,0.35684536040138,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_210_216,213,clinical,ppy,0.436113830858204,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_217_223,220,clinical,ppy,0.469229610589287,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_224_230,227,clinical,ppy,0.441494225002161,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_231_237,234,clinical,ppy,0.425333182483255,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_238_244,241,clinical,ppy,0.537066227834167,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_245_251,248,clinical,ppy,0.477836142029602,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_252_258,255,clinical,ppy,0.53074490198475,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_259_265,262,clinical,ppy,0.520890887563203,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_266_272,269,clinical,ppy,0.45908334394252,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_273_279,276,clinical,ppy,0.110328066349225,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_280_286,283,clinical,ppy,0.163189726693446,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_287_293,290,clinical,ppy,0.274813564705243,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_294_300,297,clinical,ppy,0.375762825330232,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_301_307,304,clinical,ppy,0.497396679767961,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_308_314,311,clinical,ppy,0.483270778786586,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_315_321,318,clinical,ppy,0.480091886570092,7,PMC co-delivery with EPI only
Burundi,rural/urban merged,BDI,Bubanza,n_age_322_328,325,clinical,ppy,0.519401687543083,7,PMC co-delivery with EPI only
