Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Burundi,rural/urban merged,BDI,Bubanza,n_age_0_6,3,clinical,ppy,0.159446485160977
Burundi,rural/urban merged,BDI,Bubanza,n_age_7_13,10,clinical,ppy,0.104144297525699
Burundi,rural/urban merged,BDI,Bubanza,n_age_14_20,17,clinical,ppy,0.147396647509912
Burundi,rural/urban merged,BDI,Bubanza,n_age_21_27,24,clinical,ppy,0.190087318249686
Burundi,rural/urban merged,BDI,Bubanza,n_age_28_34,31,clinical,ppy,0.22106193141865
Burundi,rural/urban merged,BDI,Bubanza,n_age_35_41,38,clinical,ppy,0.185021614091633
Burundi,rural/urban merged,BDI,Bubanza,n_age_42_48,45,clinical,ppy,0.249753375709933
Burundi,rural/urban merged,BDI,Bubanza,n_age_49_55,52,clinical,ppy,0.181814218071612
Burundi,rural/urban merged,BDI,Bubanza,n_age_56_62,59,clinical,ppy,0.283344678830921
Burundi,rural/urban merged,BDI,Bubanza,n_age_63_69,66,clinical,ppy,0.237737332521453
Burundi,rural/urban merged,BDI,Bubanza,n_age_70_76,73,clinical,ppy,0.268969000921086
Burundi,rural/urban merged,BDI,Bubanza,n_age_77_83,80,clinical,ppy,0.274602769457134
Burundi,rural/urban merged,BDI,Bubanza,n_age_84_90,87,clinical,ppy,0.409027789195366
Burundi,rural/urban merged,BDI,Bubanza,n_age_91_97,94,clinical,ppy,0.373176353856943
Burundi,rural/urban merged,BDI,Bubanza,n_age_98_104,101,clinical,ppy,0.390153568888292
Burundi,rural/urban merged,BDI,Bubanza,n_age_105_111,108,clinical,ppy,0.396565078124987
Burundi,rural/urban merged,BDI,Bubanza,n_age_112_118,115,clinical,ppy,0.417294340203165
Burundi,rural/urban merged,BDI,Bubanza,n_age_119_125,122,clinical,ppy,0.468356293776187
Burundi,rural/urban merged,BDI,Bubanza,n_age_126_132,129,clinical,ppy,0.417315109897426
Burundi,rural/urban merged,BDI,Bubanza,n_age_133_139,136,clinical,ppy,0.426917576660623
Burundi,rural/urban merged,BDI,Bubanza,n_age_140_146,143,clinical,ppy,0.468920793639921
Burundi,rural/urban merged,BDI,Bubanza,n_age_147_153,150,clinical,ppy,0.44759536398667
Burundi,rural/urban merged,BDI,Bubanza,n_age_154_160,157,clinical,ppy,0.458474817964869
Burundi,rural/urban merged,BDI,Bubanza,n_age_161_167,164,clinical,ppy,0.4280488349748
Burundi,rural/urban merged,BDI,Bubanza,n_age_168_174,171,clinical,ppy,0.501501815782557
Burundi,rural/urban merged,BDI,Bubanza,n_age_175_181,178,clinical,ppy,0.510354527046137
Burundi,rural/urban merged,BDI,Bubanza,n_age_182_188,185,clinical,ppy,0.408714125928553
Burundi,rural/urban merged,BDI,Bubanza,n_age_189_195,192,clinical,ppy,0.485304950843275
Burundi,rural/urban merged,BDI,Bubanza,n_age_196_202,199,clinical,ppy,0.50248530717487
Burundi,rural/urban merged,BDI,Bubanza,n_age_203_209,206,clinical,ppy,0.501861349650875
Burundi,rural/urban merged,BDI,Bubanza,n_age_210_216,213,clinical,ppy,0.542217150413014
Burundi,rural/urban merged,BDI,Bubanza,n_age_217_223,220,clinical,ppy,0.549449534982697
Burundi,rural/urban merged,BDI,Bubanza,n_age_224_230,227,clinical,ppy,0.50291001952444
Burundi,rural/urban merged,BDI,Bubanza,n_age_231_237,234,clinical,ppy,0.470859217424124
Burundi,rural/urban merged,BDI,Bubanza,n_age_238_244,241,clinical,ppy,0.56701167156685806
Burundi,rural/urban merged,BDI,Bubanza,n_age_245_251,248,clinical,ppy,0.483830189055428
Burundi,rural/urban merged,BDI,Bubanza,n_age_252_258,255,clinical,ppy,0.53101832707962
Burundi,rural/urban merged,BDI,Bubanza,n_age_259_265,262,clinical,ppy,0.520891303676132
Burundi,rural/urban merged,BDI,Bubanza,n_age_266_272,269,clinical,ppy,0.459083343944077
Burundi,rural/urban merged,BDI,Bubanza,n_age_273_279,276,clinical,ppy,0.55010504390144
Burundi,rural/urban merged,BDI,Bubanza,n_age_280_286,283,clinical,ppy,0.55065521742992
Burundi,rural/urban merged,BDI,Bubanza,n_age_287_293,290,clinical,ppy,0.552715012172121
Burundi,rural/urban merged,BDI,Bubanza,n_age_294_300,297,clinical,ppy,0.564583202652952
Burundi,rural/urban merged,BDI,Bubanza,n_age_301_307,304,clinical,ppy,0.643048983714169
Burundi,rural/urban merged,BDI,Bubanza,n_age_308_314,311,clinical,ppy,0.581522953593762
Burundi,rural/urban merged,BDI,Bubanza,n_age_315_321,318,clinical,ppy,0.559092165728092
Burundi,rural/urban merged,BDI,Bubanza,n_age_322_328,325,clinical,ppy,0.584792418223308
Burundi,rural/urban merged,BDI,Bubanza,n_age_329_335,332,clinical,ppy,0.60692056434605
Burundi,rural/urban merged,BDI,Bubanza,n_age_336_342,339,clinical,ppy,0.615252913907682
Burundi,rural/urban merged,BDI,Bubanza,n_age_343_349,346,clinical,ppy,0.571848804271764
Burundi,rural/urban merged,BDI,Bubanza,n_age_350_356,353,clinical,ppy,0.505520087205662
Burundi,rural/urban merged,BDI,Bubanza,n_age_357_363,360,clinical,ppy,0.56795909030769
Burundi,rural/urban merged,BDI,Bubanza,n_age_364_370,367,clinical,ppy,0.581072071354691
Burundi,rural/urban merged,BDI,Bubanza,n_age_371_377,374,clinical,ppy,0.617792332511382
Burundi,rural/urban merged,BDI,Bubanza,n_age_378_384,381,clinical,ppy,0.641368071443267
Burundi,rural/urban merged,BDI,Bubanza,n_age_385_391,388,clinical,ppy,0.585867955426308
Burundi,rural/urban merged,BDI,Bubanza,n_age_392_398,395,clinical,ppy,0.585574311597207
Burundi,rural/urban merged,BDI,Bubanza,n_age_399_405,402,clinical,ppy,0.588068645140554
Burundi,rural/urban merged,BDI,Bubanza,n_age_406_412,409,clinical,ppy,0.625708438640822
Burundi,rural/urban merged,BDI,Bubanza,n_age_413_419,416,clinical,ppy,0.587509919289376
Burundi,rural/urban merged,BDI,Bubanza,n_age_420_426,423,clinical,ppy,0.61752643350992
Burundi,rural/urban merged,BDI,Bubanza,n_age_427_433,430,clinical,ppy,0.624807762291332
Burundi,rural/urban merged,BDI,Bubanza,n_age_434_440,437,clinical,ppy,0.665808712110267
Burundi,rural/urban merged,BDI,Bubanza,n_age_441_447,444,clinical,ppy,0.66335357314344
Burundi,rural/urban merged,BDI,Bubanza,n_age_448_454,451,clinical,ppy,0.661699059503911
Burundi,rural/urban merged,BDI,Bubanza,n_age_455_461,458,clinical,ppy,0.699576131641155
Burundi,rural/urban merged,BDI,Bubanza,n_age_462_468,465,clinical,ppy,0.680708410974129
Burundi,rural/urban merged,BDI,Bubanza,n_age_469_475,472,clinical,ppy,0.723804282328947
Burundi,rural/urban merged,BDI,Bubanza,n_age_476_482,479,clinical,ppy,0.655339297791767
Burundi,rural/urban merged,BDI,Bubanza,n_age_483_489,486,clinical,ppy,0.585569183356799
Burundi,rural/urban merged,BDI,Bubanza,n_age_490_496,493,clinical,ppy,0.603326589283426
Burundi,rural/urban merged,BDI,Bubanza,n_age_497_503,500,clinical,ppy,0.695365405470542
Burundi,rural/urban merged,BDI,Bubanza,n_age_504_510,507,clinical,ppy,0.630494872047451
Burundi,rural/urban merged,BDI,Bubanza,n_age_511_517,514,clinical,ppy,0.688308890027617
Burundi,rural/urban merged,BDI,Bubanza,n_age_518_524,521,clinical,ppy,0.616157366658013
Burundi,rural/urban merged,BDI,Bubanza,n_age_525_531,528,clinical,ppy,0.633473797052229
Burundi,rural/urban merged,BDI,Bubanza,n_age_532_538,535,clinical,ppy,0.634682584574171
Burundi,rural/urban merged,BDI,Bubanza,n_age_539_545,542,clinical,ppy,0.664602209966421
Burundi,rural/urban merged,BDI,Bubanza,n_age_546_552,549,clinical,ppy,0.682206196480868
Burundi,rural/urban merged,BDI,Bubanza,n_age_553_559,556,clinical,ppy,0.682752991852336
Burundi,rural/urban merged,BDI,Bubanza,n_age_560_566,563,clinical,ppy,0.629839754032627
Burundi,rural/urban merged,BDI,Bubanza,n_age_567_573,570,clinical,ppy,0.652365373089209
Burundi,rural/urban merged,BDI,Bubanza,n_age_574_580,577,clinical,ppy,0.755616576303009
Burundi,rural/urban merged,BDI,Bubanza,n_age_581_587,584,clinical,ppy,0.70489821766931
Burundi,rural/urban merged,BDI,Bubanza,n_age_588_594,591,clinical,ppy,0.725931519661821
Burundi,rural/urban merged,BDI,Bubanza,n_age_595_601,598,clinical,ppy,0.737468142166966
Burundi,rural/urban merged,BDI,Bubanza,n_age_602_608,605,clinical,ppy,0.668630413851189
