Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Burundi,BDI,n_age_0_6,3,ppy,0.116066792466749,0.00945159287144751
Burundi,BDI,n_age_7_13,10,ppy,0.131785957047942,0.00960564123044085
Burundi,BDI,n_age_14_20,17,ppy,0.146790297726829,0.00715070936930208
Burundi,BDI,n_age_21_27,24,ppy,0.161226056642702,0.0107793240070754
Burundi,BDI,n_age_28_34,31,ppy,0.194402542567439,0.0107542606603612
Burundi,BDI,n_age_35_41,38,ppy,0.21873157219841,0.0109775212835085
Burundi,BDI,n_age_42_48,45,ppy,0.230336577531708,0.0152756902008767
Burundi,BDI,n_age_49_55,52,ppy,0.251277802965623,0.0133629748261339
Burundi,BDI,n_age_56_62,59,ppy,0.278553897390794,0.0164633447831139
Burundi,BDI,n_age_63_69,66,ppy,0.31227587998709,0.0201072003856319
Burundi,BDI,n_age_70_76,73,ppy,0.357774479265606,0.028497987039508
Burundi,BDI,n_age_77_83,80,ppy,0.385544815118717,0.0257746738694482
Burundi,BDI,n_age_84_90,87,ppy,0.413300411689252,0.0235638061657115
Burundi,BDI,n_age_91_97,94,ppy,0.435802972835935,0.0257913871420163
Burundi,BDI,n_age_98_104,101,ppy,0.454774336660968,0.0251933354615093
Burundi,BDI,n_age_105_111,108,ppy,0.479226363825727,0.0273457631213255
Burundi,BDI,n_age_112_118,115,ppy,0.545610850996215,0.0297737391398203
Burundi,BDI,n_age_119_125,122,ppy,0.544667000543429,0.0294279249163728
Burundi,BDI,n_age_126_132,129,ppy,0.594300347265499,0.0360070432634955
Burundi,BDI,n_age_133_139,136,ppy,0.614626918286681,0.0382657949000259
Burundi,BDI,n_age_140_146,143,ppy,0.6408516477711,0.0419578469117999
Burundi,BDI,n_age_147_153,150,ppy,0.675574474583653,0.0381901267814321
Burundi,BDI,n_age_154_160,157,ppy,0.666625931202164,0.0387355771249544
Burundi,BDI,n_age_161_167,164,ppy,0.695246841724031,0.0396560948035135
Burundi,BDI,n_age_168_174,171,ppy,0.699727130166849,0.0394110110974449
Burundi,BDI,n_age_175_181,178,ppy,0.721644454303086,0.0505705752349334
Burundi,BDI,n_age_182_188,185,ppy,0.759562166098444,0.0436705264415262
Burundi,BDI,n_age_189_195,192,ppy,0.758176351492411,0.044774185931849
Burundi,BDI,n_age_196_202,199,ppy,0.755299219801821,0.0461667100403167
Burundi,BDI,n_age_203_209,206,ppy,0.787385177200621,0.0514081713232456
Burundi,BDI,n_age_210_216,213,ppy,0.789236075545649,0.0442047832042548
Burundi,BDI,n_age_217_223,220,ppy,0.803280878908697,0.0466019338183603
Burundi,BDI,n_age_224_230,227,ppy,0.814606385167062,0.0455203474933805
Burundi,BDI,n_age_231_237,234,ppy,0.793995546919493,0.0513539945792894
Burundi,BDI,n_age_238_244,241,ppy,0.826916354496438,0.0380310566209705
Burundi,BDI,n_age_245_251,248,ppy,0.842309635711037,0.0513743808954387
Burundi,BDI,n_age_252_258,255,ppy,0.844561435994391,0.0521152200713506
Burundi,BDI,n_age_259_265,262,ppy,0.863767625237785,0.0527315212366016
Burundi,BDI,n_age_266_272,269,ppy,0.85152344160866,0.0403980532969507
Burundi,BDI,n_age_273_279,276,ppy,0.851046715860501,0.042539054512674
Burundi,BDI,n_age_280_286,283,ppy,0.849756774528926,0.0444135565294651
Burundi,BDI,n_age_287_293,290,ppy,0.87825608778652,0.047291182921062
Burundi,BDI,n_age_294_300,297,ppy,0.889117950799688,0.0506073318968202
Burundi,BDI,n_age_301_307,304,ppy,0.864414258731768,0.0523131550139104
Burundi,BDI,n_age_308_314,311,ppy,0.880484697440328,0.0511495814486516
Burundi,BDI,n_age_315_321,318,ppy,0.872322570627004,0.0480822923121767
Burundi,BDI,n_age_322_328,325,ppy,0.902097829914676,0.0523685043547223
Burundi,BDI,n_age_329_335,332,ppy,0.90200112974474,0.0455389660107975
Burundi,BDI,n_age_336_342,339,ppy,0.880284230098277,0.0482067308812167
Burundi,BDI,n_age_343_349,346,ppy,0.90099229190402,0.0466482157246229
Burundi,BDI,n_age_350_356,353,ppy,0.899201491643527,0.0458102294347614
Burundi,BDI,n_age_357_363,360,ppy,0.892119833260437,0.0473502213305272
Burundi,BDI,n_age_364_370,367,ppy,0.917657154862746,0.055183350045458
Burundi,BDI,n_age_371_377,374,ppy,0.907944434018633,0.0440473399528644
Burundi,BDI,n_age_378_384,381,ppy,0.917121750241346,0.0484020477439562
Burundi,BDI,n_age_385_391,388,ppy,0.925491875477433,0.0422712814490389
Burundi,BDI,n_age_392_398,395,ppy,0.9206657279083,0.0438407790034526
Burundi,BDI,n_age_399_405,402,ppy,0.956839764881635,0.0435756448147969
Burundi,BDI,n_age_406_412,409,ppy,0.945222895783652,0.0475692394454691
Burundi,BDI,n_age_413_419,416,ppy,0.932674696438822,0.0497251716155494
Burundi,BDI,n_age_420_426,423,ppy,0.939296040913935,0.0432871345511282
Burundi,BDI,n_age_427_433,430,ppy,0.924836300259361,0.0456656142845903
Burundi,BDI,n_age_434_440,437,ppy,0.962099703090866,0.0496547383718744
Burundi,BDI,n_age_441_447,444,ppy,0.987863776084113,0.0436461775559398
Burundi,BDI,n_age_448_454,451,ppy,0.984743830420773,0.0437337214555974
Burundi,BDI,n_age_455_461,458,ppy,0.967352101758669,0.0433228241785323
Burundi,BDI,n_age_462_468,465,ppy,0.937863375702959,0.0470908609715468
Burundi,BDI,n_age_469_475,472,ppy,0.942812214689994,0.0407070555220522
Burundi,BDI,n_age_476_482,479,ppy,0.970518660564811,0.0463122373580069
Burundi,BDI,n_age_483_489,486,ppy,0.963648794649918,0.0439200122810395
Burundi,BDI,n_age_490_496,493,ppy,0.990812472367278,0.0478187372552659
Burundi,BDI,n_age_497_503,500,ppy,0.990383095402755,0.0411092725586541
Burundi,BDI,n_age_504_510,507,ppy,0.992826149862139,0.0429694110043342
Burundi,BDI,n_age_511_517,514,ppy,0.988845747084686,0.0444636457597209
Burundi,BDI,n_age_518_524,521,ppy,0.992479277029526,0.0415181071791831
Burundi,BDI,n_age_525_531,528,ppy,0.984736025793362,0.045445564924761
Burundi,BDI,n_age_532_538,535,ppy,0.979854288268693,0.047447146540076
Burundi,BDI,n_age_539_545,542,ppy,0.990408545769034,0.0375578559335134
Burundi,BDI,n_age_546_552,549,ppy,1.01973470788814,0.0406108302034435
Burundi,BDI,n_age_553_559,556,ppy,0.997880803837158,0.0426008028918494
Burundi,BDI,n_age_560_566,563,ppy,0.999137466043779,0.0445829844320258
Burundi,BDI,n_age_567_573,570,ppy,1.03691912857404,0.0414889266741943
Burundi,BDI,n_age_574_580,577,ppy,0.997039344099936,0.0417385425715768
Burundi,BDI,n_age_581_587,584,ppy,1.00989936335992,0.0401699558686351
Burundi,BDI,n_age_588_594,591,ppy,1.03699997829007,0.0399279268836534
Burundi,BDI,n_age_595_601,598,ppy,0.999118063704706,0.0376875954020734
Burundi,BDI,n_age_602_608,605,ppy,1.02000624606674,0.042214716979902
Burundi,BDI,n_age_609_615,612,ppy,1.03875241236842,0.0455685620000711
Burundi,BDI,n_age_616_622,619,ppy,1.02137947547739,0.0460237533308869
Burundi,BDI,n_age_623_629,626,ppy,1.00845153020477,0.0461798756242523
Burundi,BDI,n_age_630_636,633,ppy,1.00486653748533,0.0388066875661971
Burundi,BDI,n_age_637_643,640,ppy,1.05561517895141,0.0452252590562673
Burundi,BDI,n_age_644_650,647,ppy,1.05009920337074,0.0395167952868805
Burundi,BDI,n_age_651_657,654,ppy,1.02360190837145,0.0379784678499352
Burundi,BDI,n_age_658_664,661,ppy,1.06059565157529,0.0415498606365345
Burundi,BDI,n_age_665_671,668,ppy,1.02942424511935,0.0336257263898017
Burundi,BDI,n_age_672_678,675,ppy,1.02596427331869,0.0399473423827104
Burundi,BDI,n_age_679_685,682,ppy,1.05187722904871,0.0424544880337298
Burundi,BDI,n_age_686_692,689,ppy,1.04802223255959,0.034460649499231
Burundi,BDI,n_age_693_699,696,ppy,1.05215806801016,0.0361682128671103
Burundi,BDI,n_age_700_706,703,ppy,1.06956494299525,0.0380397263888889
Burundi,BDI,n_age_707_713,710,ppy,1.0749289674347,0.033748064911073
Burundi,BDI,n_age_714_720,717,ppy,1.05784412444419,0.043253354392888
Burundi,BDI,n_age_721_727,724,ppy,1.01694637505314,0.0365771418036409
Burundi,BDI,n_age_728_734,731,ppy,1.06515939662095,0.0392726280950608
Burundi,BDI,n_age_735_741,738,ppy,1.05230762171248,0.0378871419393211
Burundi,BDI,n_age_742_748,745,ppy,1.04019254226061,0.0392197450311307
Burundi,BDI,n_age_749_755,752,ppy,1.03090475909542,0.0349085964119566
Burundi,BDI,n_age_756_762,759,ppy,1.06557952046621,0.0312657985489589
Burundi,BDI,n_age_763_769,766,ppy,1.05725762814836,0.0336674551278951
Burundi,BDI,n_age_770_776,773,ppy,1.05459855678671,0.0358335780240319
Burundi,BDI,n_age_777_783,780,ppy,1.04488245397451,0.0350117070475861
Burundi,BDI,n_age_784_790,787,ppy,1.05855963207828,0.0377506068686487
Burundi,BDI,n_age_791_797,794,ppy,1.06792732892051,0.0381470896445792
Burundi,BDI,n_age_798_804,801,ppy,1.04382653729744,0.0339241344062357
Burundi,BDI,n_age_805_811,808,ppy,1.06855198879071,0.0346604983835013
Burundi,BDI,n_age_812_818,815,ppy,1.02407986456862,0.0273883421158917
Burundi,BDI,n_age_819_825,822,ppy,1.06966316139598,0.0341919328964185
Burundi,BDI,n_age_826_832,829,ppy,1.08764114665306,0.0372890316676453
Burundi,BDI,n_age_833_839,836,ppy,1.07346689633927,0.0393681066964578
Burundi,BDI,n_age_840_846,843,ppy,1.07899572049837,0.0346861479662997
Burundi,BDI,n_age_847_853,850,ppy,1.09754357639156,0.0316429535246643
Burundi,BDI,n_age_854_860,857,ppy,1.07901738392621,0.0346505718996853
Burundi,BDI,n_age_861_867,864,ppy,1.06724284536767,0.0362623668324444
Burundi,BDI,n_age_868_874,871,ppy,1.05406659024581,0.0338362262260921
Burundi,BDI,n_age_875_881,878,ppy,1.08719221369488,0.0323841330346171
Burundi,BDI,n_age_882_888,885,ppy,1.05131594428117,0.0363040644786786
Burundi,BDI,n_age_889_895,892,ppy,1.0690052367588,0.0318621765693464
Burundi,BDI,n_age_896_902,899,ppy,1.08206562898532,0.0340324294086856
Burundi,BDI,n_age_903_909,906,ppy,1.09035397172027,0.0354779597989301
Burundi,BDI,n_age_910_916,913,ppy,1.087394837773,0.0316619443907703
