Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Burundi,BDI,0-6mo,91,Bubanza,raw cases,7,1360.260245,73.11993375,871.2337239,43.95932263,331.4262282,17.82349745,212.7737581,10.74858002,489.0265214,29.16061112,118.6524702,7.074917428,35.950953,39.8805218,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Bubanza,raw cases,7,2176.399691,156.7975425,1708.588657,125.0460974,537.6789596,38.73523371,422.368375,30.91295752,467.8110342,31.75144515,115.3105845,7.822276189,21.49472067,20.24996351,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Bubanza,raw cases,7,2539.844984,167.6519267,2539.844984,167.6519267,636.8294734,42.01903615,636.8294734,42.01903615,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Bubanza,raw cases,7,2795.040661,127.6305405,2572.194754,117.1177703,708.9002768,32.36160554,652.6357378,29.70732143,222.8459075,10.51277026,56.26453895,2.65428411,7.972903959,8.236876707,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Bubanza,raw cases,7,3116.050021,125.1130755,3116.050021,125.1130755,770.0757005,30.9047389,770.0757005,30.9047389,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Bujumbura_Mairie,raw cases,7,2667.267271,184.8130529,1701.455175,128.0138174,249.7672418,17.30452614,159.68715,12.00827027,965.8120964,56.79923549,90.08009187,5.296255872,36.2097982,30.73334627,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Bujumbura_Mairie,raw cases,7,4175.417853,324.5724482,3255.774586,246.4220487,396.4781958,30.79783758,309.347799,23.39998349,919.6432666,78.15039948,87.13039682,7.397854089,22.02517925,24.07795237,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Bujumbura_Mairie,raw cases,7,4799.899629,325.2721317,4799.899629,325.2721317,462.6409369,31.35363072,462.6409369,31.35363072,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Bujumbura_Mairie,raw cases,7,5253.883679,310.6276347,4844.197899,289.6421776,512.1954722,30.29206221,472.4361326,28.25538197,409.6857803,20.98545704,39.75933968,2.036680236,7.797770284,6.755824241,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Bujumbura_Mairie,raw cases,7,5836.841292,295.2324402,5836.841292,295.2324402,554.3095457,28.03998758,554.3095457,28.03998758,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Bujumbura_Rural,raw cases,7,1996.200429,140.418106,1250.895054,84.80858599,258.7469791,18.22106307,162.4689441,11.03865182,745.3053747,55.60951997,96.27803499,7.182411249,37.3361995,39.60281304,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Bujumbura_Rural,raw cases,7,3055.317638,239.3408064,2343.14506,186.9136679,401.9615708,31.46683035,308.4585299,24.59101057,712.1725775,52.42713849,93.50304095,6.875819782,23.30928113,21.90480565,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Bujumbura_Rural,raw cases,7,3540.207781,218.0053418,3540.207781,218.0053418,472.6274109,29.1092705,472.6274109,29.1092705,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Bujumbura_Rural,raw cases,7,3959.303281,207.4429774,3562.688531,186.4541231,534.3892113,27.99320393,481.0943164,25.17260247,396.6147495,20.98885427,53.29489481,2.82060146,10.01728641,10.11789096,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Bujumbura_Rural,raw cases,7,4507.869222,241.6910981,4507.869222,241.6910981,592.7666294,31.77925839,592.7666294,31.77925839,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Bururi,raw cases,7,1777.154267,132.1898106,1147.011026,87.71042224,203.4275904,15.18654564,131.58905,10.11365284,630.1432409,44.47938834,71.83854042,5.072892808,35.4579933,33.6481217,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Bururi,raw cases,7,3237.469504,217.3625328,2561.10795,169.8233,375.7506056,25.21721658,297.4143225,19.71240024,676.3615535,47.53923283,78.33628315,5.504816333,20.89167335,21.8709417,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Bururi,raw cases,7,3805.636054,239.7840118,3805.636054,239.7840118,448.26056,28.24453774,448.26056,28.24453774,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Bururi,raw cases,7,4173.659862,229.4975586,3820.792697,206.371119,497.1075597,27.32747341,455.2625231,24.58561082,352.8671649,23.12643954,41.84503665,2.741862593,8.454621999,10.07698717,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Bururi,raw cases,7,4728.763847,260.4081242,4728.763847,260.4081242,548.3711321,30.18252618,548.3711321,30.18252618,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Cankuzo,raw cases,7,1723.009458,89.83403857,1150.84859,60.18297563,519.734681,27.08299909,347.6693455,18.16710473,572.1608678,29.65106295,172.0653355,8.915894361,33.20706484,33.00648999,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Cankuzo,raw cases,7,3937.57136,209.7252844,3066.029985,158.9679033,1204.85842,64.17204122,938.7800573,48.68113445,871.5413749,50.75738107,266.0783629,15.49090676,22.13398299,24.20184157,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Cankuzo,raw cases,7,4479.169258,179.9109399,4479.169258,179.9109399,1391.199956,55.87118219,1391.199956,55.87118219,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Cankuzo,raw cases,7,4651.722297,157.5319694,4163.523851,137.850359,1460.963939,49.45960951,1308.328667,43.30677607,488.1984457,19.68161039,152.6352724,6.152833441,10.4950041,12.49372459,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Cankuzo,raw cases,7,4933.222381,127.5488475,4933.222381,127.5488475,1509.537464,39.02001819,1509.537464,39.02001819,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Cibitoke,raw cases,7,2964.367743,170.074993,1935.763279,112.6237262,499.6360121,28.70192865,326.8599167,19.0520499,1028.604464,57.45126681,172.7760954,9.649878748,34.69894944,33.77996128,PMC co-delivery with EPI only
Burundi,BDI,6-12mo,273.5,Cibitoke,raw cases,7,5334.578292,311.6588972,4169.288156,244.4094382,912.2376461,53.28145951,713.4223898,41.80734718,1165.290136,67.24945899,198.8152563,11.47411233,21.84409099,21.57790443,PMC co-delivery with EPI only
Burundi,BDI,12-18mo,456,Cibitoke,raw cases,7,5991.627736,306.573272,5991.627736,306.573272,1039.804168,53.19189807,1039.804168,53.19189807,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,18-24mo,638.5,Cibitoke,raw cases,7,6448.004667,262.6883276,5951.005512,242.4547792,1131.407326,46.08997261,1044.586167,42.55549175,496.9991552,20.23354848,86.82115901,3.534480858,7.707797696,7.702492404,PMC co-delivery with EPI only
Burundi,BDI,24-30mo,821,Cibitoke,raw cases,7,7093.364039,245.6487477,7093.364039,245.6487477,1211.969592,41.96532698,1211.969592,41.96532698,0,0,0,0,0,0,PMC co-delivery with EPI only
Burundi,BDI,0-6mo,91,Gitega,raw cases,7,2878.215416,159.3287561,1905.552442,98.33021475,328.3718023,18.16643971,217.8317079,11.23450555,972.6629735,60.99854137,110.5400944,6.931934152,33.79396025,38.28470319,PMC co-delivery with EPI only
