Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Burundi,BDI,n_age_0_6,3,Bubanza,raw cases,7,21.8617661839244,1.62257829547904,159.446485160977,11.8341036097469,0,0,0,0,21.8617661839244,1.62257829547904,159.446485160977,11.8341036097469,PMC co-delivery with EPI only
Burundi,BDI,n_age_7_13,10,Bubanza,raw cases,7,16.6480746702392,1.61229421947808,104.144297525699,10.0859259835286,0,0,0,0,16.6480746702392,1.61229421947808,104.144297525699,10.0859259835286,PMC co-delivery with EPI only
Burundi,BDI,n_age_14_20,17,Bubanza,raw cases,7,23.5450061688164,0.827777976608355,147.396647509912,5.1820627168153,0,0,0,0,23.5450061688164,0.827777976608355,147.396647509912,5.1820627168153,PMC co-delivery with EPI only
Burundi,BDI,n_age_21_27,24,Bubanza,raw cases,7,30.3432257041601,2.47314526581767,190.087318249686,15.4931962674204,0,0,0,0,30.3432257041601,2.47314526581767,190.087318249686,15.4931962674204,PMC co-delivery with EPI only
Burundi,BDI,n_age_28_34,31,Bubanza,raw cases,7,35.2620732679656,0.802046042989848,221.06193141865,5.02811749050202,0,0,0,0,35.2620732679656,0.802046042989848,221.06193141865,5.02811749050202,PMC co-delivery with EPI only
Burundi,BDI,n_age_35_41,38,Bubanza,raw cases,7,29.4927360035313,1.30475113203766,185.021614091633,8.18530910148819,0,0,0,0,29.4927360035313,1.30475113203766,185.021614091633,8.18530910148819,PMC co-delivery with EPI only
Burundi,BDI,n_age_42_48,45,Bubanza,raw cases,7,39.7845585074154,0.731003551514606,249.753375709933,4.5889815419893,34.5937869777585,0.636565334846018,217.167549431901,3.99613184618057,5.1907715296569,0.0944382166685878,32.5858262780316,0.59284969580873,PMC co-delivery with EPI only
Burundi,BDI,n_age_49_55,52,Bubanza,raw cases,7,28.9401801869276,2.12078696734344,181.814218071612,13.3236635595719,22.1614653996431,1.62583769444909,139.227519556952,10.2141868923517,6.77871478728457,0.49494927289435,42.5866985146598,3.10947666722018,PMC co-delivery with EPI only
Burundi,BDI,n_age_56_62,59,Bubanza,raw cases,7,45.0718503153198,1.43370121426824,283.344678830921,9.01297832803323,24.6424752100604,0.784551634526687,154.915189306533,4.93209241147305,20.4293751052594,0.649149579741551,128.429489524388,4.08088591656018,PMC co-delivery with EPI only
Burundi,BDI,n_age_63_69,66,Bubanza,raw cases,7,37.789697822334396,4.0785508805218,237.737332521453,25.658416519944,13.7572309873361,1.48491657395472,86.547593293476,9.3417022535769,24.0324668349983,2.59363430656708,151.189739227977,16.3167142663671,PMC co-delivery with EPI only
Burundi,BDI,n_age_70_76,73,Bubanza,raw cases,7,42.7228597453505,2.68540811449291,268.969000921086,16.9064417018372,36.9968756978897,2.32537649898667,232.920098349595,14.6398016758671,5.72598404746084,0.360031615506236,36.0489025714911,2.26664002597007,PMC co-delivery with EPI only
Burundi,BDI,n_age_77_83,80,Bubanza,raw cases,7,43.5869661599165,5.22484564657244,274.602769457134,32.9171128651362,33.2316574683382,3.98252343126466,209.363164689552,25.0903437426877,10.3553086915783,1.24232221530779,65.239604767582,7.82676912244845,PMC co-delivery with EPI only
Burundi,BDI,n_age_84_90,87,Bubanza,raw cases,7,64.8785790293782,5.59013382713526,409.027789195366,35.2430665841801,54.2644804430163,4.67727498576139,342.111075789615,29.4879369355248,10.6140985863619,0.912858841373869,66.9167134057508,5.75512964865525,PMC co-delivery with EPI only
Burundi,BDI,n_age_91_97,94,Bubanza,raw cases,7,59.1486161536059,2.27277752245199,373.176353856943,14.3392505879437,43.5577971210132,1.67516511348648,274.811837853441,10.5688357532457,15.5908190325927,0.597612408965508,98.3645160035024,3.7704148346979802,PMC co-delivery with EPI only
Burundi,BDI,n_age_98_104,101,Bubanza,raw cases,7,61.799954018467,2.13642289864199,390.153568888292,13.4875993323679,55.3220215616663,1.91248093207629,349.25728494797,12.073815796973,6.47793245680067,0.223941966565697,40.8962839403222,1.41378353539488,PMC co-delivery with EPI only
Burundi,BDI,n_age_105_111,108,Bubanza,raw cases,7,62.7744658818365,3.40969756151505,396.565078124987,21.5400794076057,49.4719255816596,2.68714837553157,312.528951982066,16.9755200702463,13.302540300177,0.722549185983485,84.0361261429205,4.56455933735941,PMC co-delivery with EPI only
Burundi,BDI,n_age_112_118,115,Bubanza,raw cases,7,66.0066700817871,4.76407712275654,417.294340203165,30.1185079803962,37.1534176058299,2.68157364443375,234.884002887995,16.952915565558,28.8532524759573,2.08250347832279,182.41033731517,13.1655924148382,PMC co-delivery with EPI only
Burundi,BDI,n_age_119_125,122,Bubanza,raw cases,7,74.0311741483165,6.61276557224298,468.356293776187,41.8354890444071,27.7402488574936,2.47787185223859,175.497961403335,15.6761916924587,46.2909252908229,4.13489372000439,292.858332372852,26.1592973519484,PMC co-delivery with EPI only
Burundi,BDI,n_age_126_132,129,Bubanza,raw cases,7,65.9189971157565,2.92493809526978,417.315109897426,18.5169816908351,16.7258136454823,0.74215281855921,105.886543560899,4.6983661552656,49.1931834702741,2.18278527671057,311.428566336527,13.8186155355695,PMC co-delivery with EPI only
Burundi,BDI,n_age_133_139,136,Bubanza,raw cases,7,67.3945532356884,3.65885143723303,426.917576660623,23.1773624714467,12.7655599942623,0.693042468413587,80.86472386585,4.39014722901,54.6289932414261,2.96580896881944,346.052852794773,18.7872152424367,PMC co-delivery with EPI only
Burundi,BDI,n_age_140_146,143,Bubanza,raw cases,7,73.9759801604164,2.24865375079195,468.920793639921,14.2538226483272,11.7169239802576,0.356160269844557,74.271530839154,2.2576376282728,62.2590561801588,1.89249348094739,394.649262800767,11.9961850200544,PMC co-delivery with EPI only
Burundi,BDI,n_age_147_153,150,Bubanza,raw cases,7,70.5601930742133,2.16145841249103,447.59536398667,13.7111127780422,8.84256671819573,0.270872844706574,56.092418350449,1.7182695261764,61.7176263560176,1.89058556778445,391.502945636221,11.9928432518658,PMC co-delivery with EPI only
Burundi,BDI,n_age_154_160,157,Bubanza,raw cases,7,72.2215354353758,1.66773303501119,458.474817964869,10.5870582095964,4.94767963174168,0.114251361713175,31.408727394629,0.72528743605233,67.2738558036342,1.55348167329801,427.06609057024,9.86177077354407,PMC co-delivery with EPI only
Burundi,BDI,n_age_161_167,164,Bubanza,raw cases,7,67.3797706689252,1.87319211748322,428.0488349748,11.8999767380102,1.08183307837943,0.0300755133882722,6.87264714973401,0.1910631089912,66.2979375905457,1.84311660409495,421.176187825066,11.708913629019,PMC co-delivery with EPI only
Burundi,BDI,n_age_168_174,171,Bubanza,raw cases,7,78.8900426677246,4.14060264532562,501.501815782557,26.3216963110403,0.0526783359159708,0.00276486169445445,0.334874722093048,0.0175761491978967,78.8373643318086,4.13783778363117,501.166941060464,26.3041201618424,PMC co-delivery with EPI only
Burundi,BDI,n_age_175_181,178,Bubanza,raw cases,7,80.2307188610915,4.74174044938864,510.354527046137,30.1626202379306,8.31173711048905e-5,4.91234535981988e-6,5.2871677104349e-4,3.12478527995097e-5,80.2306357437204,4.74173553704328,510.353998329366,30.1625889900778,PMC co-delivery with EPI only
Burundi,BDI,n_age_182_188,185,Bubanza,raw cases,7,64.2095590453296,4.92666773883074,408.714125928553,31.3597964003316,44.3386870983154,3.40791583211458,282.229749147074,21.6924607686136,19.8708719470141,1.51875190671615,126.484376781479,9.66733563171801,PMC co-delivery with EPI only
Burundi,BDI,n_age_189_195,192,Bubanza,raw cases,7,76.190600322031,6.25688848894963,485.304950843275,39.8539839261974,46.2857893892733,3.7958070608681,294.82275568589,24.1778375718151,29.9048109327577,2.46108142808153,190.482195157385,15.6761463543823,PMC co-delivery with EPI only
Burundi,BDI,n_age_196_202,199,Bubanza,raw cases,7,78.8374107613984,6.5646683529006,502.48530717487,41.8411685765756,34.2059635266588,2.84530319690047,218.018246970655,18.1350838021207,44.6314472347396,3.71936515600013,284.467060204215,23.7060847744549,PMC co-delivery with EPI only
Burundi,BDI,n_age_203_209,206,Bubanza,raw cases,7,78.6830080090187,3.48171659273558,501.861349650875,22.2073231889132,22.7359493842104,1.00758314629103,145.015989249495,6.4266358198346,55.9470586248084,2.47413344644455,356.84536040138,15.7806873690786,PMC co-delivery with EPI only
Burundi,BDI,n_age_210_216,213,Bubanza,raw cases,7,84.9471113171261,11.8754134254063,542.217150413014,75.8007273897976,16.6228059929008,2.31878829655986,106.10331955481,14.8008185690742,68.3243053242253,9.55662512884647,436.113830858204,60.9999088207234,PMC co-delivery with EPI only
Burundi,BDI,n_age_217_223,220,Bubanza,raw cases,7,86.0219659962286,3.3186360377454,549.449534982697,21.1971791925329,12.5592527958136,0.484514936568035,80.2199243934099,3.0947503176241,73.462713200415,2.83412110117736,469.229610589287,18.1024288749088,PMC co-delivery with EPI only
Burundi,BDI,n_age_224_230,227,Bubanza,raw cases,7,78.6793300400737,6.19113950881662,502.91001952444,39.5731139254955,9.60838595234412,0.754903560474373,61.415794522279,4.8252643247454,69.0709440877296,5.43623594834224,441.494225002161,34.7478496007501,PMC co-delivery with EPI only
Burundi,BDI,n_age_231_237,234,Bubanza,raw cases,7,73.606989223261,7.26841730437761,470.859217424124,46.4956021155891,7.11684987628037,0.701965237036949,45.526034940869,4.4904268692151,66.4901393469807,6.56645206734066,425.333182483255,42.005175246374,PMC co-delivery with EPI only
