Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Burundi,BDI,n_age_0_6,3,7,raw cases,0.116066792466749,0.00945159287144751,PMC co-delivery with EPI only
Burundi,BDI,n_age_7_13,10,7,raw cases,0.131785957047942,0.00960564123044085,PMC co-delivery with EPI only
Burundi,BDI,n_age_14_20,17,7,raw cases,0.146790297726829,0.00715070936930208,PMC co-delivery with EPI only
Burundi,BDI,n_age_21_27,24,7,raw cases,0.161226056642702,0.0107793240070754,PMC co-delivery with EPI only
Burundi,BDI,n_age_28_34,31,7,raw cases,0.194402542567439,0.0107542606603612,PMC co-delivery with EPI only
Burundi,BDI,n_age_35_41,38,7,raw cases,0.21873157219841,0.0109775212835085,PMC co-delivery with EPI only
Burundi,BDI,n_age_42_48,45,7,raw cases,0.0287430020881406,0.00190558598120125,PMC co-delivery with EPI only
Burundi,BDI,n_age_49_55,52,7,raw cases,0.0570764307108109,0.00300141080054924,PMC co-delivery with EPI only
Burundi,BDI,n_age_56_62,59,7,raw cases,0.124117442018174,0.00730559661215304,PMC co-delivery with EPI only
Burundi,BDI,n_age_63_69,66,7,raw cases,0.197572842981238,0.012720445849233,PMC co-delivery with EPI only
Burundi,BDI,n_age_70_76,73,7,raw cases,0.0483551755498581,0.00384776386389264,PMC co-delivery with EPI only
Burundi,BDI,n_age_77_83,80,7,raw cases,0.0915515262147567,0.00613595402430425,PMC co-delivery with EPI only
Burundi,BDI,n_age_84_90,87,7,raw cases,0.065969476661993,0.00375399605157681,PMC co-delivery with EPI only
Burundi,BDI,n_age_91_97,94,7,raw cases,0.112904418146798,0.00673354526242179,PMC co-delivery with EPI only
Burundi,BDI,n_age_98_104,101,7,raw cases,0.047693783795403,0.00264222466557983,PMC co-delivery with EPI only
Burundi,BDI,n_age_105_111,108,7,raw cases,0.100897871597079,0.00574845827099055,PMC co-delivery with EPI only
Burundi,BDI,n_age_112_118,115,7,raw cases,0.236902524032801,0.0129218241906262,PMC co-delivery with EPI only
Burundi,BDI,n_age_119_125,122,7,raw cases,0.341415379663502,0.018400029457902,PMC co-delivery with EPI only
Burundi,BDI,n_age_126_132,129,7,raw cases,0.444328422201382,0.0268473599151299,PMC co-delivery with EPI only
Burundi,BDI,n_age_133_139,136,7,raw cases,0.498107958411617,0.0309193785473753,PMC co-delivery with EPI only
