Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Benin,rural/urban merged,BEN,Alibori,n_age_0_6,3,clinical,ppy,0.0114414208550798,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_7_13,10,clinical,ppy,0.0283703922037919,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_14_20,17,clinical,ppy,0.0228280916396466,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_21_27,24,clinical,ppy,0.0349118250788334,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_28_34,31,clinical,ppy,0.0382010871941059,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_35_41,38,clinical,ppy,0.0300047126924716,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_42_48,45,clinical,ppy,0.0130159782976811,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_49_55,52,clinical,ppy,0.00899996940231966,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_56_62,59,clinical,ppy,0.0289751941722772,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_63_69,66,clinical,ppy,0.0215544163274059,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_70_76,73,clinical,ppy,0.0316707277214072,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_77_83,80,clinical,ppy,0.0252000516209744,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_84_90,87,clinical,ppy,0.0319835266073833,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_91_97,94,clinical,ppy,0.0530419058691885,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_98_104,101,clinical,ppy,0.0552718429840468,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_105_111,108,clinical,ppy,0.0432752888753943,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_112_118,115,clinical,ppy,0.0674239810074774,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_119_125,122,clinical,ppy,0.076512964916058,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_126_132,129,clinical,ppy,0.0972781998006896,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_133_139,136,clinical,ppy,0.150520285864707,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_140_146,143,clinical,ppy,0.137532632178735,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_147_153,150,clinical,ppy,0.152657164275522,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_154_160,157,clinical,ppy,0.198169708099471,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_161_167,164,clinical,ppy,0.17134085728177,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_168_174,171,clinical,ppy,0.195502553638266,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_175_181,178,clinical,ppy,0.205419185687538,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_182_188,185,clinical,ppy,0.159807777858283,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_189_195,192,clinical,ppy,0.125244819846548,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_196_202,199,clinical,ppy,0.151822116611008,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_203_209,206,clinical,ppy,0.172665334589689,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_210_216,213,clinical,ppy,0.171217560729787,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_217_223,220,clinical,ppy,0.194417301517896,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_224_230,227,clinical,ppy,0.232604610724817,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_231_237,234,clinical,ppy,0.211012703726244,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_238_244,241,clinical,ppy,0.288074459256775,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_245_251,248,clinical,ppy,0.247383099213052,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_252_258,255,clinical,ppy,0.232909884349366,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_259_265,262,clinical,ppy,0.243282143827515,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_266_272,269,clinical,ppy,0.236308891007045,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_273_279,276,clinical,ppy,0.113504924099142,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_280_286,283,clinical,ppy,0.122655750925555,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_287_293,290,clinical,ppy,0.144980761127385,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_294_300,297,clinical,ppy,0.163528482636533,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_301_307,304,clinical,ppy,0.180112555504297,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_308_314,311,clinical,ppy,0.220613592106422,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_315_321,318,clinical,ppy,0.244838501729025,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_322_328,325,clinical,ppy,0.226792666244688,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_329_335,332,clinical,ppy,0.285531900610491,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_336_342,339,clinical,ppy,0.306707360748886,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_343_349,346,clinical,ppy,0.241704243760603,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_350_356,353,clinical,ppy,0.222098996486201,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_357_363,360,clinical,ppy,0.239735263901515,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_364_370,367,clinical,ppy,0.270261053541696,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_371_377,374,clinical,ppy,0.25658680497779,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_378_384,381,clinical,ppy,0.309497089779823,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_385_391,388,clinical,ppy,0.24895446268641,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_392_398,395,clinical,ppy,0.287652212123744,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_399_405,402,clinical,ppy,0.248517097157231,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_406_412,409,clinical,ppy,0.231143273480844,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_413_419,416,clinical,ppy,0.281256317708536,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_420_426,423,clinical,ppy,0.23976809242261,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_427_433,430,clinical,ppy,0.30459270040827,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_434_440,437,clinical,ppy,0.293330757698009,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_441_447,444,clinical,ppy,0.341717661940083,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_448_454,451,clinical,ppy,0.247596702275037,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_455_461,458,clinical,ppy,0.277630180260177,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_462_468,465,clinical,ppy,0.268957474917514,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_469_475,472,clinical,ppy,0.297782841869307,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_476_482,479,clinical,ppy,0.258637653031018,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_483_489,486,clinical,ppy,0.297279607920762,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_490_496,493,clinical,ppy,0.255124430951582,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_497_503,500,clinical,ppy,0.250924268424378,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_504_510,507,clinical,ppy,0.285703122798784,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_511_517,514,clinical,ppy,0.330607166989234,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_518_524,521,clinical,ppy,0.279255051399168,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_525_531,528,clinical,ppy,0.277798113392081,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_532_538,535,clinical,ppy,0.33179065025223903,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_539_545,542,clinical,ppy,0.281772103535259,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_546_552,549,clinical,ppy,0.307033120926162,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_553_559,556,clinical,ppy,0.323507936352096,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_560_566,563,clinical,ppy,0.318279341693709,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_567_573,570,clinical,ppy,0.342090723646567,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_574_580,577,clinical,ppy,0.314461268149104,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_581_587,584,clinical,ppy,0.303059651165286,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_588_594,591,clinical,ppy,0.355567741386208,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_595_601,598,clinical,ppy,0.29682135131132,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_602_608,605,clinical,ppy,0.321084420732831,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_609_615,612,clinical,ppy,0.303162065838583,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_616_622,619,clinical,ppy,0.383442481726972,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_623_629,626,clinical,ppy,0.344195571707599,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_630_636,633,clinical,ppy,0.30374466152643,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_637_643,640,clinical,ppy,0.283056685159736,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_644_650,647,clinical,ppy,0.379883992456658,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_651_657,654,clinical,ppy,0.316187947395054,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_658_664,661,clinical,ppy,0.300237325911834,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_665_671,668,clinical,ppy,0.336806969559716,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_672_678,675,clinical,ppy,0.281753523161699,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_679_685,682,clinical,ppy,0.317612135166082,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_686_692,689,clinical,ppy,0.274287016947082,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_693_699,696,clinical,ppy,0.287997303926506,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_700_706,703,clinical,ppy,0.338713679996115,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_707_713,710,clinical,ppy,0.30694880354285,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_714_720,717,clinical,ppy,0.380651419450457,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_721_727,724,clinical,ppy,0.340744793936283,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_728_734,731,clinical,ppy,0.325247923174611,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_735_741,738,clinical,ppy,0.362207583130974,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_742_748,745,clinical,ppy,0.386217228060652,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_749_755,752,clinical,ppy,0.345108962611575,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_756_762,759,clinical,ppy,0.355552050364807,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_763_769,766,clinical,ppy,0.284199311552784,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_770_776,773,clinical,ppy,0.346488906849141,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_777_783,780,clinical,ppy,0.357075015807202,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_784_790,787,clinical,ppy,0.37268842594641,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_791_797,794,clinical,ppy,0.341359966160723,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_798_804,801,clinical,ppy,0.390793002812584,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_805_811,808,clinical,ppy,0.367280983936678,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_812_818,815,clinical,ppy,0.383622834832965,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_819_825,822,clinical,ppy,0.397914515525272,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_826_832,829,clinical,ppy,0.306159877904445,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_833_839,836,clinical,ppy,0.385442791611232,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_840_846,843,clinical,ppy,0.41480516756117,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_847_853,850,clinical,ppy,0.298565581737125,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_854_860,857,clinical,ppy,0.391482448247143,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_861_867,864,clinical,ppy,0.371457728823847,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_868_874,871,clinical,ppy,0.313108797923936,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_875_881,878,clinical,ppy,0.428286148817513,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_882_888,885,clinical,ppy,0.386403766056432,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_889_895,892,clinical,ppy,0.347816909244289,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_896_902,899,clinical,ppy,0.407110481028919,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_903_909,906,clinical,ppy,0.36980333073593,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_910_916,913,clinical,ppy,0.418978076599637,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_0_6,3,severe,ppy,0,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_7_13,10,severe,ppy,0,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_14_20,17,severe,ppy,4.2817453271623e-4,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_21_27,24,severe,ppy,0,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_28_34,31,severe,ppy,2.7414765229646e-4,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_35_41,38,severe,ppy,0.00325593349769702,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_42_48,45,severe,ppy,0,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_49_55,52,severe,ppy,0.00141146675780944,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_56_62,59,severe,ppy,0.00149723780343938,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_63_69,66,severe,ppy,2.477927610496e-4,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_70_76,73,severe,ppy,0.0015260704460629,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_77_83,80,severe,ppy,0.00458485747113593,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_84_90,87,severe,ppy,0.0048904365564223,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_91_97,94,severe,ppy,0.00391007387841522,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_98_104,101,severe,ppy,0.00630203392458921,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_105_111,108,severe,ppy,0.00167360427604136,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_112_118,115,severe,ppy,0.00515951987632041,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_119_125,122,severe,ppy,0.00754939016159907,5,PMC co-delivery with EPI only
Benin,rural/urban merged,BEN,Alibori,n_age_126_132,129,severe,ppy,0.00277035178394439,5,PMC co-delivery with EPI only
