Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Benin,rural/urban merged,BEN,Alibori,n_age_0_6,3,clinical,ppy,0.0114414208550798
Benin,rural/urban merged,BEN,Alibori,n_age_7_13,10,clinical,ppy,0.0283703922037919
Benin,rural/urban merged,BEN,Alibori,n_age_14_20,17,clinical,ppy,0.0228280916396466
Benin,rural/urban merged,BEN,Alibori,n_age_21_27,24,clinical,ppy,0.0349118250788334
Benin,rural/urban merged,BEN,Alibori,n_age_28_34,31,clinical,ppy,0.0382010871941059
Benin,rural/urban merged,BEN,Alibori,n_age_35_41,38,clinical,ppy,0.0300047126924716
Benin,rural/urban merged,BEN,Alibori,n_age_42_48,45,clinical,ppy,0.0350163789668696
Benin,rural/urban merged,BEN,Alibori,n_age_49_55,52,clinical,ppy,0.0234250397450203
Benin,rural/urban merged,BEN,Alibori,n_age_56_62,59,clinical,ppy,0.0677888051859645
Benin,rural/urban merged,BEN,Alibori,n_age_63_69,66,clinical,ppy,0.0414665555047923
Benin,rural/urban merged,BEN,Alibori,n_age_70_76,73,clinical,ppy,0.0703330364033252
Benin,rural/urban merged,BEN,Alibori,n_age_77_83,80,clinical,ppy,0.0551419878378578
Benin,rural/urban merged,BEN,Alibori,n_age_84_90,87,clinical,ppy,0.0655237825052758
Benin,rural/urban merged,BEN,Alibori,n_age_91_97,94,clinical,ppy,0.0916037625745164
Benin,rural/urban merged,BEN,Alibori,n_age_98_104,101,clinical,ppy,0.111642301557342
Benin,rural/urban merged,BEN,Alibori,n_age_105_111,108,clinical,ppy,0.0862984683580627
Benin,rural/urban merged,BEN,Alibori,n_age_112_118,115,clinical,ppy,0.12643693150364
Benin,rural/urban merged,BEN,Alibori,n_age_119_125,122,clinical,ppy,0.125486951347358
Benin,rural/urban merged,BEN,Alibori,n_age_126_132,129,clinical,ppy,0.128806447021221
Benin,rural/urban merged,BEN,Alibori,n_age_133_139,136,clinical,ppy,0.167469823268833
Benin,rural/urban merged,BEN,Alibori,n_age_140_146,143,clinical,ppy,0.14415748228944
Benin,rural/urban merged,BEN,Alibori,n_age_147_153,150,clinical,ppy,0.157844282531566
Benin,rural/urban merged,BEN,Alibori,n_age_154_160,157,clinical,ppy,0.201770609706399
Benin,rural/urban merged,BEN,Alibori,n_age_161_167,164,clinical,ppy,0.172064325959201
Benin,rural/urban merged,BEN,Alibori,n_age_168_174,171,clinical,ppy,0.195536546728183
Benin,rural/urban merged,BEN,Alibori,n_age_175_181,178,clinical,ppy,0.205419241110713
Benin,rural/urban merged,BEN,Alibori,n_age_182_188,185,clinical,ppy,0.236050919499628
