Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Benin,BEN,0-6mo,91,Alibori,raw cases,5,1071.65128590008,78.1280995549165,847.661720164646,60.8146107649015,93.8073188372888,6.84065712567786,74.2732293958554,5.33086212842784,223.989565735437,17.313488790015,19.5340894414334,1.50979499725002,20.9013481047902,22.1603864533339,PMC co-delivery with EPI only
Benin,BEN,6-12mo,273.5,Alibori,raw cases,5,2669.39145669366,229.684475700905,2323.06298644717,203.125025812471,237.667225645323,20.4584742699388,206.90598858226,18.0983062264263,346.328470246493,26.5594498884339,30.7612370630626,2.36016804351246,12.9740607874523,11.5634501667494,PMC co-delivery with EPI only
Benin,BEN,12-18mo,456,Alibori,raw cases,5,3074.44389979411,225.97290865209,3074.44389979411,225.97290865209,279.005265074676,20.5150498060696,279.005265074676,20.5150498060696,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,18-24mo,638.5,Alibori,raw cases,5,3486.38860184284,261.169807262078,3486.38860184284,261.169807262078,321.589689722036,24.0947656681425,321.589689722036,24.0947656681425,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,24-30mo,821,Alibori,raw cases,5,4040.88394675265,235.918129176279,4040.88394675265,235.918129176279,365.006585816963,21.2979237870989,365.006585816963,21.2979237870989,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,0-6mo,91,Atakora,raw cases,5,18960.5936264897,723.32844381902,14824.7413797988,520.958834099147,1977.35841221306,75.3106304472331,1547.92130505518,54.3162679380575,4135.85224669083,202.369609719873,429.437107157883,20.9943625091756,21.8128837533476,27.9775545188579,PMC co-delivery with EPI only
Benin,BEN,6-12mo,273.5,Atakora,raw cases,5,69164.0630325563,1635.50397317493,54822.912781527,1278.99066362746,7333.3213954377,173.267721774152,5818.07492707791,135.630717729557,14341.1502510293,356.513309547462,1515.2464683598,37.6370040445951,20.7349736586162,21.798376243341,PMC co-delivery with EPI only
Benin,BEN,12-18mo,456,Atakora,raw cases,5,69683.1401676029,1298.62106229311,69683.1401676029,1298.62106229311,7529.36575719921,140.297093292308,7529.36575719921,140.297093292308,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,18-24mo,638.5,Atakora,raw cases,5,65668.9887925539,1043.14761353636,65668.9887925539,1043.14761353636,7211.89795276982,114.523549694672,7211.89795276982,114.523549694672,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,24-30mo,821,Atakora,raw cases,5,53469.314637547,589.267310927837,53469.314637547,589.267310927837,5751.0451580122,63.3897921588605,5751.0451580122,63.3897921588605,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,0-6mo,91,Atlantique,raw cases,5,5716.39149967339,368.246398623952,3908.90383653517,239.213183358819,287.796157517807,18.5177351351433,197.179063704985,12.0514978535207,1807.48766313822,129.033215265133,90.6170938128226,6.46623728162254,31.6193819692282,35.0399123378529,PMC co-delivery with EPI only
Benin,BEN,6-12mo,273.5,Atlantique,raw cases,5,11129.6055331797,890.957049301007,8659.55308724279,689.663808604332,569.985708912288,45.630629409968,443.94314399955,35.3613124854945,2470.05244593691,201.293240696675,126.042564912738,10.2693169244734,22.1935309259,22.5929230656627,PMC co-delivery with EPI only
Benin,BEN,12-18mo,456,Atlantique,raw cases,5,12986.759538043,858.590115200255,12986.759538043,858.590115200255,677.865654652072,44.8082230236444,677.865654652072,44.8082230236444,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,18-24mo,638.5,Atlantique,raw cases,5,14136.9122113833,785.707735864476,14136.9122113833,785.707735864476,749.977973824771,41.6790880261554,749.977973824771,41.6790880261554,0,0,0,0,0,0,PMC co-delivery with EPI only
Benin,BEN,24-30mo,821,Atlantique,raw cases,5,15388.3526365995,649.413346670807,15388.3526365995,649.413346670807,798.84359199062,33.6890380346342,798.84359199062,33.6890380346342,0,0,0,0,0,0,PMC co-delivery with EPI only
