"","Admin-1","Rural population","Urban population","Rural (%)","Urban (%)"
"1","Alibori","1202504","54054","0.96","0.04"
"2","Atakora","1029159","28153","0.97","0.03"
"3","Borgou","1386498","366746","0.79","0.21"
"4","Donga","683291","47825","0.93","0.07"
"5","Collines","852444","23495","0.97","0.03"
"6","Plateau","393320","450164","0.47","0.53"
"7","Zou","469652","687465","0.41","0.59"
"8","Kouffo","231835","755524","0.23","0.77"
"9","Atlantique","317676","1826290","0.15","0.85"
"10","Oueme","76751","1615680","0.05","0.95"
"11","Mono","208517","457250","0.31","0.69"
"12","Littoral","0","729437","0","1"
