"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","0-1yr",57087.1697895083,3557.83115239766,60645.000941906
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","0-1yr",55443.8779003418,3350.28524720914,58794.163147551
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","0-1yr",53146.6701205448,3214.47949628719,56361.149616832
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","0-1yr",20474.9610047676,1575.15103055127,22050.1120353189
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","0-1yr",55963.4639503507,3177.08541961835,59140.549369969
"BFA","PMC co-delivery with EPI only",6,"Boucle_du_Mouhoun","1-2yr",43794.8565672548,2605.767427494,46400.6239947488
"BFA","PMC co-delivery with EPI only",6,"Cascades","0-1yr",33387.1445349917,4321.37443485035,37708.518969842
"BFA","PMC co-delivery with EPI only",6,"Cascades","0-1yr",32829.4186208216,4251.16362771692,37080.5822485386
"BFA","PMC co-delivery with EPI only",6,"Cascades","0-1yr",31116.1956266927,4051.06766165941,35167.2632883521
"BFA","PMC co-delivery with EPI only",6,"Cascades","0-1yr",19484.221726894,2461.09975234647,21945.3214792404
"BFA","PMC co-delivery with EPI only",6,"Cascades","0-1yr",31234.1645864777,3853.91994186122,35088.0845283389
"BFA","PMC co-delivery with EPI only",6,"Cascades","1-2yr",25171.8896634266,3464.31601331241,28636.205676739
"BFA","PMC co-delivery with EPI only",6,"Centre","0-1yr",6188.22528773277,153898.141146493,160086.366434226
"BFA","PMC co-delivery with EPI only",6,"Centre","0-1yr",5896.60763062652,148130.843437099,154027.451067725
"BFA","PMC co-delivery with EPI only",6,"Centre","0-1yr",5677.67625258949,142092.827400532,147770.503653122
"BFA","PMC co-delivery with EPI only",6,"Centre","0-1yr",2855.1073297383,59457.6126891771,62312.7200189154
"BFA","PMC co-delivery with EPI only",6,"Centre","0-1yr",5647.4190437199,139954.072945294,145601.491989014
"BFA","PMC co-delivery with EPI only",6,"Centre","1-2yr",3830.99771386847,91539.4224295502,95370.4201434187
