Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Burkina Faso,BFA,0-30mo,Boucle_du_Mouhoun,raw cases,6,250944.672268323,7204.59929369736,2775.52525618993,79.685084045155,22066.3249909639,835.844112651609,244.060341150533,9.24469295933743,228878.347277359,6368.75518104575,2531.4649150394,70.4403910858175,8.79330283902958,11.6015350552919,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Cascades,raw cases,6,56348.2691878952,2525.76762417397,1051.82816226777,47.1473845912032,5362.78671387491,299.993714728209,100.104762314524,5.59984968841312,50985.4824740203,2225.77390944577,951.723399953244,41.5475349027901,9.51721639575567,11.8773283756188,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Centre,raw cases,6,120919.196042332,7481.80106727627,539.1471896003,33.3594015722563,11625.2856058801,701.47888875937,51.8341195430779,3.12771159432911,109293.910436452,6780.3221785169,487.313070057222,30.2316899779272,9.61409435918702,9.37580246322617,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Centre_Est,raw cases,6,144000.841819413,5523.43192913778,1741.40132768958,66.7948296223562,13758.5846825623,620.410828171121,166.382483120411,7.50262447246703,130242.257136851,4903.02110096666,1575.01884456917,59.2922051498892,9.55451684082271,11.2323431542311,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Centre_Nord,raw cases,6,240430.859038231,7406.62891607009,2930.19048181603,90.2664227005946,22302.0187733939,909.954187886415,271.800231453194,11.0898372650636,218128.840264837,6496.67472818368,2658.39025036284,79.176585435531,9.27585538004824,12.2856727155872,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Centre_Ouest,raw cases,6,178902.409385713,6158.64572031522,2208.82811548864,76.0380470395855,18409.7024675326,789.885365738446,227.296370952698,9.75236169175616,160492.70691818,5368.76035457677,1981.53174453594,66.2856853478294,10.2903602756078,12.8256341022003,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Centre_Sud,raw cases,6,43230.1899113483,2092.23721758518,1041.74629139803,50.4180149708791,4695.67418363351,264.391683910754,113.154746172641,6.37122013008338,38534.5157277148,1827.84553367443,928.591545225393,44.0467948407957,10.8620253421576,12.6367928879456,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Est,raw cases,6,352602.764072775,8747.42917819823,3713.11023313613,92.1154684666558,29744.7054574345,1005.8885572121,313.228883800879,10.5925859798646,322858.058615341,7741.54062098613,3399.88134933525,81.5228824867912,8.43575504453372,11.4992477986462,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Haut_Bassins,raw cases,6,123601.321029067,5378.48997850673,1012.75754679963,44.0699684337343,11130.1960187184,581.26449749681,91.197973625746,4.76273232054007,112471.125010349,4797.22548100992,921.559573173879,39.3072361131942,9.00491671614169,10.807206108399,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Nord,raw cases,6,224215.662694323,6684.0990521941,2972.61039086436,88.6165670023099,22554.979261326702,918.545548577925,299.029804217363,12.1779094706129,201660.683432996,5765.55350361617,2673.580586647,76.438657531697,10.0595020839718,13.7422492007566,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Plateau_Central,raw cases,6,61121.5889944509,2651.57344517059,1403.62390996862,60.891936023083296,6424.11436531848,327.910966202828,147.526277897528,7.53029625170553,54697.4746291325,2323.66247896776,1256.09763207109,53.3616397713778,10.510385071798,12.3666559868468,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Sahel,raw cases,6,252986.272167028,6855.44077767668,3630.93231835986,98.3912734199041,17531.5264688638,645.313233226382,251.617550235894,9.26172259829183,235454.745698164,6210.1275444503,3379.31476812397,89.1295508216123,6.92983311651352,9.41315451703282,PMC co-delivery with EPI only
Burkina Faso,BFA,0-30mo,Sud_Ouest,raw cases,6,61083.0635611834,2505.81361582631,1414.17405119484,58.0137338573858,5710.88287533531,284.354052882224,132.216393560921,6.58326710374207,55372.1806858481,2221.45956294409,1281.95765763391,51.4304667536437,9.34937205566818,11.347773477097,PMC co-delivery with EPI only
