Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Burkina Faso,BFA,0-6mo,91,Boucle_du_Mouhoun,raw cases,6,10265.8698326185,464.026567996854,6783.39907433906,296.119311374151,552.667561707615,24.9506167180753,365.635164103216,15.9389543938581,3482.47075827945,167.907256622703,187.032397604399,9.01166232421718,33.9228025979283,36.1848368612896,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Boucle_du_Mouhoun,raw cases,6,54330.5793716745,2082.6048745332,42856.5493377964,1610.78303839845,2971.90801073562,113.849945253676,2344.55068965319,88.0593743066159,11474.0300338781,471.821836134748,627.35732108243,25.7905709470604,21.1189171302306,22.655369816154,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Boucle_du_Mouhoun,raw cases,6,58525.5117328922,1505.90919738174,51415.6875340858,1309.79417748758,3263.13994227286,83.9735783828668,2865.9423589052,73.0181527678156,7109.82419880636,196.115019894158,397.19758336766,10.9554256150512,12.1482478124331,13.023030886267,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Boucle_du_Mouhoun,raw cases,6,63563.6872593717,1839.98020691979,63563.6872593717,1839.98020691979,3608.01656919914,104.413899243343,3608.01656919914,104.413899243343,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Boucle_du_Mouhoun,raw cases,6,64259.024071766,1312.07844686577,64259.024071766,1312.07844686577,3574.56038542756,72.9485021799214,3574.56038542756,72.9485021799214,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Cascades,raw cases,6,2910.3835712727,158.918070210025,1783.34596353439,95.3278800498588,264.164704051205,14.4132356775073,162.109070080396,8.65522398864071,1127.03760773832,63.5901901601661,102.055633970809,5.75801168886655,38.7247103393133,40.0144490026375,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Cascades,raw cases,6,11051.244577576,610.689610834591,8457.84737085902,458.093260676852,1019.88895206643,56.3516175210646,780.972464608555,42.2922415366127,2593.39720671701,152.596350157739,238.916487457871,14.0593759844519,23.4670148553154,24.9875464475636,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Cascades,raw cases,6,12948.4969362801,601.080922144212,11306.1450368606,517.273747733907,1218.2972905001,56.5416353053282,1063.47559258412,48.6427158080334,1642.35189941958,83.8071744103044,154.821697915981,7.89891949729481,12.6837262077725,13.9427440337555,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Cascades,raw cases,6,14002.5264267385,617.853419826093,14002.5264267385,617.853419826093,1341.84011666576,59.1884891983071,1341.84011666576,59.1884891983071,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Cascades,raw cases,6,15435.6176760279,537.225601159054,15435.6176760279,537.225601159054,1449.81782000443,50.4615820247959,1449.81782000443,50.4615820247959,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Centre,raw cases,6,9862.11453442099,571.482703667613,5660.63722674379,350.21987427914,213.577352045774,12.4064140790761,122.770399829394,7.62399966975164,4201.47730767721,221.262829388473,90.8069522163806,4.78241440932447,42.6021954319544,38.7173273956449,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Centre,raw cases,6,22545.4056556941,1576.2473304311,17807.2338542628,1265.82496718328,496.910058411751,34.7327034530513,392.579771314478,27.8986353011042,4738.17180143131,310.422363247825,104.330287097273,6.83406815194703,21.0161301765472,19.6937598088064,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Centre,raw cases,6,26778.9382883237,1754.92056253793,24093.3017915521,1585.12686641485,601.935540771569,39.4558150223763,541.446058229851,35.631474972601,2685.6364967716,169.793696123073,60.4894825417181,3.82434004977534,10.028913274514,9.67529241765343,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Centre,raw cases,6,29748.1560155537,1891.35789723243,29748.1560155537,1891.35789723243,680.980509017728,43.3083405306539,680.980509017728,43.3083405306539,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Centre,raw cases,6,31984.5815483392,1687.7925734072,31984.5815483392,1687.7925734072,717.693062038902,37.8733274107273,717.693062038902,37.8733274107273,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Centre_Est,raw cases,6,8304.30672144611,412.878789726216,5040.96909736151,250.252369014049,488.402296105003,24.2694328676507,296.952683288631,14.7303093408385,3263.3376240846,162.626420712167,191.449612816372,9.53912352681224,39.2969302983106,39.3884173173454,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Centre_Est,raw cases,6,29306.4074230872,1350.53770976029,22832.2609898189,1053.03820650215,1752.24964221221,80.7410879820494,1365.65356691176,62.974877842053,6474.14643326831,297.499503258141,386.59607530045,17.7662101399964,22.0912319268723,22.0282263211253,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Centre_Est,raw cases,6,32446.5808177025,1284.74408160694,28425.4801924931,1124.45917740613,1977.61682711702,78.3120676510479,1732.09336912565,68.5242048617456,4021.10062520937,160.284904200814,245.523457991365,9.78786278930234,12.3929872543473,12.4760181031798,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Centre_Est,raw cases,6,35582.5330689867,1375.01935817357,35582.5330689867,1375.01935817357,2208.52812030839,85.3014102848535,2208.52812030839,85.3014102848535,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Centre_Est,raw cases,6,38361.0137881904,1100.25198987076,38361.0137881904,1100.25198987076,2334.34817560481,66.9451463157933,2334.34817560481,66.9451463157933,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Centre_Nord,raw cases,6,13657.5244550532,694.623791285887,8690.35287477922,447.618439267938,809.432327350749,41.1696910313659,515.742840293808,26.5660895985359,4967.17158027397,247.005352017948,293.689487056941,14.60360143283,36.3694869932021,35.5595870911205,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Centre_Nord,raw cases,6,51700.3102914032,2124.14465442903,40212.6860993796,1634.35832461359,3114.97509095259,127.940130599313,2423.87775826883,98.4698355390231,11487.6241920235,489.786329815444,691.097332683758,29.4702950602897,22.2196426429064,23.0580496857498,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Centre_Nord,raw cases,6,54997.9798410688,1493.15532499361,49150.7568399724,1319.99281894059,3378.86654807919,91.7354459049175,3018.94987243036,81.0781189638969,5847.2230010964,173.162506053023,359.916675648826,10.6573269410206,10.631705051701,11.5970859263261,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Centre_Nord,raw cases,6,59907.3162694754,1732.51819962221,59907.3162694754,1732.51819962221,3748.55735745051,108.401954257688,3748.55735745051,108.401954257688,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Centre_Nord,raw cases,6,60167.72818123,1362.18694573934,60167.72818123,1362.18694573934,3689.35759458255,83.5305634122156,3689.35759458255,83.5305634122156,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Centre_Ouest,raw cases,6,9983.94644243635,510.842812603099,6044.3033387671,293.141856077603,599.0359099152,30.6308070647882,363.20543760873,17.6102672277268,3939.64310366925,217.700956525496,235.830472306471,13.0205398370614,39.4597780184793,42.616035922314,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Centre_Ouest,raw cases,6,36983.1645030716,1550.73865148153,27847.6118184818,1166.08762464637,2256.73572097443,94.6136624828821,1700.43095078448,71.1955260234833,9135.5526845898,384.651026835161,556.304770189949,23.4181364593988,24.7019226378831,24.804374771189,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Centre_Ouest,raw cases,6,40957.2988657976,1407.55813258397,35622.792186524,1220.02475020618,2549.76948941328,87.6486700522572,2217.02971140311,75.9508382475127,5334.50667927352,187.533382377788,332.73977801017,11.6978318047446,13.0245568604336,13.3233134771861,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Centre_Ouest,raw cases,6,44510.616984902,1454.43540340807,44510.616984902,1454.43540340807,2821.89712045055,92.1876781278847,2821.89712045055,92.1876781278847,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Centre_Ouest,raw cases,6,46467.3825895055,1235.07072023855,46467.3825895055,1235.07072023855,2887.83675544678,76.7510701841901,2887.83675544678,76.7510701841901,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Centre_Sud,raw cases,6,2732.79716293554,158.587366653882,1570.15136158535,93.4979703924322,320.028054209938,18.5815909987055,184.194945931616,10.9763575969489,1162.64580135019,65.0893962614494,135.833108278322,7.60523340175661,42.5441674603208,41.0432417378539,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Centre_Sud,raw cases,6,8580.56085922473,494.161033896418,6350.21184443046,356.540675434809,1021.9338125669,58.8436281552885,756.837698922783,42.4792104110179,2230.34901479427,137.620358461609,265.096113644119,16.3644177442706,25.9930446434219,27.8492938580131,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Centre_Sud,raw cases,6,9791.54860344693,461.961319308107,8488.86923595789,400.279390120411,1189.41786747211,56.1253045347989,1030.88535097735,48.6186829262665,1302.67936748904,61.6819291876958,158.532516494763,7.50662160853246,13.3041199124565,13.3521848279589,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Centre_Sud,raw cases,6,10597.2461673563,525.773923765205,10597.2461673563,525.773923765205,1311.42690178896,65.0586323122262,1311.42690178896,65.0586323122262,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Centre_Sud,raw cases,6,11528.0371183848,451.753573961569,11528.0371183848,451.753573961569,1398.24476395768,54.7895207822575,1398.24476395768,54.7895207822575,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Est,raw cases,6,16853.8313522127,741.075475287944,11045.7250405169,471.368549047198,862.926297191109,37.9404813244418,566.276255352615,24.174998208413,5808.10631169577,269.706926240746,296.650041838494,13.7654831160287,34.4616377743287,36.3939889032155,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Est,raw cases,6,79290.8422051492,2632.21542986857,63481.1567031735,2067.14534695115,4127.08455545174,136.884588735639,3305.09032253315,107.514466616361,15809.6855019758,565.070082917424,821.994232918592,29.3701221192778,19.9388543018264,21.4674709564193,PMC co-delivery with EPI only
Burkina Faso,BFA,12-18mo,456,Est,raw cases,6,82989.9639452232,1831.36952411002,74863.0503014602,1660.25797605609,4405.59472197264,97.2340250627463,3973.29278669852,88.1312376710077,8126.91364376298,171.111548053928,432.301935274125,9.10278739173863,9.79264631218189,9.34336548693428,PMC co-delivery with EPI only
Burkina Faso,BFA,18-24mo,638.5,Est,raw cases,6,87163.8790394031,1974.70194665426,87163.8790394031,1974.70194665426,4712.65906834873,106.734673336832,4712.65906834873,106.734673336832,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,24-30mo,821,Est,raw cases,6,86304.2475307871,1568.06680227743,86304.2475307871,1568.06680227743,4574.58398367304,83.1154747126463,4574.58398367304,83.1154747126463,0,0,0,0,0,0,PMC co-delivery with EPI only
Burkina Faso,BFA,0-6mo,91,Haut_Bassins,raw cases,6,7738.31998226246,451.724691749713,4834.6051991177,279.161053297216,308.37180094888,18.0088886137795,192.959871777373,11.151103938278,2903.71478314476,172.563638452498,115.411929171507,6.85778467550159,37.523839668049,38.2010639675437,PMC co-delivery with EPI only
Burkina Faso,BFA,6-12mo,273.5,Haut_Bassins,raw cases,6,24888.1621784705,1298.74183747322,19687.288966592,1019.83479387618,1008.36379587898,52.6234623343635,797.847065841322,41.3309299397056,5200.87321187853,278.907043597032,210.516730037655,11.2925323946579,20.8969757372344,21.4751720126044,PMC co-delivery with EPI only
