Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_0_6,3,clinical,ppy,0.0314149838424758
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_7_13,10,clinical,ppy,0.0253715993502327
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_14_20,17,clinical,ppy,0.0195854586423107
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_21_27,24,clinical,ppy,0.037843432599539
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_28_34,31,clinical,ppy,0.0357398033874097
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_35_41,38,clinical,ppy,0.0352717490803327
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_42_48,45,clinical,ppy,0.0358299689438115
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_49_55,52,clinical,ppy,0.0338339314284541
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_56_62,59,clinical,ppy,0.0559888105601692
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_63_69,66,clinical,ppy,0.0467894195100852
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_70_76,73,clinical,ppy,0.0537517256282682
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_77_83,80,clinical,ppy,0.0545891395073055
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_84_90,87,clinical,ppy,0.044109394753093
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_91_97,94,clinical,ppy,0.0716634168571563
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_98_104,101,clinical,ppy,0.0662507872971545
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_105_111,108,clinical,ppy,0.0773501932564185
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_112_118,115,clinical,ppy,0.0535124484308138
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_119_125,122,clinical,ppy,0.0851739968027469
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_126_132,129,clinical,ppy,0.0565791081058773
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_133_139,136,clinical,ppy,0.0988881202784933
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_140_146,143,clinical,ppy,0.107015945670463
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_147_153,150,clinical,ppy,0.0596734691296259
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_154_160,157,clinical,ppy,0.0811546069230338
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_161_167,164,clinical,ppy,0.0859090745214769
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_168_174,171,clinical,ppy,0.0975096027348576
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_175_181,178,clinical,ppy,0.0840704476503304
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_182_188,185,clinical,ppy,0.088413455816536
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_189_195,192,clinical,ppy,0.0832265093847808
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_196_202,199,clinical,ppy,0.102392340894609
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_203_209,206,clinical,ppy,0.0664121503603354
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_210_216,213,clinical,ppy,0.070105664894588
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_217_223,220,clinical,ppy,0.100946730117466
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_224_230,227,clinical,ppy,0.120700292877114
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_231_237,234,clinical,ppy,0.0798045567060579
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_238_244,241,clinical,ppy,0.0962565197529778
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_245_251,248,clinical,ppy,0.114949558053242
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_252_258,255,clinical,ppy,0.114373299138558
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_259_265,262,clinical,ppy,0.0928658636531827
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_266_272,269,clinical,ppy,0.111585314780776
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_273_279,276,clinical,ppy,0.0968749164260537
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_280_286,283,clinical,ppy,0.0879000223339917
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_287_293,290,clinical,ppy,0.0794841471650616
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_294_300,297,clinical,ppy,0.0979923939334596
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_301_307,304,clinical,ppy,0.0933795357165209
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_308_314,311,clinical,ppy,0.106742118111473
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_315_321,318,clinical,ppy,0.11071014216797
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_322_328,325,clinical,ppy,0.0946284057377186
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_329_335,332,clinical,ppy,0.11033741762663
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_336_342,339,clinical,ppy,0.0974199425603671
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_343_349,346,clinical,ppy,0.118619089803729
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_350_356,353,clinical,ppy,0.110496677565915
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_357_363,360,clinical,ppy,0.145534533429355
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_364_370,367,clinical,ppy,0.113963701206482
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_371_377,374,clinical,ppy,0.125109872618984
Central African Republic,rural/urban merged,CAF,Bamingui_Bangoran,n_age_378_384,381,clinical,ppy,0.11192067158842
