Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Central African Republic,CAF,n_age_0_6,3,ppy,0.046965289,0.004115309
Central African Republic,CAF,n_age_7_13,10,ppy,0.051879314,0.00433573
Central African Republic,CAF,n_age_14_20,17,ppy,0.061241797,0.003816792
Central African Republic,CAF,n_age_21_27,24,ppy,0.063820448,0.00494696
Central African Republic,CAF,n_age_28_34,31,ppy,0.073345297,0.004264118
Central African Republic,CAF,n_age_35_41,38,ppy,0.083764363,0.00593871
Central African Republic,CAF,n_age_42_48,45,ppy,0.085508283,0.005550348
Central African Republic,CAF,n_age_49_55,52,ppy,0.109828518,0.007392776
Central African Republic,CAF,n_age_56_62,59,ppy,0.108980873,0.004653524
Central African Republic,CAF,n_age_63_69,66,ppy,0.124271445,0.008383221
Central African Republic,CAF,n_age_70_76,73,ppy,0.138026418,0.009105741
Central African Republic,CAF,n_age_77_83,80,ppy,0.152702739,0.008050603
Central African Republic,CAF,n_age_84_90,87,ppy,0.162489609,0.010120208
Central African Republic,CAF,n_age_91_97,94,ppy,0.176384935,0.011801025
Central African Republic,CAF,n_age_98_104,101,ppy,0.185798406,0.010502732
Central African Republic,CAF,n_age_105_111,108,ppy,0.212326269,0.01272525
Central African Republic,CAF,n_age_112_118,115,ppy,0.211227249,0.012300988
Central African Republic,CAF,n_age_119_125,122,ppy,0.237950596,0.012144758
Central African Republic,CAF,n_age_126_132,129,ppy,0.252691162,0.017287979
Central African Republic,CAF,n_age_133_139,136,ppy,0.255793776,0.017226173
Central African Republic,CAF,n_age_140_146,143,ppy,0.274330658,0.016999953
Central African Republic,CAF,n_age_147_153,150,ppy,0.272342641,0.016165998
Central African Republic,CAF,n_age_154_160,157,ppy,0.300014331,0.019411736
Central African Republic,CAF,n_age_161_167,164,ppy,0.320983369,0.020349106
Central African Republic,CAF,n_age_168_174,171,ppy,0.318094547,0.019495193
Central African Republic,CAF,n_age_175_181,178,ppy,0.340810325,0.024490522
Central African Republic,CAF,n_age_182_188,185,ppy,0.343164706,0.024326411
Central African Republic,CAF,n_age_189_195,192,ppy,0.355011825,0.025324794
Central African Republic,CAF,n_age_196_202,199,ppy,0.371633205,0.025562709
Central African Republic,CAF,n_age_203_209,206,ppy,0.376489217,0.029424977
Central African Republic,CAF,n_age_210_216,213,ppy,0.382501479,0.025857542
Central African Republic,CAF,n_age_217_223,220,ppy,0.37492817,0.028535298
Central African Republic,CAF,n_age_224_230,227,ppy,0.38185463,0.024468845
Central African Republic,CAF,n_age_231_237,234,ppy,0.397817992,0.029920367
Central African Republic,CAF,n_age_238_244,241,ppy,0.394802965,0.02472053
Central African Republic,CAF,n_age_245_251,248,ppy,0.409957889,0.026841499
Central African Republic,CAF,n_age_252_258,255,ppy,0.412786244,0.028439074
Central African Republic,CAF,n_age_259_265,262,ppy,0.401255729,0.025622766
Central African Republic,CAF,n_age_266_272,269,ppy,0.414174575,0.026743919
Central African Republic,CAF,n_age_273_279,276,ppy,0.417920309,0.027470622
Central African Republic,CAF,n_age_280_286,283,ppy,0.424866527,0.029180269
Central African Republic,CAF,n_age_287_293,290,ppy,0.408495607,0.025365623
Central African Republic,CAF,n_age_294_300,297,ppy,0.437459975,0.031823127
Central African Republic,CAF,n_age_301_307,304,ppy,0.446567679,0.030324908
Central African Republic,CAF,n_age_308_314,311,ppy,0.431351389,0.028549254
Central African Republic,CAF,n_age_315_321,318,ppy,0.449772037,0.028053743
Central African Republic,CAF,n_age_322_328,325,ppy,0.447410014,0.028724359
Central African Republic,CAF,n_age_329_335,332,ppy,0.43325304,0.029378751
Central African Republic,CAF,n_age_336_342,339,ppy,0.456341392,0.029970896
Central African Republic,CAF,n_age_343_349,346,ppy,0.46182427,0.028678491
Central African Republic,CAF,n_age_350_356,353,ppy,0.449972333,0.029603739
Central African Republic,CAF,n_age_357_363,360,ppy,0.448136763,0.031121851
Central African Republic,CAF,n_age_364_370,367,ppy,0.458328815,0.027693218
Central African Republic,CAF,n_age_371_377,374,ppy,0.459716221,0.028933678
Central African Republic,CAF,n_age_378_384,381,ppy,0.469222346,0.026970913
Central African Republic,CAF,n_age_385_391,388,ppy,0.476342085,0.032014557
Central African Republic,CAF,n_age_392_398,395,ppy,0.461571993,0.030487079
Central African Republic,CAF,n_age_399_405,402,ppy,0.46533943,0.030206817
Central African Republic,CAF,n_age_406_412,409,ppy,0.472921715,0.029138041
Central African Republic,CAF,n_age_413_419,416,ppy,0.477417251,0.029165646
Central African Republic,CAF,n_age_420_426,423,ppy,0.469387273,0.031538636
Central African Republic,CAF,n_age_427_433,430,ppy,0.484459701,0.031589108
Central African Republic,CAF,n_age_434_440,437,ppy,0.500639765,0.031352488
Central African Republic,CAF,n_age_441_447,444,ppy,0.493952876,0.033894769
Central African Republic,CAF,n_age_448_454,451,ppy,0.498451195,0.029770125
Central African Republic,CAF,n_age_455_461,458,ppy,0.491532097,0.031226338
Central African Republic,CAF,n_age_462_468,465,ppy,0.505268971,0.031973655
Central African Republic,CAF,n_age_469_475,472,ppy,0.510965043,0.030103392
Central African Republic,CAF,n_age_476_482,479,ppy,0.514685154,0.028870226
Central African Republic,CAF,n_age_483_489,486,ppy,0.497959585,0.024372725
Central African Republic,CAF,n_age_490_496,493,ppy,0.508503509,0.030945816
Central African Republic,CAF,n_age_497_503,500,ppy,0.50990897,0.03258898
Central African Republic,CAF,n_age_504_510,507,ppy,0.515096538,0.032165302
Central African Republic,CAF,n_age_511_517,514,ppy,0.531844257,0.027371065
Central African Republic,CAF,n_age_518_524,521,ppy,0.521983415,0.031273916
Central African Republic,CAF,n_age_525_531,528,ppy,0.520485796,0.033009107
Central African Republic,CAF,n_age_532_538,535,ppy,0.523619721,0.028265126
Central African Republic,CAF,n_age_539_545,542,ppy,0.532298092,0.031078627
Central African Republic,CAF,n_age_546_552,549,ppy,0.535924668,0.027554582
Central African Republic,CAF,n_age_553_559,556,ppy,0.521589939,0.029963374
Central African Republic,CAF,n_age_560_566,563,ppy,0.52928168,0.026893136
Central African Republic,CAF,n_age_567_573,570,ppy,0.527936721,0.031531402
Central African Republic,CAF,n_age_574_580,577,ppy,0.536308534,0.02962208
Central African Republic,CAF,n_age_581_587,584,ppy,0.526267734,0.031308383
Central African Republic,CAF,n_age_588_594,591,ppy,0.53100325,0.029310565
Central African Republic,CAF,n_age_595_601,598,ppy,0.539549514,0.032534452
Central African Republic,CAF,n_age_602_608,605,ppy,0.549888583,0.029893846
Central African Republic,CAF,n_age_609_615,612,ppy,0.54868376,0.029115947
Central African Republic,CAF,n_age_616_622,619,ppy,0.551337573,0.030172558
Central African Republic,CAF,n_age_623_629,626,ppy,0.566112645,0.031504184
Central African Republic,CAF,n_age_630_636,633,ppy,0.54830791,0.030846267
Central African Republic,CAF,n_age_637_643,640,ppy,0.556943144,0.031522447
Central African Republic,CAF,n_age_644_650,647,ppy,0.547616278,0.029857205
Central African Republic,CAF,n_age_651_657,654,ppy,0.549897106,0.030675491
Central African Republic,CAF,n_age_658_664,661,ppy,0.545634645,0.031903669
Central African Republic,CAF,n_age_665_671,668,ppy,0.577554527,0.032201801
Central African Republic,CAF,n_age_672_678,675,ppy,0.559557057,0.031186414
Central African Republic,CAF,n_age_679_685,682,ppy,0.539839557,0.025954579
Central African Republic,CAF,n_age_686_692,689,ppy,0.560834246,0.030754724
Central African Republic,CAF,n_age_693_699,696,ppy,0.571600251,0.031747999
Central African Republic,CAF,n_age_700_706,703,ppy,0.573850574,0.029147596
Central African Republic,CAF,n_age_707_713,710,ppy,0.539766799,0.028241044
Central African Republic,CAF,n_age_714_720,717,ppy,0.565520401,0.027722399
Central African Republic,CAF,n_age_721_727,724,ppy,0.573063222,0.025217253
Central African Republic,CAF,n_age_728_734,731,ppy,0.56358456,0.027001785
Central African Republic,CAF,n_age_735_741,738,ppy,0.587329001,0.028387191
Central African Republic,CAF,n_age_742_748,745,ppy,0.568505631,0.026725776
Central African Republic,CAF,n_age_749_755,752,ppy,0.576034718,0.026754735
Central African Republic,CAF,n_age_756_762,759,ppy,0.553372071,0.026156614
Central African Republic,CAF,n_age_763_769,766,ppy,0.551685832,0.029677527
Central African Republic,CAF,n_age_770_776,773,ppy,0.570877695,0.028194822
Central African Republic,CAF,n_age_777_783,780,ppy,0.590755395,0.026654575
Central African Republic,CAF,n_age_784_790,787,ppy,0.579235312,0.024504102
Central African Republic,CAF,n_age_791_797,794,ppy,0.574270263,0.024599841
Central African Republic,CAF,n_age_798_804,801,ppy,0.578020362,0.024188902
Central African Republic,CAF,n_age_805_811,808,ppy,0.573797121,0.027486181
Central African Republic,CAF,n_age_812_818,815,ppy,0.57779328,0.023931244
Central African Republic,CAF,n_age_819_825,822,ppy,0.577831337,0.025583603
Central African Republic,CAF,n_age_826_832,829,ppy,0.575735763,0.022244879
Central African Republic,CAF,n_age_833_839,836,ppy,0.578438757,0.022310456
Central African Republic,CAF,n_age_840_846,843,ppy,0.568803669,0.022045922
Central African Republic,CAF,n_age_847_853,850,ppy,0.58820218,0.025757433
Central African Republic,CAF,n_age_854_860,857,ppy,0.572881744,0.024473097
Central African Republic,CAF,n_age_861_867,864,ppy,0.569027873,0.026763496
Central African Republic,CAF,n_age_868_874,871,ppy,0.564985697,0.023395217
Central African Republic,CAF,n_age_875_881,878,ppy,0.591761914,0.025399675
Central African Republic,CAF,n_age_882_888,885,ppy,0.575285681,0.024018167
Central African Republic,CAF,n_age_889_895,892,ppy,0.591237881,0.025209688
Central African Republic,CAF,n_age_896_902,899,ppy,0.608101231,0.024351781
Central African Republic,CAF,n_age_903_909,906,ppy,0.589059592,0.024296984
Central African Republic,CAF,n_age_910_916,913,ppy,0.576468409,0.023591123
