Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction
Central African Republic,CAF,0-6mo,91,Mambere_Kadei,raw cases,4,866.7859192,51.62464743,679.5311936,43.75207056,261.7574282,15.58241858,205.4425761,13.23075882,187.2547256,7.872576869,56.31485202,2.351659757,21.60334189,15.24964772
Central African Republic,CAF,6-12mo,273.5,Mambere_Kadei,raw cases,4,1780.015292,118.8509083,1575.328848,105.4132997,552.0735795,36.816676,488.6009632,32.67599949,204.6864442,13.43760855,63.47261631,4.140676505,11.49913965,11.30627334
Central African Republic,CAF,12-18mo,456,Mambere_Kadei,raw cases,4,2076.092047,122.0048575,1868.304013,112.3652013,660.7336402,38.81360477,594.5997541,35.75469203,207.7880336,9.639656243,66.1338861,3.058912738,10.00861372,7.901042989
Central African Republic,CAF,18-24mo,638.5,Mambere_Kadei,raw cases,4,2230.323106,127.4258454,1998.432095,116.9195839,723.8609179,41.34271412,648.6100073,37.93808464,231.8910109,10.50626153,75.25091058,3.404629475,10.39719358,8.245000453
Central African Republic,CAF,24-30mo,821,Mambere_Kadei,raw cases,4,2433.739851,92.94577283,2187.659979,91.28699869,775.190069,29.59290693,696.8235251,29.06542889,246.0798717,1.658774136,78.3665439,0.527478031,10.11118224,1.784668722
Central African Republic,CAF,0-6mo,91,Nana_Mambere,raw cases,4,638.5512943,40.68846053,498.3063202,32.94533155,277.2951497,17.654922,216.5545231,14.30097153,140.2449741,7.743128982,60.74062661,3.353950465,21.9629927,19.03028249
Central African Republic,CAF,6-12mo,273.5,Nana_Mambere,raw cases,4,1314.563231,81.72955038,1138.278153,73.31994166,585.3047514,36.37082365,506.8033681,32.63118601,176.2850772,8.409608717,78.50138335,3.739637643,13.4101634,10.28955706
Central African Republic,CAF,12-18mo,456,Nana_Mambere,raw cases,4,1496.695925,90.57708463,1297.335545,80.00257795,683.1594639,41.31282408,592.1690296,36.49236921,199.3603801,10.57450668,90.9904343,4.820454868,13.32003226,11.67459377
Central African Republic,CAF,18-24mo,638.5,Nana_Mambere,raw cases,4,1646.940545,92.42187079,1429.138088,82.67604534,766.423203,43.01805177,665.0678766,38.48080766,217.8024569,9.745825453,101.3553264,4.537244112,13.22467029,10.54493419
Central African Republic,CAF,24-30mo,821,Nana_Mambere,raw cases,4,1733.28603,68.93456695,1514.120094,64.42903237,791.1154575,31.44962633,691.1055924,29.39736616,219.1659363,4.505534581,100.0098651,2.052260178,12.6445337,6.535958345
Central African Republic,CAF,0-6mo,91,Sangha_Mbaere,raw cases,4,244.5527854,15.59246021,196.750918,12.74344081,253.8213723,16.18201888,204.3969178,13.25171534,47.80186734,2.849019393,49.4244545,2.930303544,19.54664604,18.27177594
Central African Republic,CAF,6-12mo,273.5,Sangha_Mbaere,raw cases,4,500.1696631,28.88430843,453.7363302,28.31775495,532.8745651,30.75821738,483.3566007,30.15226323,46.43333289,0.566553476,49.51796438,0.605954154,9.283516438,1.961457644
Central African Republic,CAF,12-18mo,456,Sangha_Mbaere,raw cases,4,630.5138355,35.99729039,558.8430192,33.19805805,689.0017477,39.32996512,610.6613564,36.27023418,71.67081637,2.799232341,78.34039125,3.059730933,11.36704896,7.776230685
Central African Republic,CAF,18-24mo,638.5,Sangha_Mbaere,raw cases,4,689.5463554,32.39224669,613.5998913,29.45366214,768.7485709,36.12356927,684.0715944,32.83748961,75.94646407,2.938584549,84.67697646,3.286079657,11.01397513,9.071876295
Central African Republic,CAF,24-30mo,821,Sangha_Mbaere,raw cases,4,713.2568786,27.91564017,639.599946,27.41220518,780.1948972,30.54029893,699.6562368,29.98636333,73.6569326,0.503434993,80.53866036,0.553935597,10.32684504,1.803415539
Central African Republic,CAF,0-6mo,91,Bamingui_Bangoran,raw cases,4,35.55289025,3.181681394,25.74029671,2.243966603,59.99528442,5.367623692,43.50849356,3.789772626,9.812593537,0.93771479,16.48679086,1.577851066,27.59998827,29.4723033
Central African Republic,CAF,6-12mo,273.5,Bamingui_Bangoran,raw cases,4,58.67612811,4.905936398,51.55556876,4.387161421,101.5806949,8.495079885,89.21936093,7.594001777,7.120559356,0.518774976,12.36133395,0.901078107,12.13535996,10.57443338
Central African Republic,CAF,12-18mo,456,Bamingui_Bangoran,raw cases,4,68.53043786,5.069081114,67.26286954,5.001693286,121.6333358,8.994271654,119.3840518,8.875440281,1.26756832,0.067387829,2.249284085,0.118831372,1.849642815,1.329389431
Central African Republic,CAF,18-24mo,638.5,Bamingui_Bangoran,raw cases,4,76.02906165,6.125920656,74.46633355,6.017150364,137.6539287,11.09133892,134.8237838,10.89461137,1.562728105,0.108770292,2.830144968,0.196727558,2.055435213,1.775574609
Central African Republic,CAF,24-30mo,821,Bamingui_Bangoran,raw cases,4,88.08190624,6.031823233,86.47349115,5.9769465,156.4835209,10.71089448,153.6254891,10.61361824,1.608415087,0.054876733,2.858031833,0.097276238,1.826044821,0.90978683
Central African Republic,CAF,0-6mo,91,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,111.4316778,6.618544158,NA,NA,NA,NA,NA,NA
