Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000
Central African Republic,CAF,n_age_0_6,3,Mambere_Kadei,raw cases,4,9.629772885,0.330773291,86.388454,2.967359,0.740220391,-0.302117992,6.640498789,-2.710293022,8.889552494,0.632891283,79.74795521,5.677652022
Central African Republic,CAF,n_age_7_13,10,Mambere_Kadei,raw cases,4,9.507222213,0.715931957,73.185319,5.511148,-0.943081991,0.25843546,-7.259718434,1.989401438,10.4503042,0.457496498,80.44503743,3.521746562
Central African Republic,CAF,n_age_14_20,17,Mambere_Kadei,raw cases,4,14.60587153,0.375010036,112.566309,2.890173,2.026850789,0.005983197,15.62078043,0.046112033,12.57902074,0.369026838,96.94552857,2.844060967
Central African Republic,CAF,n_age_21_27,24,Mambere_Kadei,raw cases,4,13.06178477,1.849854288,100.793475,14.274714,0.641391451,0.395700911,4.949405787,3.053493119,12.42039332,1.454153377,95.84406921,11.22122088
Central African Republic,CAF,n_age_28_34,31,Mambere_Kadei,raw cases,4,19.99052505,1.056075777,154.442794,8.15903,3.156006336,-0.037949241,24.38267305,-0.293188238,16.83451872,1.094025018,130.060121,8.452218238
Central African Republic,CAF,n_age_35_41,38,Mambere_Kadei,raw cases,4,14.76731097,1.126789984,114.23762,8.716672,0.496513029,-0.273590692,3.840947539,-2.116455026,14.27079794,1.400380677,110.3966725,10.83312703
Central African Republic,CAF,n_age_42_48,45,Mambere_Kadei,raw cases,4,15.1338201,1.814668727,117.206739,14.054046,6.527085312,0.864062717,50.55024967,6.691897529,8.606734789,0.95060601,66.65648933,7.362148471
Central African Republic,CAF,n_age_49_55,52,Mambere_Kadei,raw cases,4,20.40839245,1.012204953,158.228041,7.847713,9.123897569,0.395550299,70.73837108,3.066735856,11.28449488,0.616654654,87.48966992,4.780977144
Central African Republic,CAF,n_age_56_62,59,Mambere_Kadei,raw cases,4,18.83435714,0.735763769,146.199182,5.711268,7.222628048,0.108427622,56.06468565,0.841654935,11.61172909,0.627336148,90.13449635,4.869613065
Central African Republic,CAF,n_age_63_69,66,Mambere_Kadei,raw cases,4,31.33994746,1.82403606,243.553896,14.175234,11.21707732,0.79873484,87.17190374,6.207252977,20.12287014,1.02530122,156.3819923,7.967981023
Central African Republic,CAF,n_age_70_76,73,Mambere_Kadei,raw cases,4,30.24789182,0.345511039,235.337013,2.688172,17.6824364,0.106143863,137.5742743,0.825828779,12.56545542,0.239367176,97.76273875,1.862343221
Central African Republic,CAF,n_age_77_83,80,Mambere_Kadei,raw cases,4,31.82620003,0.379853078,247.88626,2.95858,16.96495008,-0.0336182,132.1357254,-0.2618437,14.86124994,0.413471279,115.7505346,3.2204237
Central African Republic,CAF,n_age_84_90,87,Mambere_Kadei,raw cases,4,35.79757924,2.908360397,279.17624,22.681565,17.2176967,1.542681879,134.2764491,12.03098466,18.57988254,1.365678518,144.8997909,10.65058034
Central African Republic,CAF,n_age_91_97,94,Mambere_Kadei,raw cases,4,37.08611381,2.658515431,289.575582,20.758205,15.32788815,0.985623899,119.6831287,7.695942895,21.75822566,1.672891532,169.8924533,13.06226211
Central African Republic,CAF,n_age_98_104,101,Mambere_Kadei,raw cases,4,37.56045175,1.101655914,293.628487,8.612185,13.17295279,-0.143371047,102.9794376,-1.120801848,24.38749895,1.245026961,190.6490494,9.732986848
Central African Republic,CAF,n_age_105_111,108,Mambere_Kadei,raw cases,4,39.41745987,5.103926853,308.585011,39.956794,10.06249544,1.779630043,78.77563079,13.93207879,29.35496443,3.324296809,229.8093802,26.02471521
Central African Republic,CAF,n_age_112_118,115,Mambere_Kadei,raw cases,4,39.64600224,1.822342485,310.781123,14.285164,9.016553469,0.350643036,70.67987829,2.748656365,30.62944877,1.471699449,240.1012447,11.53650763
Central African Republic,CAF,n_age_119_125,122,Mambere_Kadei,raw cases,4,43.07477497,2.306434632,338.055279,18.101137,7.977037644,0.049617701,62.6046146,0.389404836,35.09773733,2.256816931,275.4506644,17.71173216
Central African Republic,CAF,n_age_126_132,129,Mambere_Kadei,raw cases,4,36.20008293,0.676112462,284.421556,5.312169,4.426495575,-1.085217796,34.77867057,-8.526481408,31.77358736,1.761330257,249.6428854,13.83865041
Central African Republic,CAF,n_age_133_139,136,Mambere_Kadei,raw cases,4,51.81141537,1.417450982,407.597814,11.151016,6.797242866,-0.236313026,53.47356975,-1.859062762,45.0141725,1.653764008,354.1242443,13.01007876
Central African Republic,CAF,n_age_140_146,143,Mambere_Kadei,raw cases,4,50.71022121,4.400525567,399.428004,34.661516,3.106376697,0.781631965,24.4679241,6.156662074,47.60384451,3.618893602,374.9600799,28.50485393
Central African Republic,CAF,n_age_147_153,150,Mambere_Kadei,raw cases,4,43.35056838,2.183900346,341.883065,17.22327,1.268764882,-0.143499575,10.00607934,-1.131705449,42.0818035,2.327399921,331.8769857,18.35497545
Central African Republic,CAF,n_age_154_160,157,Mambere_Kadei,raw cases,4,55.70565682,4.379586911,439.877022,34.583196,7.194292137,0.397243334,56.80937954,3.136812754,48.51136468,3.982343577,383.0676425,31.44638325
Central African Republic,CAF,n_age_161_167,164,Mambere_Kadei,raw cases,4,51.43313359,3.95590455,406.651451,31.277004,6.160933879,0.764002647,48.71087034,6.040518307,45.27219971,3.191901902,357.9405807,25.23648569
Central African Republic,CAF,n_age_168_174,171,Mambere_Kadei,raw cases,4,59.06692349,3.595733328,467.615014,28.466336,4.275978936,0.356002375,33.85163526,2.818363401,54.79094455,3.239730953,433.7633787,25.6479726
Central African Republic,CAF,n_age_175_181,178,Mambere_Kadei,raw cases,4,56.57243913,3.547724618,448.392382,28.119217,6.394041721,0.188138652,50.67908759,1.491184397,50.17839741,3.359585966,397.7132944,26.6280326
Central African Republic,CAF,n_age_182_188,185,Mambere_Kadei,raw cases,4,59.68754571,5.985930921,473.637199,47.500019,8.684739092,1.097282705,68.91580897,8.707242031,51.00280661,4.888648217,404.72139,38.79277697
Central African Republic,CAF,n_age_189_195,192,Mambere_Kadei,raw cases,4,56.62744631,4.993396249,449.910865,39.673045,5.8495447,0.883282445,46.4752322,7.017769561,50.77790161,4.110113803,403.4356328,32.65527544
Central African Republic,CAF,n_age_196_202,199,Mambere_Kadei,raw cases,4,69.66977942,5.338345981,554.258368,42.469245,9.699529554,1.252149757,77.16466832,9.961485264,59.97024986,4.086196224,477.0936997,32.50775974
Central African Republic,CAF,n_age_203_209,206,Mambere_Kadei,raw cases,4,64.92500996,3.514530451,517.170617,27.995558,6.804213737,0.357733635,54.20005972,2.849584848,58.12079622,3.156796816,462.9705573,25.14597315
Central African Republic,CAF,n_age_210_216,213,Mambere_Kadei,raw cases,4,68.95344023,5.362434284,549.939736,42.768217,8.258343449,1.142967506,65.86460662,9.115763427,60.69509678,4.219466778,484.0751294,33.65245357
Central African Republic,CAF,n_age_217_223,220,Mambere_Kadei,raw cases,4,62.58748722,5.337844067,499.770385,42.623478,6.012157841,0.886734644,48.00797368,7.080707886,56.57532937,4.451109423,451.7624113,35.54277011
Central African Republic,CAF,n_age_224_230,227,Mambere_Kadei,raw cases,4,67.63821136,6.463064333,540.752311,51.670748,9.195408488,1.254337311,73.51522594,10.02814513,58.44280287,5.208727022,467.2370851,41.64260287
Central African Republic,CAF,n_age_231_237,234,Mambere_Kadei,raw cases,4,65.1780342,5.333729629,521.721414,42.694153,6.097332506,1.268172699,48.8064572,10.15116307,59.08070169,4.06555693,472.9149568,32.54298993
Central African Republic,CAF,n_age_238_244,241,Mambere_Kadei,raw cases,4,65.25341293,4.561238216,522.997717,36.557738,7.963130008,0.575788727,63.82346344,4.614872635,57.29028292,3.985449489,459.1742536,31.94286537
Central African Republic,CAF,n_age_245_251,248,Mambere_Kadei,raw cases,4,68.85519147,5.683892192,552.586645,45.615194,7.381198056,0.601532766,59.2366586,4.82750779,61.47399342,5.082359426,493.3499864,40.78768621
Central African Republic,CAF,n_age_252_258,255,Mambere_Kadei,raw cases,4,72.80539673,4.967499721,585.035328,39.91686,8.488526646,0.748054932,68.2104376,6.011073112,64.31687008,4.219444789,516.8248904,33.90578689
Central African Republic,CAF,n_age_259_265,262,Mambere_Kadei,raw cases,4,64.73694426,4.239090345,520.822998,34.104417,7.134875092,0.761337757,57.40164411,6.125130215,57.60206917,3.477752588,463.4213539,27.97928678
Central African Republic,CAF,n_age_266_272,269,Mambere_Kadei,raw cases,4,59.86952962,3.179782661,482.254628,25.613445,5.957919389,0.492857832,47.99159467,3.970015668,53.91161023,2.686924828,434.2630333,21.64342933
Central African Republic,CAF,n_age_273_279,276,Mambere_Kadei,raw cases,4,72.49763452,2.586814607,584.642505,20.860843,12.11552017,0.426578917,97.70316108,3.440059369,60.38211434,2.160235689,486.9393439,17.42078363
Central African Republic,CAF,n_age_280_286,283,Mambere_Kadei,raw cases,4,69.91290399,5.666626288,564.533421,45.756931,7.039231858,0.585430385,56.84046028,4.727239168,62.87367213,5.081195903,507.6929607,41.02969183
