Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC
Central African Republic,CAF,n_age_0_6,3,4,raw cases,0.046965289,0.004115309
Central African Republic,CAF,n_age_7_13,10,4,raw cases,0.051879314,0.00433573
Central African Republic,CAF,n_age_14_20,17,4,raw cases,0.061241797,0.003816792
Central African Republic,CAF,n_age_21_27,24,4,raw cases,0.063820448,0.00494696
Central African Republic,CAF,n_age_28_34,31,4,raw cases,0.073345297,0.004264118
Central African Republic,CAF,n_age_35_41,38,4,raw cases,0.083764363,0.00593871
Central African Republic,CAF,n_age_42_48,45,4,raw cases,0.0350542,0.002389405
Central African Republic,CAF,n_age_49_55,52,4,raw cases,0.048204454,0.00307138
Central African Republic,CAF,n_age_56_62,59,4,raw cases,0.057180747,0.002519673
Central African Republic,CAF,n_age_63_69,66,4,raw cases,0.076107228,0.005034179
Central African Republic,CAF,n_age_70_76,73,4,raw cases,0.055019041,0.003678966
Central African Republic,CAF,n_age_77_83,80,4,raw cases,0.066846445,0.003463996
Central African Republic,CAF,n_age_84_90,87,4,raw cases,0.084766658,0.005358836
Central African Republic,CAF,n_age_91_97,94,4,raw cases,0.106798232,0.006946223
Central African Republic,CAF,n_age_98_104,101,4,raw cases,0.081678088,0.004312246
Central African Republic,CAF,n_age_105_111,108,4,raw cases,0.103725045,0.006694895
Central African Republic,CAF,n_age_112_118,115,4,raw cases,0.121621146,0.007118676
Central African Republic,CAF,n_age_119_125,122,4,raw cases,0.153466778,0.00793497
Central African Republic,CAF,n_age_126_132,129,4,raw cases,0.184829174,0.012752333
Central African Republic,CAF,n_age_133_139,136,4,raw cases,0.212364825,0.013985084
Central African Republic,CAF,n_age_140_146,143,4,raw cases,0.237101685,0.014926764
Central African Republic,CAF,n_age_147_153,150,4,raw cases,0.243336749,0.014347146
Central African Republic,CAF,n_age_154_160,157,4,raw cases,0.282524302,0.01832653
Central African Republic,CAF,n_age_161_167,164,4,raw cases,0.31655911,0.020064861
Central African Republic,CAF,n_age_168_174,171,4,raw cases,0.317916272,0.019484086
Central African Republic,CAF,n_age_175_181,178,4,raw cases,0.340810026,0.0244905
Central African Republic,CAF,n_age_182_188,185,4,raw cases,0.343164706,0.024326411
Central African Republic,CAF,n_age_189_195,192,4,raw cases,0.355011825,0.025324794
Central African Republic,CAF,n_age_196_202,199,4,raw cases,0.371633205,0.025562709
Central African Republic,CAF,n_age_203_209,206,4,raw cases,0.376489217,0.029424977
Central African Republic,CAF,n_age_210_216,213,4,raw cases,0.382501479,0.025857542
Central African Republic,CAF,n_age_217_223,220,4,raw cases,0.37492817,0.028535298
Central African Republic,CAF,n_age_224_230,227,4,raw cases,0.38185463,0.024468845
Central African Republic,CAF,n_age_231_237,234,4,raw cases,0.397817992,0.029920367
Central African Republic,CAF,n_age_238_244,241,4,raw cases,0.394802965,0.02472053
Central African Republic,CAF,n_age_245_251,248,4,raw cases,0.409957889,0.026841499
Central African Republic,CAF,n_age_252_258,255,4,raw cases,0.412786244,0.028439074
Central African Republic,CAF,n_age_259_265,262,4,raw cases,0.401255729,0.025622766
Central African Republic,CAF,n_age_266_272,269,4,raw cases,0.414174575,0.026743919
