Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_0_6,3,clinical,ppy,0.113983560157829,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_7_13,10,clinical,ppy,0.13678306358239,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_14_20,17,clinical,ppy,0.13534923925543,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_21_27,24,clinical,ppy,0.115734208006554,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_28_34,31,clinical,ppy,0.147453426055909,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_35_41,38,clinical,ppy,0.174437346234026,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_42_48,45,clinical,ppy,0.0581639473338848,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_49_55,52,clinical,ppy,0.0752342640788926,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_56_62,59,clinical,ppy,0.0746793812331009,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_63_69,66,clinical,ppy,0.109888091313262,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_70_76,73,clinical,ppy,0.0796557318148089,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_77_83,80,clinical,ppy,0.121183691114305,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_84_90,87,clinical,ppy,0.110090594814976,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_91_97,94,clinical,ppy,0.140935934239364,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_98_104,101,clinical,ppy,0.179162905433244,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_105_111,108,clinical,ppy,0.169068273599982,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_112_118,115,clinical,ppy,0.178979763386774,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_119_125,122,clinical,ppy,0.238261869437138,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_126_132,129,clinical,ppy,0.261971347545808,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_133_139,136,clinical,ppy,0.331098769422459,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_140_146,143,clinical,ppy,0.433134077507364,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_147_153,150,clinical,ppy,0.466582944743645,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_154_160,157,clinical,ppy,0.442496085110778,5,PMC co-delivery with EPI only
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_161_167,164,clinical,ppy,0.374041601712235,5,PMC co-delivery with EPI only
