Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_0_6,3,clinical,ppy,0.113983560157829
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_7_13,10,clinical,ppy,0.13678306358239
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_14_20,17,clinical,ppy,0.13534923925543
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_21_27,24,clinical,ppy,0.115734208006554
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_28_34,31,clinical,ppy,0.147453426055909
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_35_41,38,clinical,ppy,0.174437346234026
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_42_48,45,clinical,ppy,0.205319279323803
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_49_55,52,clinical,ppy,0.255657719536302
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_56_62,59,clinical,ppy,0.223604725178885
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_63_69,66,clinical,ppy,0.250063905305171
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_70_76,73,clinical,ppy,0.233749798584623
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_77_83,80,clinical,ppy,0.345411132997388
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_84_90,87,clinical,ppy,0.284176937579333
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_91_97,94,clinical,ppy,0.290958191597741
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_98_104,101,clinical,ppy,0.372464388617356
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_105_111,108,clinical,ppy,0.345703935866136
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_112_118,115,clinical,ppy,0.345628140821485
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_119_125,122,clinical,ppy,0.400996426625116
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_126_132,129,clinical,ppy,0.354655868429034
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_133_139,136,clinical,ppy,0.374067711075914
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_140_146,143,clinical,ppy,0.459179352615289
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_147_153,150,clinical,ppy,0.486818560619906
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_154_160,157,clinical,ppy,0.45277357043919497
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_161_167,164,clinical,ppy,0.376041242365047
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_168_174,171,clinical,ppy,0.481864613083297
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_175_181,178,clinical,ppy,0.462706990620087
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_182_188,185,clinical,ppy,0.4302496136894
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_189_195,192,clinical,ppy,0.455891269480898
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_196_202,199,clinical,ppy,0.447796930277779
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_203_209,206,clinical,ppy,0.494727804047609
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_210_216,213,clinical,ppy,0.492609138526882
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_217_223,220,clinical,ppy,0.478525937183514
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_224_230,227,clinical,ppy,0.44592661406584
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_231_237,234,clinical,ppy,0.487560493409564
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_238_244,241,clinical,ppy,0.542799691302077
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_245_251,248,clinical,ppy,0.469500020444314
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_252_258,255,clinical,ppy,0.513234438266435
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_259_265,262,clinical,ppy,0.548063726234795
Cote d’Ivoire,rural/urban merged,CIV,Abidjan,n_age_266_272,269,clinical,ppy,0.516108818806405
