,,,
,Modelled true clinical incidence in children aged 0-2.5 years,Incidence in children aged 0-5 years (compatible with modelled incidence in children aged 0-2.5 years) ,
Admin-1,Clinical cases per 1000,Lower bound estimate,Upper bound estimate
Abidjan,562,281,674
Bas Sassandra,459,229,550
Comoe,1191,596,1429
Denguele,1054,527,1264
Goh Djiboua,696,348,835
Lacs,738,369,886
Lagunes,730,365,876
Montagnes,637,318,764
Sassandra Marahoue,1153,576,1383
Savanes,537,268,644
Vallee du Bandama,854,427,1024
Woroba,1116,558,1339
Yamoussoukro,435,217,522
Zanzan,552,276,662
