Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Cote d’Ivoire,CIV,0-6mo,91,Abidjan,raw cases,5,16621.4249246578,1112.75248117153,11901.7399720229,810.228658988041,300.983974406663,20.1309718023799,215.878267599472,14.675918633081,4719.68495263499,302.523822183488,85.1057068071912,5.45505316929898,28.3951885835814,27.1869824873349,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,6-12mo,273.5,Abidjan,raw cases,5,27935.864731629,1971.29441815847,22445.7184621894,1569.76006151771,513.110881691102,36.1960616562049,412.589609736047,28.8434989991025,5490.14626943967,401.534356640762,100.521271955055,7.35256265710233,19.6526806031664,20.3690708471576,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,12-18mo,456,Abidjan,raw cases,5,32081.1775711282,2134.3630241531,32081.1775711282,2134.3630241531,597.67675752324,39.7449896505653,597.67675752324,39.7449896505653,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,18-24mo,638.5,Abidjan,raw cases,5,35815.0552084847,1903.94857720575,35815.0552084847,1903.94857720575,674.174068349927,35.846063337038,674.174068349927,35.846063337038,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,24-30mo,821,Abidjan,raw cases,5,39095.8197873872,1723.59580144915,39095.8197873872,1723.59580144915,716.11765734573,31.5670644023658,716.11765734573,31.5670644023658,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,0-6mo,91,Bas_Sassandra,raw cases,5,5010.14252333351,316.90049078104,3567.50475093985,215.511393100423,195.444474913245,12.3535186342152,139.393021525491,8.41299206359131,1442.63777239366,101.389097680617,56.0514533877535,3.94052657062388,28.7943459826727,31.9939856927111,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,6-12mo,273.5,Bas_Sassandra,raw cases,5,10954.6426277274,767.565778043841,8623.41022742436,603.208051834822,433.547232533968,30.3905410632855,341.545207757024,23.9028480566291,2331.23240030308,164.357726209019,92.002024776944,6.48769300665645,21.2807708980161,21.4128522806069,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,12-18mo,456,Bas_Sassandra,raw cases,5,12519.3007111457,838.918699763174,12519.3007111457,838.918699763174,502.418087455261,33.6628163783033,502.418087455261,33.6628163783033,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,18-24mo,638.5,Bas_Sassandra,raw cases,5,13630.5785690829,700.789412674024,13630.5785690829,700.789412674024,552.78320877945,28.4181552997223,552.78320877945,28.4181552997223,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,24-30mo,821,Bas_Sassandra,raw cases,5,15298.7358423897,743.905034234054,15298.7358423897,743.905034234054,603.779603766531,29.3532021418639,603.779603766531,29.3532021418639,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,0-6mo,91,Comoe,raw cases,5,7024.80036091593,412.778919075384,4789.4587908027,273.063370131094,540.304309536781,31.7536495241526,369.051276481675,21.0516025562861,2235.34157011323,139.715548944289,171.253033055105,10.7020469678665,31.8207131201914,33.8475494962895,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,6-12mo,273.5,Comoe,raw cases,5,14970.2681236107,795.584625721629,12175.0962718995,649.559028998274,1167.64847597959,62.0538386459665,950.137170446861,50.6916890088625,2795.17185171114,146.025596723355,217.511305532734,11.362149637104,18.6714882367583,18.3545020859225,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,12-18mo,456,Comoe,raw cases,5,17211.460871997,744.382775267298,17211.460871997,744.382775267298,1361.64975305916,58.8737759534704,1361.64975305916,58.8737759534704,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,18-24mo,638.5,Comoe,raw cases,5,17884.7775789263,605.050044066207,17884.7775789263,605.050044066207,1429.6573932313,48.3609496593358,1429.6573932313,48.3609496593358,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,24-30mo,821,Comoe,raw cases,5,18600.3322318126,545.150580366071,18600.3322318126,545.150580366071,1446.49540451089,42.3884524533027,1446.49540451089,42.3884524533027,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,0-6mo,91,Denguele,raw cases,5,1549.35304795411,91.7139279413417,1180.61032067309,68.7025242157727,482.921010180725,28.5740696176943,368.377468142259,21.4285617470549,368.742727281013,23.011403725569,114.543542038465,7.14550787063939,23.799787128436,25.0904134651027,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,6-12mo,273.5,Denguele,raw cases,5,3222.56102802598,203.812339858695,2684.36459211125,168.672479955227,1019.22667542684,64.4437948668927,849.259765538038,53.3463527781343,538.196435914729,35.1398599034678,169.966909888807,11.0974420887584,16.7008919686591,17.241281822205,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,12-18mo,456,Denguele,raw cases,5,3770.5542027893,165.779280407519,3770.5542027893,165.779280407519,1209.53417708018,53.1580136796866,1209.53417708018,53.1580136796866,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,18-24mo,638.5,Denguele,raw cases,5,3905.25528128881,174.530599053846,3905.25528128881,174.530599053846,1266.08154027053,56.5709443674765,1266.08154027053,56.5709443674765,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,24-30mo,821,Denguele,raw cases,5,4062.0575146969,123.665296950249,4062.0575146969,123.665296950249,1281.62095404796,39.0174069894392,1281.62095404796,39.0174069894392,0,0,0,0,0,0,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,0-6mo,91,Goh_Djiboua,raw cases,5,6305.89678824073,392.809631841912,4452.93951963886,286.80877063245,348.086806858294,21.6626303286741,246.220049999029,15.8348481854787,1852.95726860187,106.000861209462,101.866756859264,5.82778214319541,29.3845162841433,26.9853009236094,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,6-12mo,273.5,Goh_Djiboua,raw cases,5,11394.7110633989,714.106479555778,8904.46144444975,559.365749440952,637.894346252453,39.9717674507218,498.881468174671,31.3354747165457,2490.24961894919,154.740730114827,139.012878077782,8.63629273417611,21.8544340887076,21.6691396234194,PMC co-delivery with EPI only
