Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Cote d’Ivoire,CIV,n_age_0_6,3,Abidjan,raw cases,5,210.100551905308,7.95631998078297,113.983560157829,4.31645547305962,0,0,0,0,210.100551905308,7.95631998078297,113.983560157829,4.31645547305962,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_7_13,10,Abidjan,raw cases,5,293.955517855568,8.38194037663098,136.78306358239,3.90027542889616,0,0,0,0,293.955517855568,8.38194037663098,136.78306358239,3.90027542889616,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_14_20,17,Abidjan,raw cases,5,290.675266605353,38.4469905513216,135.34923925543,17.9023519391734,0,0,0,0,290.675266605353,38.4469905513216,135.34923925543,17.9023519391734,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_21_27,24,Abidjan,raw cases,5,248.371504387271,38.9636294192653,115.734208006554,18.1559668168223,0,0,0,0,248.371504387271,38.9636294192653,115.734208006554,18.1559668168223,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_28_34,31,Abidjan,raw cases,5,316.240655958166,14.4341842871162,147.453426055909,6.73022233339662,0,0,0,0,316.240655958166,14.4341842871162,147.453426055909,6.73022233339662,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_35_41,38,Abidjan,raw cases,5,373.89185045868,23.7238284477618,174.437346234026,11.0682318212127,0,0,0,0,373.89185045868,23.7238284477618,174.437346234026,11.0682318212127,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_42_48,45,Abidjan,raw cases,5,439.808865424718,31.6466937959889,205.319279323803,14.7738639986231,315.217449704834,22.6801507410744,147.155331989918,10.5879452898607,124.591415719884,8.9665430549145,58.1639473338848,4.18591870876241,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_49_55,52,Abidjan,raw cases,5,547.254394524563,30.3203742272175,255.657719536302,14.1645965897671,386.209847500239,21.3973041387399,180.423455457409,9.99605674265515,161.044547024324,8.92307008847758,75.2342640788926,4.16853984711195,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_56_62,59,Abidjan,raw cases,5,478.344325777637,39.7183798005649,223.604725178885,18.5665783437858,318.587155007383,26.4535625782272,148.925343945784,12.365865489657,159.757170770254,13.2648172223377,74.6793812331009,6.20071285412878,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_63_69,66,Abidjan,raw cases,5,534.583536904456,31.763682582043,250.063905305171,14.858202628786,299.666128707406,17.8095439786914,140.175813991909,8.33082916246208,234.91740819705,13.9541386033516,109.888091313262,6.52737346632392,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_70_76,73,Abidjan,raw cases,5,499.383970740183,31.0521780249,233.749798584623,14.534788427782,329.207158239129,20.4696265559296,154.094066769814,9.58134694924038,170.176812501053,10.5825514689704,79.6557318148089,4.95344147854162,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_77_83,80,Abidjan,raw cases,5,737.414349928992,38.3292150724083,345.411132997388,17.9537292789813,478.700648290062,24.8810074178129,224.227441883083,11.6544748052852,258.71370163893,13.4482076545954,121.183691114305,6.2992544736961404,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_84_90,87,Abidjan,raw cases,5,606.239372235032,46.5879315750587,284.176937579333,21.8382644372741,371.381281152323,28.5418339839738,174.086342764357,13.3790897555213,234.858091082709,18.0460975910849,110.090594814976,8.45917468175277,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_91_97,94,Abidjan,raw cases,5,620.265521289325,8.17426361885234,290.958191597741,3.83443683156956,319.81788570519,4.21319469829617,150.022257358377,1.97635281696342,300.447635584136,3.96106892055617,140.935934239364,1.85808401460614,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_98_104,101,Abidjan,raw cases,5,793.493483459877,95.2875828661193,372.464388617356,44.7278169699668,411.807066493268,49.4769284660673,193.301483184112,23.2243796526531,381.686416966609,45.810654400052,179.162905433244,21.5034373173137,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_105_111,108,Abidjan,raw cases,5,735.967673157126,41.0016376616562,345.703935866136,19.2595789646396,376.0389277284,20.9553410458647,176.635662266154,9.84329086887213,359.928745428726,20.0462966157915,169.068273599982,9.41628809576747,PMC co-delivery with EPI only
