,,,,
,Population,,Proportion (%),
Admin-1,Rural,Urban,Rural ,Urban 
Savanes,1452993,705601,0.67,0.33
Denguele,326142,43904,0.88,0.12
Zanzan,950273,178127,0.84,0.16
Vallee du Bandama,922011,825513,0.53,0.47
Woroba,945540,142686,0.87,0.13
Montagnes,1478286,1675448,0.47,0.53
Lacs,1206168,365466,0.77,0.23
Sassandra Marahoue,1500425,1539511,0.49,0.51
Comoe,818290,672183,0.55,0.45
Yamoussoukro,121105,337766,0.26,0.74
Goh Djiboua,1009272,1068168,0.49,0.51
Lagunes,1071393,681702,0.61,0.39
Bas Sassandra,1665044,1272561,0.57,0.43
Abidjan,78414,6181296,0.01,0.99
