Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Cote d’Ivoire,CIV,n_age_0_6,3,5,raw cases,0.0909800586936179,0.0057026596865059,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_7_13,10,5,raw cases,0.0959433527623148,0.00552786079510917,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_14_20,17,5,raw cases,0.105175745823341,0.00905109421043551,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_21_27,24,5,raw cases,0.120208258460824,0.0107800540887976,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_28_34,31,5,raw cases,0.141610721995556,0.00771204855690915,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_35_41,38,5,raw cases,0.161472215864889,0.00786739139352041,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_42_48,45,5,raw cases,0.0507182631523271,0.00278174365498324,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_49_55,52,5,raw cases,0.0586251908160661,0.00346343318777182,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_56_62,59,5,raw cases,0.0669285353929656,0.00441720402793694,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_63_69,66,5,raw cases,0.101553376251687,0.0065439354779548,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_70_76,73,5,raw cases,0.0845357355280662,0.00579477561792763,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_77_83,80,5,raw cases,0.0994875427323295,0.00638052249951886,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_84_90,87,5,raw cases,0.119322342527827,0.0071926837950783,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_91_97,94,5,raw cases,0.149044224139771,0.00700356442463157,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_98_104,101,5,raw cases,0.162176862311285,0.01201626619741,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_105_111,108,5,raw cases,0.169888477211111,0.00945676016305232,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_112_118,115,5,raw cases,0.193296796640982,0.0112558385090614,PMC co-delivery with EPI only
Cote d’Ivoire,CIV,n_age_119_125,122,5,raw cases,0.235882259277126,0.0138014385260321,PMC co-delivery with EPI only
