"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"CMR","PMC co-delivery with EPI only",5,"Adamaoua","0-1yr",27266.7081242583,3477.90228018138,30744.6104044397
"CMR","PMC co-delivery with EPI only",5,"Adamaoua","0-1yr",23228.2909013445,3149.57977965618,26377.8706810007
"CMR","PMC co-delivery with EPI only",5,"Adamaoua","0-1yr",20189.1804518675,3032.85673193905,23222.0371838066
"CMR","PMC co-delivery with EPI only",5,"Adamaoua","0-1yr",23254.2842730061,3866.47794438095,27120.7622173871
"CMR","PMC co-delivery with EPI only",5,"Adamaoua","0-1yr",21976.5763459179,3242.25138468571,25218.8277306036
"CMR","PMC co-delivery with EPI only",5,"Centre","0-1yr",33871.9807910478,148175.98402937,182047.964820418
"CMR","PMC co-delivery with EPI only",5,"Centre","0-1yr",31723.0475462955,139388.428831745,171111.476378041
"CMR","PMC co-delivery with EPI only",5,"Centre","0-1yr",28591.2978422196,129752.533685731,158343.831527951
"CMR","PMC co-delivery with EPI only",5,"Centre","0-1yr",30519.1742912759,138614.034942533,169133.209233809
"CMR","PMC co-delivery with EPI only",5,"Centre","0-1yr",25294.5727034173,122809.008234942,148103.580938359
"CMR","PMC co-delivery with EPI only",5,"Est","0-1yr",23038.0244709337,1429.88550430629,24467.90997524
"CMR","PMC co-delivery with EPI only",5,"Est","0-1yr",21176.3304792575,1379.27157292184,22555.6020521793
"CMR","PMC co-delivery with EPI only",5,"Est","0-1yr",19019.8210998451,1333.39538885547,20353.2164887006
"CMR","PMC co-delivery with EPI only",5,"Est","0-1yr",25041.6310309757,1447.3304407378,26488.9614717135
"CMR","PMC co-delivery with EPI only",5,"Est","0-1yr",18295.6956284604,1331.72516014527,19627.4207886056
"CMR","PMC co-delivery with EPI only",5,"Extreme_Nord","0-1yr",53512.9267966372,69980.0291323792,123492.955929016
"CMR","PMC co-delivery with EPI only",5,"Extreme_Nord","0-1yr",47459.0078027971,63334.6859328255,110793.693735623
"CMR","PMC co-delivery with EPI only",5,"Extreme_Nord","0-1yr",39851.2889607327,52302.6268130667,92153.9157737994
"CMR","PMC co-delivery with EPI only",5,"Extreme_Nord","0-1yr",42978.7709180001,64337.1704726357,107315.941390636
"CMR","PMC co-delivery with EPI only",5,"Extreme_Nord","0-1yr",38662.6824825908,55684.1426397516,94346.8251223423
"CMR","PMC co-delivery with EPI only",5,"Littoral","0-1yr",12395.7296341758,126487.900186268,138883.629820444
"CMR","PMC co-delivery with EPI only",5,"Littoral","0-1yr",12094.541492428,118291.479590999,130386.021083427
"CMR","PMC co-delivery with EPI only",5,"Littoral","0-1yr",10798.3480657648,114114.229989264,124912.578055028
"CMR","PMC co-delivery with EPI only",5,"Littoral","0-1yr",9648.72769717358,106611.919822383,116260.647519557
"CMR","PMC co-delivery with EPI only",5,"Littoral","0-1yr",9748.04742566145,112490.53011397,122238.577539631
"CMR","PMC co-delivery with EPI only",5,"Nord","0-1yr",45621.3580028081,34534.3358467052,80155.6938495133
"CMR","PMC co-delivery with EPI only",5,"Nord","0-1yr",38474.7074204366,30112.5431933771,68587.2506138137
"CMR","PMC co-delivery with EPI only",5,"Nord","0-1yr",31737.9180023589,26829.894221952,58567.8122243109
"CMR","PMC co-delivery with EPI only",5,"Nord","0-1yr",37579.9540262237,27049.7624278576,64629.7164540814
"CMR","PMC co-delivery with EPI only",5,"Nord","0-1yr",27837.6895698727,24103.748698091,51941.4382679637
"CMR","PMC co-delivery with EPI only",5,"Nord_Ouest","0-1yr",28289.8874668464,49362.9056062572,77652.7930731035
"CMR","PMC co-delivery with EPI only",5,"Nord_Ouest","0-1yr",27894.0035856,49129.1788536455,77023.1824392455
"CMR","PMC co-delivery with EPI only",5,"Nord_Ouest","0-1yr",27150.335714463,46729.60341372,73879.939128183
"CMR","PMC co-delivery with EPI only",5,"Nord_Ouest","0-1yr",24780.4857623571,45093.3655926291,69873.8513549863
"CMR","PMC co-delivery with EPI only",5,"Nord_Ouest","0-1yr",25558.715893737,48061.8943620499,73620.6102557868
"CMR","PMC co-delivery with EPI only",5,"Ouest","0-1yr",23198.9001018332,44300.5358269846,67499.4359288178
"CMR","PMC co-delivery with EPI only",5,"Ouest","0-1yr",21724.1457714912,41519.3761327205,63243.5219042117
"CMR","PMC co-delivery with EPI only",5,"Ouest","0-1yr",20492.6120625073,39608.1795289306,60100.7915914379
"CMR","PMC co-delivery with EPI only",5,"Ouest","0-1yr",20123.7981737606,37345.0898067644,57468.887980525
"CMR","PMC co-delivery with EPI only",5,"Ouest","0-1yr",18484.4104036043,37583.433237071,56067.8436406753
"CMR","PMC co-delivery with EPI only",5,"Sud","0-1yr",24632.8306703699,1977.59693532934,26610.4276056992
"CMR","PMC co-delivery with EPI only",5,"Sud","0-1yr",22841.3286794883,1923.52434730679,24764.8530267951
"CMR","PMC co-delivery with EPI only",5,"Sud","0-1yr",21039.9140949669,1841.47495940571,22881.3890543727
"CMR","PMC co-delivery with EPI only",5,"Sud","0-1yr",18595.4346684569,1506.31514721114,20101.749815668
"CMR","PMC co-delivery with EPI only",5,"Sud","0-1yr",19743.0464901983,1535.45517238041,21278.5016625787
"CMR","PMC co-delivery with EPI only",5,"Sud_Ouest","0-1yr",26198.643032593,40789.0847878756,66987.7278204686
"CMR","PMC co-delivery with EPI only",5,"Sud_Ouest","0-1yr",26423.1140832253,41142.1774287601,67565.2915119854
"CMR","PMC co-delivery with EPI only",5,"Sud_Ouest","0-1yr",24660.7114786673,38405.3462231963,63066.0577018636
"CMR","PMC co-delivery with EPI only",5,"Sud_Ouest","0-1yr",23192.1009459313,36122.2914121125,59314.3923580438
"CMR","PMC co-delivery with EPI only",5,"Sud_Ouest","0-1yr",25260.6378738679,39344.0906739319,64604.7285477998
