Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_0_6,3,clinical,ppy,0.102930202895713,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_7_13,10,clinical,ppy,0.0801582989235896,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_14_20,17,clinical,ppy,0.0811363493641102,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_21_27,24,clinical,ppy,0.113123038116627,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_28_34,31,clinical,ppy,0.163235215326998,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_35_41,38,clinical,ppy,0.136735630532006,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_42_48,45,clinical,ppy,0.0696212486936177,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_49_55,52,clinical,ppy,0.0941381756158612,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_56_62,59,clinical,ppy,0.125859039509478,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_63_69,66,clinical,ppy,0.142124239141564,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_70_76,73,clinical,ppy,0.133134273579885,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_77_83,80,clinical,ppy,0.16104276372805,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_84_90,87,clinical,ppy,0.16729059238424,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_91_97,94,clinical,ppy,0.253828792499887,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_98_104,101,clinical,ppy,0.246670793275188,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_105_111,108,clinical,ppy,0.239468070142913,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_112_118,115,clinical,ppy,0.297016206497496,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_119_125,122,clinical,ppy,0.30438419169712,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_126_132,129,clinical,ppy,0.412240802790775,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_133_139,136,clinical,ppy,0.470946283055713,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_140_146,143,clinical,ppy,0.561581776902335,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_147_153,150,clinical,ppy,0.569660501239356,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_154_160,157,clinical,ppy,0.652259422938454,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_161_167,164,clinical,ppy,0.733407009669417,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_168_174,171,clinical,ppy,0.694921993813971,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_175_181,178,clinical,ppy,0.780922133789139,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_182_188,185,clinical,ppy,0.350745584679084,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_189_195,192,clinical,ppy,0.397959852002718,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_196_202,199,clinical,ppy,0.416614745401513,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_203_209,206,clinical,ppy,0.527585872170979,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_210_216,213,clinical,ppy,0.575994507700874,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_217_223,220,clinical,ppy,0.653362160489853,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_224_230,227,clinical,ppy,0.749122635514282,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_231_237,234,clinical,ppy,0.721003693401406,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_238_244,241,clinical,ppy,0.914750000119803,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_245_251,248,clinical,ppy,0.90899112648037,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_252_258,255,clinical,ppy,0.950066486671259,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_259_265,262,clinical,ppy,0.871442275075719,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_266_272,269,clinical,ppy,0.974580927583282,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_273_279,276,clinical,ppy,0.523252227060556,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_280_286,283,clinical,ppy,0.460530632296502,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_287_293,290,clinical,ppy,0.461354481443644,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_294_300,297,clinical,ppy,0.58408178204471,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_301_307,304,clinical,ppy,0.691994332626301,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_308_314,311,clinical,ppy,0.775315814142401,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_315_321,318,clinical,ppy,0.821292760571999,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_322_328,325,clinical,ppy,0.894742262358712,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_329_335,332,clinical,ppy,0.846269884748524,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_336_342,339,clinical,ppy,0.993411819818454,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_343_349,346,clinical,ppy,0.969511861394437,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_350_356,353,clinical,ppy,1.01224797423371,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_357_363,360,clinical,ppy,1.09385159435223,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_364_370,367,clinical,ppy,1.04237638729207,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_371_377,374,clinical,ppy,1.07316192044045,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_378_384,381,clinical,ppy,1.0363819562995,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_385_391,388,clinical,ppy,1.14767428916999,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_392_398,395,clinical,ppy,1.01195001621308,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_399_405,402,clinical,ppy,1.01128064445097,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_406_412,409,clinical,ppy,1.02322272086809,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_413_419,416,clinical,ppy,1.09120863214346,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_420_426,423,clinical,ppy,1.09968790328671,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_427_433,430,clinical,ppy,0.983769300493853,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_434_440,437,clinical,ppy,1.03539925599954,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_441_447,444,clinical,ppy,1.01103704347612,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_448_454,451,clinical,ppy,1.18685244906877,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_455_461,458,clinical,ppy,1.05537680938798,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_462_468,465,clinical,ppy,1.16196594523736,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_469_475,472,clinical,ppy,1.20646638411027,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_476_482,479,clinical,ppy,1.09353341062332,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_483_489,486,clinical,ppy,1.21870848889457,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_490_496,493,clinical,ppy,1.00622411819361,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_497_503,500,clinical,ppy,1.1708769243362,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_504_510,507,clinical,ppy,1.17743050047512,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_511_517,514,clinical,ppy,1.0591747349268,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_518_524,521,clinical,ppy,1.10870377427004,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_525_531,528,clinical,ppy,1.11804211641328,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_532_538,535,clinical,ppy,1.1868055651743,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_539_545,542,clinical,ppy,1.07882826398604,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_546_552,549,clinical,ppy,1.23969763278009,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_553_559,556,clinical,ppy,1.22214002405135,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_560_566,563,clinical,ppy,1.15909143441792,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_567_573,570,clinical,ppy,1.17365975941553,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_574_580,577,clinical,ppy,1.24171082673491,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_581_587,584,clinical,ppy,1.07761982984732,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_588_594,591,clinical,ppy,1.29242248535403,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_595_601,598,clinical,ppy,1.16740026721812,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_602_608,605,clinical,ppy,1.11872732178436,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_609_615,612,clinical,ppy,1.17324288241642,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_616_622,619,clinical,ppy,1.22234453633892,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_623_629,626,clinical,ppy,1.18846952615009,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_630_636,633,clinical,ppy,1.1966399671406,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_637_643,640,clinical,ppy,1.32030939765013,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_644_650,647,clinical,ppy,1.13499970036335,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_651_657,654,clinical,ppy,1.2818613201242,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_658_664,661,clinical,ppy,1.1406539369381,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_665_671,668,clinical,ppy,1.25631457671065,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_672_678,675,clinical,ppy,1.12838614025218,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_679_685,682,clinical,ppy,1.21701421231885,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_686_692,689,clinical,ppy,1.19514123936649,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_693_699,696,clinical,ppy,1.28089299745004,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_700_706,703,clinical,ppy,1.05884086800795,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_707_713,710,clinical,ppy,1.23376326645785,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_714_720,717,clinical,ppy,1.23153103668099,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_721_727,724,clinical,ppy,1.26629564598336,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_728_734,731,clinical,ppy,1.29611270680762,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_735_741,738,clinical,ppy,1.21293864993414,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_742_748,745,clinical,ppy,1.21933749562955,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_749_755,752,clinical,ppy,1.25692254018689,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_756_762,759,clinical,ppy,1.24357217607093,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_763_769,766,clinical,ppy,1.30758618290028,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_770_776,773,clinical,ppy,1.21313375227986,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_777_783,780,clinical,ppy,1.32196528966038,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_784_790,787,clinical,ppy,1.23156049163556,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_791_797,794,clinical,ppy,1.2491293749818,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_798_804,801,clinical,ppy,1.33252843499336,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_805_811,808,clinical,ppy,1.17148892859363,5,PMC co-delivery with EPI only
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_812_818,815,clinical,ppy,1.34580561661836,5,PMC co-delivery with EPI only
