Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_0_6,3,clinical,ppy,0.102930202895713
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_7_13,10,clinical,ppy,0.0801582989235896
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_14_20,17,clinical,ppy,0.0811363493641102
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_21_27,24,clinical,ppy,0.113123038116627
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_28_34,31,clinical,ppy,0.163235215326998
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_35_41,38,clinical,ppy,0.136735630532006
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_42_48,45,clinical,ppy,0.168755824085008
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_49_55,52,clinical,ppy,0.222676207687065
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_56_62,59,clinical,ppy,0.273617897633904
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_63_69,66,clinical,ppy,0.262709596882744
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_70_76,73,clinical,ppy,0.268645343719392
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_77_83,80,clinical,ppy,0.319088317974149
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_84_90,87,clinical,ppy,0.312292630757269
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_91_97,94,clinical,ppy,0.418977901526401
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_98_104,101,clinical,ppy,0.44393172846786
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_105_111,108,clinical,ppy,0.424341667153745
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_112_118,115,clinical,ppy,0.50108240697719
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_119_125,122,clinical,ppy,0.465106777140948
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_126_132,129,clinical,ppy,0.557189281538649
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_133_139,136,clinical,ppy,0.574990439710145
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_140_146,143,clinical,ppy,0.654885603668266
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_147_153,150,clinical,ppy,0.641369338987954
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_154_160,157,clinical,ppy,0.69475611630679
Cameroon,rural/urban merged,CMR,Adamaoua,n_age_161_167,164,clinical,ppy,0.74405242709307
