Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Cameroon,CMR,n_age_0_6,3,ppy,0.088164065415558407,0.00691308498884949
Cameroon,CMR,n_age_7_13,10,ppy,0.11428021557296,0.00700750865247311
Cameroon,CMR,n_age_14_20,17,ppy,0.129741595190488,0.00874731188577975
Cameroon,CMR,n_age_21_27,24,ppy,0.131677812651352,0.00902793289234371
Cameroon,CMR,n_age_28_34,31,ppy,0.15770953668445,0.00584004626206105
Cameroon,CMR,n_age_35_41,38,ppy,0.168496805760994,0.0140492371803942
Cameroon,CMR,n_age_42_48,45,ppy,0.192238609250347,0.0116085688250162
Cameroon,CMR,n_age_49_55,52,ppy,0.208530648767887,0.0158481498217786
Cameroon,CMR,n_age_56_62,59,ppy,0.235814892958963,0.0166189347045747
Cameroon,CMR,n_age_63_69,66,ppy,0.267441731381923,0.0158388812963777
Cameroon,CMR,n_age_70_76,73,ppy,0.278758023109076,0.0212601804942849
Cameroon,CMR,n_age_77_83,80,ppy,0.310919998053438,0.0222251137709669
Cameroon,CMR,n_age_84_90,87,ppy,0.324226977909179,0.0222782292906696
Cameroon,CMR,n_age_91_97,94,ppy,0.355891954448041,0.020752642214949
Cameroon,CMR,n_age_98_104,101,ppy,0.386310415482016,0.0207867123231542
Cameroon,CMR,n_age_105_111,108,ppy,0.411797351600476,0.0284832510913379
Cameroon,CMR,n_age_112_118,115,ppy,0.442101173356948,0.0301222746127631
Cameroon,CMR,n_age_119_125,122,ppy,0.473065577967149,0.0275303414733103
Cameroon,CMR,n_age_126_132,129,ppy,0.466450049996797,0.0273390335267233
Cameroon,CMR,n_age_133_139,136,ppy,0.50779478555562,0.0244220599856679
Cameroon,CMR,n_age_140_146,143,ppy,0.528225562196277,0.037990424414779
Cameroon,CMR,n_age_147_153,150,ppy,0.555227612843813,0.0300045869987214
Cameroon,CMR,n_age_154_160,157,ppy,0.563278730518569,0.0323802210479294
Cameroon,CMR,n_age_161_167,164,ppy,0.597564658092014,0.0351902196669836
Cameroon,CMR,n_age_168_174,171,ppy,0.583548604433939,0.0413970536635417
Cameroon,CMR,n_age_175_181,178,ppy,0.646963116728568,0.0379209870759362
Cameroon,CMR,n_age_182_188,185,ppy,0.628915378653915,0.0348406408338572
Cameroon,CMR,n_age_189_195,192,ppy,0.621165833054262,0.0360097736916986
Cameroon,CMR,n_age_196_202,199,ppy,0.649878382651581,0.048325038678554
Cameroon,CMR,n_age_203_209,206,ppy,0.665088867382808,0.0425756326160084
Cameroon,CMR,n_age_210_216,213,ppy,0.652779873175886,0.0476875676193473
Cameroon,CMR,n_age_217_223,220,ppy,0.684758999142034,0.0458421150894581
Cameroon,CMR,n_age_224_230,227,ppy,0.690052341818842,0.0417213408720475
Cameroon,CMR,n_age_231_237,234,ppy,0.700152814369154,0.0411857199715548
Cameroon,CMR,n_age_238_244,241,ppy,0.699679368543524,0.0416605974898601
Cameroon,CMR,n_age_245_251,248,ppy,0.716902784954587,0.0454990883453031
Cameroon,CMR,n_age_252_258,255,ppy,0.758800691410422,0.0463685027440083
Cameroon,CMR,n_age_259_265,262,ppy,0.726075601764279,0.042268742498092
Cameroon,CMR,n_age_266_272,269,ppy,0.738530062938383,0.0505639311536213
Cameroon,CMR,n_age_273_279,276,ppy,0.727815465539465,0.0485586556479719
Cameroon,CMR,n_age_280_286,283,ppy,0.737520846537957,0.0464860073023421
Cameroon,CMR,n_age_287_293,290,ppy,0.74555855262686,0.0518017477202344
Cameroon,CMR,n_age_294_300,297,ppy,0.769755929790843,0.0477296822061429
Cameroon,CMR,n_age_301_307,304,ppy,0.745739663983904,0.0416698713356386
Cameroon,CMR,n_age_308_314,311,ppy,0.759368246473919,0.0459604773484796
Cameroon,CMR,n_age_315_321,318,ppy,0.762426217170423,0.0389761929513417
Cameroon,CMR,n_age_322_328,325,ppy,0.792094298221973,0.0493417360010378
Cameroon,CMR,n_age_329_335,332,ppy,0.800752130815741,0.0503517925918086
Cameroon,CMR,n_age_336_342,339,ppy,0.777437536031082,0.0476163704090174
Cameroon,CMR,n_age_343_349,346,ppy,0.78079862326278,0.0409010245535205
Cameroon,CMR,n_age_350_356,353,ppy,0.811935636167384,0.0439874951443368
Cameroon,CMR,n_age_357_363,360,ppy,0.823280090364583,0.044469063662741
Cameroon,CMR,n_age_364_370,367,ppy,0.803947237588013,0.0480714302589692
Cameroon,CMR,n_age_371_377,374,ppy,0.815149606668701,0.0447784646507742
Cameroon,CMR,n_age_378_384,381,ppy,0.832319491686488,0.0442978293146349
Cameroon,CMR,n_age_385_391,388,ppy,0.837974656015008,0.0420659835542231
Cameroon,CMR,n_age_392_398,395,ppy,0.835438187207939,0.0444312550507445
Cameroon,CMR,n_age_399_405,402,ppy,0.817305645235671,0.0401897946508091
Cameroon,CMR,n_age_406_412,409,ppy,0.819801517019558,0.0453072827823423
Cameroon,CMR,n_age_413_419,416,ppy,0.828681888205189,0.0406430260303306
Cameroon,CMR,n_age_420_426,423,ppy,0.814826344435652,0.0428308026465483
Cameroon,CMR,n_age_427_433,430,ppy,0.829566994366907,0.0421981983297567
Cameroon,CMR,n_age_434_440,437,ppy,0.858758133401126,0.0455459135340596
Cameroon,CMR,n_age_441_447,444,ppy,0.807974476267532,0.041644758699453
Cameroon,CMR,n_age_448_454,451,ppy,0.815538825005724,0.0442050842567377
Cameroon,CMR,n_age_455_461,458,ppy,0.846704183985461,0.0468740830500053
Cameroon,CMR,n_age_462_468,465,ppy,0.847607707937177,0.0415014905697997
Cameroon,CMR,n_age_469_475,472,ppy,0.855272228109746,0.0495153539235001
Cameroon,CMR,n_age_476_482,479,ppy,0.841539957723401,0.0450000011201473
Cameroon,CMR,n_age_483_489,486,ppy,0.880248135883773,0.0383120580481169
Cameroon,CMR,n_age_490_496,493,ppy,0.869658073495021,0.0406028447016483
Cameroon,CMR,n_age_497_503,500,ppy,0.873660412195225,0.0385276871964303
Cameroon,CMR,n_age_504_510,507,ppy,0.866494135347365,0.0431377986492561
Cameroon,CMR,n_age_511_517,514,ppy,0.893927112845536,0.0443538380359253
Cameroon,CMR,n_age_518_524,521,ppy,0.861235609204549,0.0436758274790536
Cameroon,CMR,n_age_525_531,528,ppy,0.852098885082143,0.0419075802201662
Cameroon,CMR,n_age_532_538,535,ppy,0.89480770900771,0.0378882403891767
Cameroon,CMR,n_age_539_545,542,ppy,0.888428492724147,0.0431583815519652
Cameroon,CMR,n_age_546_552,549,ppy,0.88141221072154,0.0365629611714864
Cameroon,CMR,n_age_553_559,556,ppy,0.912903152208662,0.0471681812065366
Cameroon,CMR,n_age_560_566,563,ppy,0.887224326035055,0.0440867546805667
Cameroon,CMR,n_age_567_573,570,ppy,0.897196054047629,0.0474821227303442
Cameroon,CMR,n_age_574_580,577,ppy,0.893237256716966,0.0435688661571658
Cameroon,CMR,n_age_581_587,584,ppy,0.90467664056933,0.04563269895164
Cameroon,CMR,n_age_588_594,591,ppy,0.878697639347092,0.0360412991114105
Cameroon,CMR,n_age_595_601,598,ppy,0.925975588866229,0.0363948791429852
Cameroon,CMR,n_age_602_608,605,ppy,0.900309002838351,0.0348456939605961
Cameroon,CMR,n_age_609_615,612,ppy,0.90275162873025006,0.0439645696626023
Cameroon,CMR,n_age_616_622,619,ppy,0.915580538663389,0.0404809829657038
Cameroon,CMR,n_age_623_629,626,ppy,0.909788323917195,0.0391489276016373
Cameroon,CMR,n_age_630_636,633,ppy,0.903802180813258,0.0397785662132931
Cameroon,CMR,n_age_637_643,640,ppy,0.938932127109719,0.0461185861423741
Cameroon,CMR,n_age_644_650,647,ppy,0.903585846349668,0.0352676894148834
Cameroon,CMR,n_age_651_657,654,ppy,0.937009726654426,0.0449566582248198
Cameroon,CMR,n_age_658_664,661,ppy,0.904509576069955,0.0399056396035111
Cameroon,CMR,n_age_665_671,668,ppy,0.934187959974285,0.0448368704796988
Cameroon,CMR,n_age_672_678,675,ppy,0.907432988040716,0.0453417997494262
Cameroon,CMR,n_age_679_685,682,ppy,0.912540282321237,0.0324175904986771
Cameroon,CMR,n_age_686_692,689,ppy,0.923468925196368,0.0399777167154354
Cameroon,CMR,n_age_693_699,696,ppy,0.91284630531685,0.0378000334280579
Cameroon,CMR,n_age_700_706,703,ppy,0.887708387127956,0.0420124731214971
Cameroon,CMR,n_age_707_713,710,ppy,0.937149342046361,0.0338370683314962
Cameroon,CMR,n_age_714_720,717,ppy,0.915015488567252,0.0373344082951604
Cameroon,CMR,n_age_721_727,724,ppy,0.91334605089656,0.0351722891020203
Cameroon,CMR,n_age_728_734,731,ppy,0.942760339921725,0.0352184404146205
Cameroon,CMR,n_age_735_741,738,ppy,0.885824225869969,0.0329724847912898
Cameroon,CMR,n_age_742_748,745,ppy,0.947106405296293,0.0386630194108987
Cameroon,CMR,n_age_749_755,752,ppy,0.95302510164554,0.0332363971185792
Cameroon,CMR,n_age_756_762,759,ppy,0.925479511853203,0.0337228506596191
Cameroon,CMR,n_age_763_769,766,ppy,0.932487440656686,0.0351104002849694
Cameroon,CMR,n_age_770_776,773,ppy,0.925987794220943,0.0338215421451826
Cameroon,CMR,n_age_777_783,780,ppy,0.927376114582689,0.0389252503148482
Cameroon,CMR,n_age_784_790,787,ppy,0.918515531351952,0.0380829669837268
Cameroon,CMR,n_age_791_797,794,ppy,0.926845952798167,0.0388743527369272
Cameroon,CMR,n_age_798_804,801,ppy,0.927896315334457,0.0321373046460989
Cameroon,CMR,n_age_805_811,808,ppy,0.908702547246764,0.0382865753119198
Cameroon,CMR,n_age_812_818,815,ppy,0.895262809981308,0.038167713384345
Cameroon,CMR,n_age_819_825,822,ppy,0.924654758228323,0.0370789647628974
Cameroon,CMR,n_age_826_832,829,ppy,0.924578424083725,0.0308722184336233
Cameroon,CMR,n_age_833_839,836,ppy,0.956199069319841,0.0356632568310835
Cameroon,CMR,n_age_840_846,843,ppy,0.916414356432847,0.0366765422968996
Cameroon,CMR,n_age_847_853,850,ppy,0.923094621058322,0.0296775608617796
Cameroon,CMR,n_age_854_860,857,ppy,0.934223788656224,0.0360144082389866
Cameroon,CMR,n_age_861_867,864,ppy,0.96139699150602,0.034921839360427
Cameroon,CMR,n_age_868_874,871,ppy,0.96553808233798,0.0354907289314554
Cameroon,CMR,n_age_875_881,878,ppy,0.968888198804546,0.0364779029136728
Cameroon,CMR,n_age_882_888,885,ppy,0.931371266615938,0.0266362931817033
Cameroon,CMR,n_age_889_895,892,ppy,0.943272902657543,0.0292695533407427
Cameroon,CMR,n_age_896_902,899,ppy,0.920560510277696,0.0340145750120281
Cameroon,CMR,n_age_903_909,906,ppy,0.934900260755585,0.0366867596137838
Cameroon,CMR,n_age_910_916,913,ppy,0.938463732083057,0.0364987308552097
