Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Cameroon,CMR,0-30mo,Adamaoua,raw cases,5,60547.1595419901,2820.98235100522,963.817168522378,44.9056775340858,3453.30322640657,215.177293962115,54.9712482451985,3.4252898363142,57093.8563155836,2605.80505704311,908.845920277179,41.4803876977716,5.70349336373355,7.62774335987741,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Centre,raw cases,5,301019.239624735,12628.0370524229,1116.47800384859,46.8372905944203,23648.2546541635,1496.33943878863,87.7111914298187,5.54991126740384,277370.984970571,11131.6976136343,1028.76681241877,41.2873793270165,7.85606085632418,11.8493431130813,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Est,raw cases,5,61857.8341151261,2295.02039630711,1350.83424432608,50.1180196026353,3841.57778184769,208.773333623246,83.8913113301705,4.55913422114845,58016.2563332784,2086.24706268386,1266.94293299591,45.5588853814869,6.21033347966561,9.0967964362836,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Extreme_Nord,raw cases,5,76662.8324613081,5607.18732321394,355.24546700167,25.9829674334863,4274.82003393873,330.185952610354,19.8089529247579,1.53003820973685,72388.0124273694,5277.00137060358,335.436514076912,24.4529292237494,5.5761310881596,5.8886199725016,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Littoral,raw cases,5,134084.979300904,7287.52431951718,638.534053317202,34.7043529159691,10213.2478331109,750.67123639189094,48.6371148387493,3.57481613362726,123871.731467794,6536.85308312529,589.896938478453,31.1295367823418,7.61699624101144,10.3007716129533,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Nord,raw cases,5,81780.9405373606,4852.48113644913,587.572196726631,34.863661168282,4635.8707527268,295.673723368027,33.3073787611435,2.12432943436652,77145.0697846338,4556.8074130811,554.264817965488,32.7393317339154,5.66864445708956,6.09324827967059,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Nord_Ouest,raw cases,5,46072.357253252,2754.11885334227,430.717636505807,25.7474901196625,4195.18524099697,286.898619905044,39.2196184313689,2.68213529433761,41877.172012255,2467.22023343723,391.498018074438,23.0653548253249,9.10564488362672,10.4170747590242,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Ouest,raw cases,5,60633.5501169087,3142.32537291069,617.332515237233,31.9931724666039,5038.69282753782,322.373205512289,51.3007882720741,3.28220038939288,55594.8572893709,2819.9521673984,566.031726965159,28.710972077211,8.31007390763466,10.2590650952762,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Sud,raw cases,5,51891.8905299621,2035.35797438703,1248.40178576735,48.9661198301006,3561.15430757618,185.230132229218,85.6733364610075,4.45621898703732,48330.7362223859,1850.12784215781,1162.72844930634,44.5099008430632,6.86264129367189,9.10061692145347,PMC co-delivery with EPI only
Cameroon,CMR,0-30mo,Sud_Ouest,raw cases,5,86597.1522975838,3906.68346034521,946.250534235554,42.6884858607989,7135.5574297251,431.338459216823,77.9705204016765,4.71325253361302,79461.5948678587,3475.34500112839,868.280013833877,37.9752333271859,8.2399446637741,11.0410393776492,PMC co-delivery with EPI only
