Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Cameroon,CMR,0-6mo,91,Adamaoua,raw cases,5,5017.48403422614,286.564425434024,3863.27908725168,220.098697134577,388.540318881185,22.1683613021454,299.532194081673,17.0439407656612,1154.20494697447,66.4657282994463,89.0081247995121,5.12442053648424,23.0036595851865,23.1939914379738,PMC co-delivery with EPI only
Cameroon,CMR,6-12mo,273.5,Adamaoua,raw cases,5,11633.9018050079,733.36011546189,9334.80352557583,584.648549799222,916.788019142501,57.7611351491286,736.156819014743,46.0801606998032,2299.0982794321,148.711565662669,180.631200127758,11.6809744493254,19.7620567713786,20.2781092845506,PMC co-delivery with EPI only
Cameroon,CMR,12-18mo,456,Adamaoua,raw cases,5,13597.1884410394,670.137357503821,13597.1884410394,670.137357503821,1092.15921366275,53.8226021779655,1092.15921366275,53.8226021779655,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,18-24mo,638.5,Adamaoua,raw cases,5,14707.0231572846,611.578503476866,14707.0231572846,611.578503476866,1200.73733969053,49.9274759449355,1200.73733969053,49.9274759449355,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,24-30mo,821,Adamaoua,raw cases,5,15591.5621044321,519.341949128623,15591.5621044321,519.341949128623,1245.56811445508,41.4825404048711,1245.56811445508,41.4825404048711,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,0-6mo,91,Centre,raw cases,5,30130.9595652947,1851.99739462747,20597.6352749875,1230.04609111766,543.396950322072,33.3847492737987,372.154815275626,22.2160590068739,9533.32429030723,621.95130350981,171.242135046446,11.1686902669247,31.6396305588882,33.5827310186317,PMC co-delivery with EPI only
Cameroon,CMR,6-12mo,273.5,Centre,raw cases,5,61944.6967063188,3427.76804928821,47829.7663424625,2553.37991400939,1137.40138479353,62.9098858729237,879.194094345891,46.9201469879142,14114.9303638563,874.388135278823,258.207290447643,15.9897388850095,22.7863418732607,25.5089645129399,PMC co-delivery with EPI only
Cameroon,CMR,12-18mo,456,Centre,raw cases,5,68594.8344034066,2929.53792688278,68594.8344034066,2929.53792688278,1283.51912282037,54.7996169643949,1283.51912282037,54.7996169643949,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,18-24mo,638.5,Centre,raw cases,5,69702.8982594376,2409.30461188534,69702.8982594376,2409.30461188534,1325.92104316863,45.8227495147463,1325.92104316863,45.8227495147463,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,24-30mo,821,Centre,raw cases,5,70645.8506902772,2009.42906973911,70645.8506902772,2009.42906973911,1314.87673401399,37.4025478358185,1314.87673401399,37.4025478358185,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,0-6mo,91,Est,raw cases,5,4778.41206156624,288.256157752345,3665.3855084656,218.31751811191,507.76180537341,30.6291376632206,389.991746874655,23.2296574192247,1113.02655310065,69.9386396404356,117.770058498755,7.39948024399584,23.2928123142194,24.2626697676735,PMC co-delivery with EPI only
Cameroon,CMR,6-12mo,273.5,Est,raw cases,5,12968.7428412479,636.828995245062,10240.1916125009,497.994301262251,1402.10042771331,68.8211879037545,1108.18053832926,53.8677853785967,2728.55122874704,138.834693982811,293.919889384048,14.9534025251578,21.0394427751988,21.8009379314434,PMC co-delivery with EPI only
Cameroon,CMR,12-18mo,456,Est,raw cases,5,14471.5538915876,520.681632300338,14471.5538915876,520.681632300338,1594.36285337384,57.3502979857005,1594.36285337384,57.3502979857005,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,18-24mo,638.5,Est,raw cases,5,14829.2039855717,463.843592590563,14829.2039855717,463.843592590563,1660.68563259868,51.9092052841713,1660.68563259868,51.9092052841713,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,24-30mo,821,Est,raw cases,5,14809.9213351526,385.410018418797,14809.9213351526,385.410018418797,1623.34833449754,42.2385950508192,1623.34833449754,42.2385950508192,0,0,0,0,0,0,PMC co-delivery with EPI only
Cameroon,CMR,0-6mo,91,Extreme_Nord,raw cases,5,8150.28526729726,546.252189743037,6196.69892081986,409.227203879723,183.475073325131,12.3153213568574,139.664861611454,9.24208735847396,1953.5863464774,137.024985863314,43.8102117136764,3.07323399838348,23.9695456343853,25.0845650482009,PMC co-delivery with EPI only
Cameroon,CMR,6-12mo,273.5,Extreme_Nord,raw cases,5,13937.4159552931,1154.65754353087,11616.1822678318,961.496576783835,319.67306700494,26.47611613099,266.626731337443,22.062269801755,2321.23368746132,193.16096674704,53.0463356674977,4.41384632923507,16.6546919092256,16.7288533149288,PMC co-delivery with EPI only
