,,,,
, Population ,,Proportion (%) ,
Admin-1, Rural  , Urban  ,Rural,Urban
Extreme Nord," 2,227,585 "," 2,663,461 ",0.46,0.54
Nord," 1,955,449 "," 1,212,592 ",0.62,0.38
Adamaoua," 1,289,931 "," 151,870 ",0.89,0.11
Nord Ouest," 918,265 "," 1,503,161 ",0.38,0.62
Sud Ouest," 823,350 "," 1,249,701 ",0.4,0.6
Ouest," 826,482 "," 1,393,060 ",0.37,0.63
Centre," 1,211,971 "," 4,866,541 ",0.2,0.8
Est," 1,003,638 "," 47,719 ",0.95,0.05
Littoral," 488,089 "," 4,231,631 ",0.1,0.9
Sud," 888,135 "," 64,760 ",0.93,0.07
