Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Cameroon,CMR,n_age_0_6,3,5,raw cases,0.088164065415558407,0.00691308498884949,PMC co-delivery with EPI only
Cameroon,CMR,n_age_7_13,10,5,raw cases,0.11428021557296,0.00700750865247311,PMC co-delivery with EPI only
Cameroon,CMR,n_age_14_20,17,5,raw cases,0.129741595190488,0.00874731188577975,PMC co-delivery with EPI only
Cameroon,CMR,n_age_21_27,24,5,raw cases,0.131677812651352,0.00902793289234371,PMC co-delivery with EPI only
Cameroon,CMR,n_age_28_34,31,5,raw cases,0.15770953668445,0.00584004626206105,PMC co-delivery with EPI only
Cameroon,CMR,n_age_35_41,38,5,raw cases,0.168496805760994,0.0140492371803942,PMC co-delivery with EPI only
Cameroon,CMR,n_age_42_48,45,5,raw cases,0.0444493391845588,0.00268701612534362,PMC co-delivery with EPI only
Cameroon,CMR,n_age_49_55,52,5,raw cases,0.0526413491389596,0.00383325943887204,PMC co-delivery with EPI only
Cameroon,CMR,n_age_56_62,59,5,raw cases,0.0767267252931937,0.00542322184642106,PMC co-delivery with EPI only
Cameroon,CMR,n_age_63_69,66,5,raw cases,0.123373724242244,0.0075266746343044,PMC co-delivery with EPI only
Cameroon,CMR,n_age_70_76,73,5,raw cases,0.0769638429542477,0.00549156992204517,PMC co-delivery with EPI only
Cameroon,CMR,n_age_77_83,80,5,raw cases,0.0943360796337474,0.00663423453369432,PMC co-delivery with EPI only
Cameroon,CMR,n_age_84_90,87,5,raw cases,0.119525136610584,0.00784376092816204,PMC co-delivery with EPI only
Cameroon,CMR,n_age_91_97,94,5,raw cases,0.176348479232361,0.0105254346189521,PMC co-delivery with EPI only
Cameroon,CMR,n_age_98_104,101,5,raw cases,0.130833639395194,0.00664042480522789,PMC co-delivery with EPI only
Cameroon,CMR,n_age_105_111,108,5,raw cases,0.146736914996075,0.00999963308090503,PMC co-delivery with EPI only
Cameroon,CMR,n_age_112_118,115,5,raw cases,0.183260049155064,0.012412445061523,PMC co-delivery with EPI only
Cameroon,CMR,n_age_119_125,122,5,raw cases,0.250642399744141,0.0146805436294793,PMC co-delivery with EPI only
Cameroon,CMR,n_age_126_132,129,5,raw cases,0.323989281448787,0.019143505787365,PMC co-delivery with EPI only
Cameroon,CMR,n_age_133_139,136,5,raw cases,0.426085635246055,0.0204570029381538,PMC co-delivery with EPI only
Cameroon,CMR,n_age_140_146,143,5,raw cases,0.47478675011738,0.0343094528253781,PMC co-delivery with EPI only
Cameroon,CMR,n_age_147_153,150,5,raw cases,0.513083192781543,0.0276686532463404,PMC co-delivery with EPI only
Cameroon,CMR,n_age_154_160,157,5,raw cases,0.539532119836673,0.0310099108137974,PMC co-delivery with EPI only
Cameroon,CMR,n_age_161_167,164,5,raw cases,0.59172792856796,0.0348418492617741,PMC co-delivery with EPI only
Cameroon,CMR,n_age_168_174,171,5,raw cases,0.583311526505168,0.0413803168033781,PMC co-delivery with EPI only
Cameroon,CMR,n_age_175_181,178,5,raw cases,0.646962706723005,0.0379209631926781,PMC co-delivery with EPI only
Cameroon,CMR,n_age_182_188,185,5,raw cases,0.199803521474591,0.0113257221121521,PMC co-delivery with EPI only
Cameroon,CMR,n_age_189_195,192,5,raw cases,0.213067416083984,0.0119596958560253,PMC co-delivery with EPI only
Cameroon,CMR,n_age_196_202,199,5,raw cases,0.261432006273021,0.0192971978856327,PMC co-delivery with EPI only
Cameroon,CMR,n_age_203_209,206,5,raw cases,0.347628870691613,0.0218367673915833,PMC co-delivery with EPI only
Cameroon,CMR,n_age_210_216,213,5,raw cases,0.446736700471522,0.0323383411426213,PMC co-delivery with EPI only
Cameroon,CMR,n_age_217_223,220,5,raw cases,0.570864926698395,0.0381582469905902,PMC co-delivery with EPI only
Cameroon,CMR,n_age_224_230,227,5,raw cases,0.617191988899881,0.0370408804878913,PMC co-delivery with EPI only
Cameroon,CMR,n_age_231_237,234,5,raw cases,0.64398016115425,0.03777384299937,PMC co-delivery with EPI only
Cameroon,CMR,n_age_238_244,241,5,raw cases,0.668495713568542,0.0397408805408861,PMC co-delivery with EPI only
Cameroon,CMR,n_age_245_251,248,5,raw cases,0.709476500923792,0.0450014028092901,PMC co-delivery with EPI only
Cameroon,CMR,n_age_252_258,255,5,raw cases,0.758474463212869,0.0463478453181473,PMC co-delivery with EPI only
Cameroon,CMR,n_age_259_265,262,5,raw cases,0.726075121829084,0.0422687139390721,PMC co-delivery with EPI only
Cameroon,CMR,n_age_266_272,269,5,raw cases,0.738530062936308,0.0505639311534714,PMC co-delivery with EPI only
