"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"COD","PMC co-delivery with EPI only",5,"Bas_Uele","0-1yr",36036.5493754618,3203.74391629981,39240.2932917616
"COD","PMC co-delivery with EPI only",5,"Bas_Uele","0-1yr",31312.8775698642,2942.74003052583,34255.6176003901
"COD","PMC co-delivery with EPI only",5,"Bas_Uele","0-1yr",23244.1001168379,2105.66556963236,25349.7656864702
"COD","PMC co-delivery with EPI only",5,"Bas_Uele","0-1yr",28349.6920088523,2398.24527232743,30747.9372811797
"COD","PMC co-delivery with EPI only",5,"Bas_Uele","0-1yr",29469.7051526091,2884.30938616333,32354.0145387724
"COD","PMC co-delivery with EPI only",5,"Equateur","0-1yr",50731.0334774798,15696.4840826196,66427.5175600994
"COD","PMC co-delivery with EPI only",5,"Equateur","0-1yr",45862.1894987919,14655.3616139835,60517.5511127754
"COD","PMC co-delivery with EPI only",5,"Equateur","0-1yr",34695.5815606573,10626.6985172427,45322.2800779
"COD","PMC co-delivery with EPI only",5,"Equateur","0-1yr",31181.4269281913,11617.981186896,42799.4081150873
"COD","PMC co-delivery with EPI only",5,"Equateur","0-1yr",38453.3199499563,14006.8615791135,52460.1815290698
"COD","PMC co-delivery with EPI only",5,"Haut_Katanga","0-1yr",102255.11074701,215332.080606952,317587.191353963
"COD","PMC co-delivery with EPI only",5,"Haut_Katanga","0-1yr",91634.3009013858,206901.350999769,298535.651901155
"COD","PMC co-delivery with EPI only",5,"Haut_Katanga","0-1yr",76229.0066371679,192243.654296924,268472.660934092
"COD","PMC co-delivery with EPI only",5,"Haut_Katanga","0-1yr",62163.906787646,191711.574319855,253875.481107501
"COD","PMC co-delivery with EPI only",5,"Haut_Katanga","0-1yr",58008.2476268846,175554.91218786,233563.159814744
"COD","PMC co-delivery with EPI only",5,"Haut_Lomami","0-1yr",127490.201686963,95866.7249302794,223356.926617242
"COD","PMC co-delivery with EPI only",5,"Haut_Lomami","0-1yr",114264.464160594,92112.9135149097,206377.377675504
"COD","PMC co-delivery with EPI only",5,"Haut_Lomami","0-1yr",95058.3651710734,85577.8264131306,180636.191584204
"COD","PMC co-delivery with EPI only",5,"Haut_Lomami","0-1yr",77526.3573449906,85335.9207026655,162862.278047656
"COD","PMC co-delivery with EPI only",5,"Haut_Lomami","0-1yr",72343.7178721897,78144.1606672732,150487.878539463
"COD","PMC co-delivery with EPI only",5,"Haut_Uele","0-1yr",47811.6710442914,7845.85771556415,55657.5287598555
"COD","PMC co-delivery with EPI only",5,"Haut_Uele","0-1yr",41543.934860819,7206.33311519779,48750.2679760168
"COD","PMC co-delivery with EPI only",5,"Haut_Uele","0-1yr",30837.3920464916,5156.761816156,35994.1538626476
"COD","PMC co-delivery with EPI only",5,"Haut_Uele","0-1yr",37614.524052302,5873.03885053725,43487.5629028393
"COD","PMC co-delivery with EPI only",5,"Haut_Uele","0-1yr",39100.5635239682,7063.35639534778,46163.919919316
"COD","PMC co-delivery with EPI only",5,"Ituri","0-1yr",63363.2768954299,112251.498030608,175614.774926038
"COD","PMC co-delivery with EPI only",5,"Ituri","0-1yr",55061.3945719647,103064.104770804,158125.499342769
"COD","PMC co-delivery with EPI only",5,"Ituri","0-1yr",40876.9406266923,73747.0828174697,114624.023444162
"COD","PMC co-delivery with EPI only",5,"Ituri","0-1yr",49858.1724090143,83991.9689869021,133850.141395916
"COD","PMC co-delivery with EPI only",5,"Ituri","0-1yr",51827.9225002798,101015.032660173,152842.955160453
"COD","PMC co-delivery with EPI only",5,"Kasai","0-1yr",112625.51027658,70874.8881305873,183500.398407167
"COD","PMC co-delivery with EPI only",5,"Kasai","0-1yr",104574.608925826,64372.5900215635,168947.19894739
"COD","PMC co-delivery with EPI only",5,"Kasai","0-1yr",81655.8085659145,49488.1871844383,131143.995750353
"COD","PMC co-delivery with EPI only",5,"Kasai","0-1yr",92447.8169031474,66339.7725111563,158787.589414304
"COD","PMC co-delivery with EPI only",5,"Kasai","0-1yr",94187.2626125045,57191.6029960768,151378.865608581
