Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_0_6,3,clinical,ppy,0.068394101849428,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_7_13,10,clinical,ppy,0.072666488881588,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_14_20,17,clinical,ppy,0.116697198295052,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_21_27,24,clinical,ppy,0.111346836411914,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_28_34,31,clinical,ppy,0.162481630504237,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_35_41,38,clinical,ppy,0.152404448957602,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_42_48,45,clinical,ppy,0.0601760983360914,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_49_55,52,clinical,ppy,0.08587564068369,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_56_62,59,clinical,ppy,0.147313322374844,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_63_69,66,clinical,ppy,0.200816974628865,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_70_76,73,clinical,ppy,0.145115220889165,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_77_83,80,clinical,ppy,0.198753559902117,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_84_90,87,clinical,ppy,0.280536607737914,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_91_97,94,clinical,ppy,0.366278063451839,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_98_104,101,clinical,ppy,0.322800947596028,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_105_111,108,clinical,ppy,0.398152137510866,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_112_118,115,clinical,ppy,0.494879719062899,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_119_125,122,clinical,ppy,0.579584794928459,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_126_132,129,clinical,ppy,0.738592927042655,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_133_139,136,clinical,ppy,0.853960651010221,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_140_146,143,clinical,ppy,0.967484329834116,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_147_153,150,clinical,ppy,1.04369924293232,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_154_160,157,clinical,ppy,1.15141793323886,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_161_167,164,clinical,ppy,1.25223847676082,5,PMC co-delivery with EPI only
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_168_174,171,clinical,ppy,1.32444169936273,5,PMC co-delivery with EPI only
