Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_0_6,3,clinical,ppy,0.068394101849428
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_7_13,10,clinical,ppy,0.072666488881588
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_14_20,17,clinical,ppy,0.116697198295052
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_21_27,24,clinical,ppy,0.111346836411914
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_28_34,31,clinical,ppy,0.162481630504237
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_35_41,38,clinical,ppy,0.152404448957602
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_42_48,45,clinical,ppy,0.216566084193172
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_49_55,52,clinical,ppy,0.244855977360712
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_56_62,59,clinical,ppy,0.292631105280047
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_63_69,66,clinical,ppy,0.320689967540179
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_70_76,73,clinical,ppy,0.39427364950941
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_77_83,80,clinical,ppy,0.460797773328293
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_84_90,87,clinical,ppy,0.496504401180754
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_91_97,94,clinical,ppy,0.544401251550553
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_98_104,101,clinical,ppy,0.609122892960846
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_105_111,108,clinical,ppy,0.689699753299773
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_112_118,115,clinical,ppy,0.731509549679841
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_119_125,122,clinical,ppy,0.766020681801047
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_126_132,129,clinical,ppy,0.894118712896045
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_133_139,136,clinical,ppy,0.973133132232934
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_140_146,143,clinical,ppy,1.07257734472454
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_147_153,150,clinical,ppy,1.13092174997781
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_154_160,157,clinical,ppy,1.20210600953967
DR Congo,rural/urban merged,COD,Bas_Uele,n_age_161_167,164,clinical,ppy,1.26474342449214
