Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
DR Congo,COD,n_age_0_6,3,ppy,0.0774985425646547,0.00640721970039274
DR Congo,COD,n_age_7_13,10,ppy,0.0856439838282407,0.00546740827911991
DR Congo,COD,n_age_14_20,17,ppy,0.0983595334487555,0.0073092708535931
DR Congo,COD,n_age_21_27,24,ppy,0.121388613414796,0.00847370820902441
DR Congo,COD,n_age_28_34,31,ppy,0.138902128255934,0.00911275154977485
DR Congo,COD,n_age_35_41,38,ppy,0.158021586998798,0.00977050889757852
DR Congo,COD,n_age_42_48,45,ppy,0.172299978770193,0.01148322345824
DR Congo,COD,n_age_49_55,52,ppy,0.210913374312683,0.0112458304635405
DR Congo,COD,n_age_56_62,59,ppy,0.231282454191926,0.0152523799185902
DR Congo,COD,n_age_63_69,66,ppy,0.268998074873689,0.0162127806138601
DR Congo,COD,n_age_70_76,73,ppy,0.288060072662809,0.0176186756101297
DR Congo,COD,n_age_77_83,80,ppy,0.315978722554773,0.0185183712683656
DR Congo,COD,n_age_84_90,87,ppy,0.361201965335146,0.0221534774754681
DR Congo,COD,n_age_91_97,94,ppy,0.396295510008172,0.0226554403327884
DR Congo,COD,n_age_98_104,101,ppy,0.427897225180351,0.0277079446714289
DR Congo,COD,n_age_105_111,108,ppy,0.451834089043347,0.0265562890710792
DR Congo,COD,n_age_112_118,115,ppy,0.506860338737583,0.0274579277653365
DR Congo,COD,n_age_119_125,122,ppy,0.541202646171943,0.0307615765007219
DR Congo,COD,n_age_126_132,129,ppy,0.591283588623035,0.0315990632937162
DR Congo,COD,n_age_133_139,136,ppy,0.619633340695622,0.0334323516092215
DR Congo,COD,n_age_140_146,143,ppy,0.639828398760468,0.0358969630692027
DR Congo,COD,n_age_147_153,150,ppy,0.67996354493162,0.038843382570158
DR Congo,COD,n_age_154_160,157,ppy,0.72564465661271,0.0406483816397118
DR Congo,COD,n_age_161_167,164,ppy,0.757558620665531,0.0425861496545337
DR Congo,COD,n_age_168_174,171,ppy,0.785090659684198,0.0436941242973697
