Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
DR Congo,COD,0-30mo,Bas_Uele,raw cases,5,116012.154224,4042.44778631632,1807.26285444285,62.9741407191525,5938.09955765384,282.850584230162,92.5050209464273,4.40630861185127,110074.054666346,3759.59720208616,1714.75783349642,58.5678321073012,5.11851503609558,6.99701268097044,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Equateur,raw cases,5,114878.460932609,5231.8052304361,1109.81451288206,50.5432726567986,5339.93853943379,318.710626875092,51.58792380095,3.07899040641928,109538.522393176,4913.09460356101,1058.22658908111,47.4642822503793,4.64833746559883,6.09179074597403,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Haut_Katanga,raw cases,5,694580.346688133,27761.8131986634,1430.16257936078,57.1624385303255,40613.4506729072,2329.58396551545,83.6243605913407,4.79668598290333,653966.896015226,25432.2292331479,1346.53821876944,52.3657525474222,5.84719260580268,8.3913249788296,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Haut_Lomami,raw cases,5,432337.885376102,19319.0717341508,1232.43978776324,55.0717239297846,24342.7238885659,1432.65215832403,69.3923490806378,4.08397594027047,407995.161487536,17886.4195758267,1163.0474386826,50.9877479895142,5.63048594906032,7.41574014548275,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Haut_Uele,raw cases,5,128730.956571139,5172.8463166488,1417.86819042434,56.9747513860578,5917.95240194343,309.721888525222,65.1814970280591,3.41133807527785,122813.004169196,4863.12442812357,1352.68669339628,53.5634133107799,4.59714784972724,5.98745583313356,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Ituri,raw cases,5,347494.513217691,14453.4257356338,1232.68519812465,51.2713821048115,15367.1600404116,802.245900974407,54.5127189020138,2.84584823579018,332127.353177279,13651.1798346594,1178.17247922264,48.4255338690213,4.42227415279643,5.55055884776531,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kasai,raw cases,5,97021.9973997981,6408.88935109988,352.320460124784,23.2728958955965,6179.51256982825,459.918766125064,22.4399493959842,1.67012425680635,90842.4848299698,5948.97058497482,329.8805107288,21.6027716387902,6.36918712811524,7.17626317025014,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kasai_Central,raw cases,5,145088.280881596,9114.12854228799,448.085244607097,28.1477352439266,9031.71403145799,654.625375386358,27.8932093372163,2.02172063569619,136056.566850139,8459.50316690163,420.192035269881,26.1260146082304,6.22497832118404,7.18253393452824,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kasai_Oriental,raw cases,5,53956.5916729234,3777.92962829575,203.197547455422,14.2274745518091,3440.04715946068,272.0770433433,12.9550278151498,1.02462713474218,50516.5445134627,3505.85258495245,190.242519640272,13.2028474170669,6.37558276533425,7.20174990305567,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kinshasa,raw cases,5,233128.369832884,13413.2541923649,629.45362827088,36.2161907808818,19401.7142619918,1327.15287985574,52.3852135441088,3.58335279440325,213726.655570892,12086.1013125092,577.068414726771,32.6328379864785,8.32233085827336,9.89433929173709,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kongo_Central,raw cases,5,226713.942712481,8366.01557363664,1712.43191134039,63.1907851262357,16372.6111840948,863.821107473534,123.666773768604,6.52467515861187,210341.331528386,7502.19446616311,1588.76513757179,56.6661099676238,7.22170457988048,10.325358587613,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kwango,raw cases,5,139101.051810841,5738.47778272913,1396.87519519096,57.6267193417729,10307.5128826624,549.035980663226,103.509706666217,5.51350786116797,128793.538928179,5189.44180206591,1293.36548852475,52.1132114806049,7.41008982209509,9.56762405381507,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Kwilu,raw cases,5,260908.148240096,11140.0144148524,1356.36436697557,57.9127892395118,17453.0499014503,946.401293801413,90.7319113682468,4.91998812773969,243455.098338645,10193.6131210509,1265.63245560733,52.9928011117722,6.68934643060265,8.49551229071686,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Lomami,raw cases,5,159644.304375414,7769.41304833264,875.763251225725,42.6207903748507,7797.92490104306,479.779787980995,42.7771982900962,2.63193546828054,151846.379474371,7289.63326035165,832.986052935629,39.9888549065701,4.88456192129834,6.17523852826898,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Lualaba,raw cases,5,384464.775310449,11053.3005583898,2241.30550995599,64.4371735348556,18734.0911795631,862.012131881789,109.213703000145,5.02525241558342,365730.684130886,10191.288426508,2132.09180695585,59.4119211192722,4.87277180710134,7.79868535491417,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Mai_Ndombe,raw cases,5,97914.2691483319,4247.36343688676,1297.11924142402,56.2669454332593,6552.9477092992,353.821562771911,86.8101721609207,4.68725101146282,91361.3214390327,3893.54187411485,1210.3090692631,51.5796944217965,6.69253599735501,8.33038114184211,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Maniema,raw cases,5,88429.4597366198,4615.57324298893,670.056718231587,34.9735921622278,2504.50546086289,156.260590529531,18.9773941274451,1.18403367826738,85924.9542757569,4459.3126524594,651.079324104142,33.7895584839604,2.83220712681312,3.38550776475905,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Mongala,raw cases,5,98230.5905276123,4636.54067036411,1007.98983148893,47.5777028714712,5717.2057328394,378.572742025151,58.6669103003346,3.88471119221225,92513.3847947729,4257.96792833896,949.322921188596,43.6929916792589,5.82018870306222,8.16498266573865,PMC co-delivery with EPI only
DR Congo,COD,0-30mo,Nord_Kivu,raw cases,5,140336.042135084,9878.17587218544,325.24258071407,22.8936441739214,6219.54239204564,496.67637694459,14.4144012305999,1.15109635528753,134116.499743038,9381.49949524085,310.82817948347,21.7425478186339,4.43189240441799,5.02801714983743,PMC co-delivery with EPI only
