Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
DR Congo,COD,n_age_0_6,3,5,raw cases,0.0774985425646547,0.00640721970039274,PMC co-delivery with EPI only
DR Congo,COD,n_age_7_13,10,5,raw cases,0.0856439838282407,0.00546740827911991,PMC co-delivery with EPI only
DR Congo,COD,n_age_14_20,17,5,raw cases,0.0983595334487555,0.0073092708535931,PMC co-delivery with EPI only
DR Congo,COD,n_age_21_27,24,5,raw cases,0.121388613414796,0.00847370820902441,PMC co-delivery with EPI only
DR Congo,COD,n_age_28_34,31,5,raw cases,0.138902128255934,0.00911275154977485,PMC co-delivery with EPI only
DR Congo,COD,n_age_35_41,38,5,raw cases,0.158021586998798,0.00977050889757852,PMC co-delivery with EPI only
DR Congo,COD,n_age_42_48,45,5,raw cases,0.0388762351147155,0.00255739951316406,PMC co-delivery with EPI only
DR Congo,COD,n_age_49_55,52,5,raw cases,0.0647572199322928,0.0033803570238719,PMC co-delivery with EPI only
DR Congo,COD,n_age_56_62,59,5,raw cases,0.108611281521677,0.00720583802878797,PMC co-delivery with EPI only
DR Congo,COD,n_age_63_69,66,5,raw cases,0.16270942763205,0.00972032140252155,PMC co-delivery with EPI only
DR Congo,COD,n_age_70_76,73,5,raw cases,0.0831381175256544,0.00496402765771254,PMC co-delivery with EPI only
DR Congo,COD,n_age_77_83,80,5,raw cases,0.11387553195771,0.006723810230498,PMC co-delivery with EPI only
DR Congo,COD,n_age_84_90,87,5,raw cases,0.184839806351092,0.0115517250359122,PMC co-delivery with EPI only
DR Congo,COD,n_age_91_97,94,5,raw cases,0.251137435202622,0.0145523091408691,PMC co-delivery with EPI only
DR Congo,COD,n_age_98_104,101,5,raw cases,0.179120362681033,0.0112751734827346,PMC co-delivery with EPI only
DR Congo,COD,n_age_105_111,108,5,raw cases,0.215990065642177,0.0126105434848,PMC co-delivery with EPI only
DR Congo,COD,n_age_112_118,115,5,raw cases,0.303945156305196,0.0164478710042652,PMC co-delivery with EPI only
DR Congo,COD,n_age_119_125,122,5,raw cases,0.379328253860305,0.0215532258672036,PMC co-delivery with EPI only
DR Congo,COD,n_age_126_132,129,5,raw cases,0.467563177693764,0.0251382098846819,PMC co-delivery with EPI only
DR Congo,COD,n_age_133_139,136,5,raw cases,0.533508514614229,0.0287931200441468,PMC co-delivery with EPI only
DR Congo,COD,n_age_140_146,143,5,raw cases,0.57077244720811,0.0321211187521175,PMC co-delivery with EPI only
DR Congo,COD,n_age_147_153,150,5,raw cases,0.622573297518375,0.0355510576349591,PMC co-delivery with EPI only
DR Congo,COD,n_age_154_160,157,5,raw cases,0.691853739975533,0.0387925943981099,PMC co-delivery with EPI only
DR Congo,COD,n_age_161_167,164,5,raw cases,0.749389309668904,0.0421364964686986,PMC co-delivery with EPI only
DR Congo,COD,n_age_168_174,171,5,raw cases,0.784737190437336,0.0436740286640579,PMC co-delivery with EPI only
DR Congo,COD,n_age_175_181,178,5,raw cases,0.790941829820432,0.0455983910230994,PMC co-delivery with EPI only
DR Congo,COD,n_age_182_188,185,5,raw cases,0.347085960720998,0.018909231370804,PMC co-delivery with EPI only
DR Congo,COD,n_age_189_195,192,5,raw cases,0.404858751442734,0.0220646588142968,PMC co-delivery with EPI only
DR Congo,COD,n_age_196_202,199,5,raw cases,0.523289048150205,0.028614680473537,PMC co-delivery with EPI only
DR Congo,COD,n_age_203_209,206,5,raw cases,0.630670597178406,0.035538358580309,PMC co-delivery with EPI only
DR Congo,COD,n_age_210_216,213,5,raw cases,0.720691913152602,0.0406625005432613,PMC co-delivery with EPI only
DR Congo,COD,n_age_217_223,220,5,raw cases,0.783185550731074,0.0446361815201266,PMC co-delivery with EPI only
DR Congo,COD,n_age_224_230,227,5,raw cases,0.844703108535469,0.0476769440783517,PMC co-delivery with EPI only
DR Congo,COD,n_age_231_237,234,5,raw cases,0.867967200979503,0.047278227751533,PMC co-delivery with EPI only
DR Congo,COD,n_age_238_244,241,5,raw cases,0.907232343305747,0.0548768512911565,PMC co-delivery with EPI only
DR Congo,COD,n_age_245_251,248,5,raw cases,0.963704702838248,0.0564531610743077,PMC co-delivery with EPI only
DR Congo,COD,n_age_252_258,255,5,raw cases,0.971795346539156,0.0536320416657314,PMC co-delivery with EPI only
