Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_0_6,3,clinical,ppy,0.026946059063556,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_7_13,10,clinical,ppy,0.0322681397242947,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_14_20,17,clinical,ppy,0.0411551619784403,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_21_27,24,clinical,ppy,0.0186840612438851,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_28_34,31,clinical,ppy,0.0529307206448956,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_35_41,38,clinical,ppy,0.0469398879914551,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_42_48,45,clinical,ppy,0.0336829314359006,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_49_55,52,clinical,ppy,0.0466506523004082,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_56_62,59,clinical,ppy,0.013352031115748,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_63_69,66,clinical,ppy,0.0189021460494672,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_70_76,73,clinical,ppy,0.0203424016215854,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_77_83,80,clinical,ppy,0.0223401311632457,4,PMC co-delivery with EPI only
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_84_90,87,clinical,ppy,0.0196223278105286,4,PMC co-delivery with EPI only
