Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_0_6,3,clinical,ppy,0.026946059063556
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_7_13,10,clinical,ppy,0.0322681397242947
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_14_20,17,clinical,ppy,0.0411551619784403
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_21_27,24,clinical,ppy,0.0186840612438851
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_28_34,31,clinical,ppy,0.0529307206448956
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_35_41,38,clinical,ppy,0.0469398879914551
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_42_48,45,clinical,ppy,0.0336829314359006
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_49_55,52,clinical,ppy,0.0466506523004082
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_56_62,59,clinical,ppy,0.0555767762972067
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_63_69,66,clinical,ppy,0.0671400235226115
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_70_76,73,clinical,ppy,0.0531369555495987
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_77_83,80,clinical,ppy,0.0441679619264343
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_84_90,87,clinical,ppy,0.0724571476743851
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_91_97,94,clinical,ppy,0.0742052436014078
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_98_104,101,clinical,ppy,0.061540006508657
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_105_111,108,clinical,ppy,0.0733853696214492
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_112_118,115,clinical,ppy,0.0812538467640518
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_119_125,122,clinical,ppy,0.0950889705333014
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_126_132,129,clinical,ppy,0.0925783830729351
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_133_139,136,clinical,ppy,0.0735374508188603
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_140_146,143,clinical,ppy,0.0910128433315302
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_147_153,150,clinical,ppy,0.0890659959064497
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_154_160,157,clinical,ppy,0.0929614388962753
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_161_167,164,clinical,ppy,0.0457465886602648
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_168_174,171,clinical,ppy,0.103007963210543
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_175_181,178,clinical,ppy,0.101574590170686
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_182_188,185,clinical,ppy,0.0946751810684321
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_189_195,192,clinical,ppy,0.0856723705345921
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_196_202,199,clinical,ppy,0.116789849533633
Congo-Brazzaville,rural/urban merged,COG,Bouenza,n_age_203_209,206,clinical,ppy,0.0829421828710945
