Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Congo-Brazzaville,COG,n_age_0_6,3,ppy,0.0319888916923747,6.8030987346015e-4
Congo-Brazzaville,COG,n_age_7_13,10,ppy,0.0350455249111776,0.00391952253697943
Congo-Brazzaville,COG,n_age_14_20,17,ppy,0.0395476344460319,0.00292895440935342
Congo-Brazzaville,COG,n_age_21_27,24,ppy,0.04702057547428,0.00178557885857997
Congo-Brazzaville,COG,n_age_28_34,31,ppy,0.047940421316612,0.00397714359392963
Congo-Brazzaville,COG,n_age_35_41,38,ppy,0.0553104229789885,0.0032957839900722
Congo-Brazzaville,COG,n_age_42_48,45,ppy,0.0510534267798029,0.00226184766152745
Congo-Brazzaville,COG,n_age_49_55,52,ppy,0.0624920155067294,0.00369544745817809
Congo-Brazzaville,COG,n_age_56_62,59,ppy,0.060633380293131,0.00412199487696077
Congo-Brazzaville,COG,n_age_63_69,66,ppy,0.0708494181717248,0.0054322479761027
Congo-Brazzaville,COG,n_age_70_76,73,ppy,0.0834921699548357,0.00595362965093987
Congo-Brazzaville,COG,n_age_77_83,80,ppy,0.0795799366988457,0.00305035876122662
Congo-Brazzaville,COG,n_age_84_90,87,ppy,0.0812424232551065,0.00420882872136162
Congo-Brazzaville,COG,n_age_91_97,94,ppy,0.0957592096975859,0.00541541350983103
Congo-Brazzaville,COG,n_age_98_104,101,ppy,0.0997525311650635,0.00518751967696218
Congo-Brazzaville,COG,n_age_105_111,108,ppy,0.0999145228622649,0.00724023921624436
Congo-Brazzaville,COG,n_age_112_118,115,ppy,0.117752463862187,0.00681477764450835
Congo-Brazzaville,COG,n_age_119_125,122,ppy,0.111711437744543,0.0074566833388408
Congo-Brazzaville,COG,n_age_126_132,129,ppy,0.104744716264441,0.00467664025281025
Congo-Brazzaville,COG,n_age_133_139,136,ppy,0.11424719564229,0.0121870873658906
Congo-Brazzaville,COG,n_age_140_146,143,ppy,0.113335983467994,0.00848979495950512
Congo-Brazzaville,COG,n_age_147_153,150,ppy,0.122763413460491,0.00909755014013013
Congo-Brazzaville,COG,n_age_154_160,157,ppy,0.129105489052929,0.0109064031259002
Congo-Brazzaville,COG,n_age_161_167,164,ppy,0.13230576267626,0.0088912180636173
Congo-Brazzaville,COG,n_age_168_174,171,ppy,0.137622954811609,0.00718313925500123
Congo-Brazzaville,COG,n_age_175_181,178,ppy,0.140561344675273,0.00924604119393528
Congo-Brazzaville,COG,n_age_182_188,185,ppy,0.145400897937522,0.00749092551121054
Congo-Brazzaville,COG,n_age_189_195,192,ppy,0.157337904040703,0.0126148993013537
Congo-Brazzaville,COG,n_age_196_202,199,ppy,0.146879451451472,0.0111442120605391
Congo-Brazzaville,COG,n_age_203_209,206,ppy,0.146862188745631,0.0157784187746415
Congo-Brazzaville,COG,n_age_210_216,213,ppy,0.155784916803023,0.0114458705354974
Congo-Brazzaville,COG,n_age_217_223,220,ppy,0.155219709118989,0.0128628056913181
Congo-Brazzaville,COG,n_age_224_230,227,ppy,0.152985287848561,0.0108994382887269
Congo-Brazzaville,COG,n_age_231_237,234,ppy,0.164764908938766,0.0109328582169899
Congo-Brazzaville,COG,n_age_238_244,241,ppy,0.162987682881843,0.0109677247113753
Congo-Brazzaville,COG,n_age_245_251,248,ppy,0.151368326375287,0.0122901091136041
Congo-Brazzaville,COG,n_age_252_258,255,ppy,0.166648684866533,0.0162264874569765
Congo-Brazzaville,COG,n_age_259_265,262,ppy,0.163107940371827,0.0164402190825333
Congo-Brazzaville,COG,n_age_266_272,269,ppy,0.163590825734776,0.0117439536715627
Congo-Brazzaville,COG,n_age_273_279,276,ppy,0.177837576249376,0.0152632822051976
Congo-Brazzaville,COG,n_age_280_286,283,ppy,0.155905243608248,0.0139668746012388
Congo-Brazzaville,COG,n_age_287_293,290,ppy,0.162124472826286,0.0122660308861899
Congo-Brazzaville,COG,n_age_294_300,297,ppy,0.180560151171882,0.0120658402702585
Congo-Brazzaville,COG,n_age_301_307,304,ppy,0.173789688958848,0.00954869459424307
Congo-Brazzaville,COG,n_age_308_314,311,ppy,0.169068420390054,0.0183013350989385
Congo-Brazzaville,COG,n_age_315_321,318,ppy,0.171042688947885,0.0122673153526929
Congo-Brazzaville,COG,n_age_322_328,325,ppy,0.192084405983301,0.0116972583279745
Congo-Brazzaville,COG,n_age_329_335,332,ppy,0.186805355720465,0.015146789897871
Congo-Brazzaville,COG,n_age_336_342,339,ppy,0.178434854792939,0.0171294930078035
Congo-Brazzaville,COG,n_age_343_349,346,ppy,0.193300414210469,0.0148983151556682
Congo-Brazzaville,COG,n_age_350_356,353,ppy,0.179836575939613,0.0128771498266136
Congo-Brazzaville,COG,n_age_357_363,360,ppy,0.199669107008403,0.0139618820571368
Congo-Brazzaville,COG,n_age_364_370,367,ppy,0.182903788031063,0.00989535773390724
Congo-Brazzaville,COG,n_age_371_377,374,ppy,0.175130060251496,0.0126065664843889
Congo-Brazzaville,COG,n_age_378_384,381,ppy,0.184679059378813,0.0112771180546959
Congo-Brazzaville,COG,n_age_385_391,388,ppy,0.189863227549696,0.0161890437906648
Congo-Brazzaville,COG,n_age_392_398,395,ppy,0.182140671210169,0.0149855076161722
Congo-Brazzaville,COG,n_age_399_405,402,ppy,0.185588666259345,0.0155456066661618
Congo-Brazzaville,COG,n_age_406_412,409,ppy,0.179531286436695,0.0105155400391398
Congo-Brazzaville,COG,n_age_413_419,416,ppy,0.184818690115051,0.0146295272620443
Congo-Brazzaville,COG,n_age_420_426,423,ppy,0.205602907844555,0.0103458140914482
Congo-Brazzaville,COG,n_age_427_433,430,ppy,0.186719740476132,0.0133915220459783
Congo-Brazzaville,COG,n_age_434_440,437,ppy,0.201902573952463,0.0144266946722714
Congo-Brazzaville,COG,n_age_441_447,444,ppy,0.187959111433016,0.0138486544881959
Congo-Brazzaville,COG,n_age_448_454,451,ppy,0.204202984288793,0.017083910173246
Congo-Brazzaville,COG,n_age_455_461,458,ppy,0.201112441477386,0.0155275815903075
Congo-Brazzaville,COG,n_age_462_468,465,ppy,0.191071563819977,0.0174360451178108
Congo-Brazzaville,COG,n_age_469_475,472,ppy,0.194979023985007,0.0136731363625914
Congo-Brazzaville,COG,n_age_476_482,479,ppy,0.203909225171532,0.0176383296879759
Congo-Brazzaville,COG,n_age_483_489,486,ppy,0.18658445329088,0.012766110662255
Congo-Brazzaville,COG,n_age_490_496,493,ppy,0.193580129260867,0.0137741473079928
Congo-Brazzaville,COG,n_age_497_503,500,ppy,0.206806701308125,0.0171001538355198
Congo-Brazzaville,COG,n_age_504_510,507,ppy,0.208801357226273,0.0130348990109943
