Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Congo-Brazzaville,COG,0-6mo,91,Bouenza,raw cases,4,212.766873317156,16.3924607973902,139.861409717391,11.3212253061208,64.1036604019032,4.94079234914972,42.1952593313517,3.41642868302179,72.9054635997656,5.0712354912694,21.9084010705515,1.52436366612793,34.2654203932821,30.9363893191483,PMC co-delivery with EPI only
Congo-Brazzaville,COG,6-12mo,273.5,Bouenza,raw cases,4,378.360813488434,36.1464350931989,330.929977093038,31.6724485798172,115.169928645492,11.0081883978576,100.718658733419,9.64472271903984,47.4308363953964,4.47398651338165,14.4512699120734,1.36346567881776,12.5358744099556,12.3773935156982,PMC co-delivery with EPI only
Congo-Brazzaville,COG,12-18mo,456,Bouenza,raw cases,4,430.108384264163,34.762730438339,430.108384264163,34.762730438339,132.436211165954,10.7055012587353,132.436211165954,10.7055012587353,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,18-24mo,638.5,Bouenza,raw cases,4,499.365642876338,35.6315395186328,499.365642876338,35.6315395186328,155.153829880079,11.0731310891611,155.153829880079,11.0731310891611,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,24-30mo,821,Bouenza,raw cases,4,580.687530483661,44.4650012750132,580.687530483661,44.4650012750132,175.428524994746,13.4245285700439,175.428524994746,13.4245285700439,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,0-6mo,91,Brazzaville,raw cases,4,277.275833823178,19.1220204439176,197.592653458003,15.4271581105657,36.5669814102017,2.51683278477967,26.0951763915489,2.03021530087299,79.6831803651745,3.69486233335191,10.4718050186527,0.486617483906676,28.7378742194999,19.3225519457447,PMC co-delivery with EPI only
Congo-Brazzaville,COG,6-12mo,273.5,Brazzaville,raw cases,4,411.05770872989,33.2735083632931,348.393819885692,27.9030101798035,54.7204364470539,4.427605407755,46.370967856868,3.71211783746433,62.6638888441975,5.37049818348963,8.34946859018591,0.715487570290671,15.2445477881488,16.1404626312694,PMC co-delivery with EPI only
Congo-Brazzaville,COG,12-18mo,456,Brazzaville,raw cases,4,488.048330256251,38.6387154783579,488.048330256251,38.6387154783579,65.723446744973,5.20312437435422,65.723446744973,5.20312437435422,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,18-24mo,638.5,Brazzaville,raw cases,4,636.783620185483,49.1183268532868,636.783620185483,49.1183268532868,86.5425390299759,6.67464481531089,86.5425390299759,6.67464481531089,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,24-30mo,821,Brazzaville,raw cases,4,708.741490444911,47.0284280736996,708.741490444911,47.0284280736996,93.6273338116932,6.21013929060229,93.6273338116932,6.21013929060229,0,0,0,0,0,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,0-6mo,91,Cuvette,raw cases,4,231.839617028535,15.4872344985443,167.601952344734,11.0014846061835,113.951872821372,7.61601348922177,82.4126035477737,5.41350989754839,64.2376646838007,4.48574989236081,31.5392692735981,2.20250359167338,27.7078031387079,28.96417622386,PMC co-delivery with EPI only
Congo-Brazzaville,COG,6-12mo,273.5,Cuvette,raw cases,4,445.623619231321,33.4410294787542,388.97054672938,30.5999396834262,221.803311322072,16.6440035645465,193.568954739291,15.2278552417554,56.6530725019405,2.84108979532797,28.2343565827806,1.41614832279113,12.713211341819,8.49582037279377,PMC co-delivery with EPI only
Congo-Brazzaville,COG,12-18mo,456,Cuvette,raw cases,4,542.222061014206,36.6841041738197,542.222061014206,36.6841041738197,272.98624526577,18.4675658100911,272.98624526577,18.4675658100911,0,0,0,0,0,0,PMC co-delivery with EPI only
