Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Congo-Brazzaville,COG,n_age_0_6,3,Bouenza,raw cases,4,2.9776048309866,0.166764042104827,26.946059063556,1.50914375254593,0,0,0,0,2.9776048309866,0.166764042104827,26.946059063556,1.50914375254593,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_7_13,10,Bouenza,raw cases,4,4.15787322640813,0,32.2681397242947,0,0,0,0,0,4.15787322640813,0,32.2681397242947,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_14_20,17,Bouenza,raw cases,4,5.30076800989929,0.448941456223763,41.1551619784403,3.4855813940963,0,0,0,0,5.30076800989929,0.448941456223763,41.1551619784403,3.4855813940963,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_21_27,24,Bouenza,raw cases,4,2.40542686210448,0,18.6840612438851,0,0,0,0,0,2.40542686210448,0,18.6840612438851,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_28_34,31,Bouenza,raw cases,4,6.81110996853987,0.599685226921987,52.9307206448956,4.66029345696839,0,0,0,0,6.81110996853987,0.599685226921987,52.9307206448956,4.66029345696839,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_35_41,38,Bouenza,raw cases,4,6.03692766551947,0.435523853089208,46.9398879914551,3.38639818369519,0,0,0,0,6.03692766551947,0.435523853089208,46.9398879914551,3.38639818369519,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_42_48,45,Bouenza,raw cases,4,4.32966733301834,0,33.6829314359006,0,0,0,0,0,4.32966733301834,0,33.6829314359006,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_49_55,52,Bouenza,raw cases,4,5.99340874597163,0.436840828208666,46.6506523004082,3.40022021709802,0,0,0,0,5.99340874597163,0.436840828208666,46.6506523004082,3.40022021709802,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_56_62,59,Bouenza,raw cases,4,7.13646430735484,0.984842668613883,55.5767762972067,7.66967763365517,5.42196591725991,0.7462931764691,42.2247451814587,5.81192130086172,1.71449839009493,0.238549492144783,13.352031115748,1.85775633279345,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_63_69,66,Bouenza,raw cases,4,8.61661895651119,0.0892730344356153,67.1400235226115,0.69560852837909,6.19075459985469,0.0663148369010568,48.2378774731443,0.51672004203814,2.4258643566565,0.0229581975345586,18.9021460494672,0.17888848634095,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_70_76,73,Bouenza,raw cases,4,6.81607494492904,0.0881267095606291,53.1369555495987,0.68702076876948,4.20667942012993,0.0562527710753745,32.7945539280133,0.43853699091113,2.60939552479911,0.0318739384852545,20.3424016215854,0.24848377785835,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_77_83,80,Bouenza,raw cases,4,5.66290916118719,0,44.1679619264343,0,2.79861278189802,0,21.8278307631886,0,2.86429637928917,0,22.3401311632457,0,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_84_90,87,Bouenza,raw cases,4,9.28519074659866,1.01580214235795,72.4571476743851,7.92682970608315,6.77064163086724,0.741679135054121,52.8348198638565,5.78770604527566,2.51454911573142,0.274123007303827,19.6223278105286,2.13912366080749,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_91_97,94,Bouenza,raw cases,4,9.5040288100047,0.18314471501643,74.2052436014078,1.42995128316513,6.55117268545232,0.125058738493739,51.1500306572238,0.97642950583691,2.95285612455237,0.058085976522691,23.055212944184,0.45352177732822,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_98_104,101,Bouenza,raw cases,4,7.87820012284828,0.0858314132312258,61.540006508657,0.67046605144973,4.6655726676925,0.0503630326198,36.4447929551457,0.39340728934132,3.21262745515577,0.0354683806114258,25.0952135535113,0.27705876210841,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_105_111,108,Bouenza,raw cases,4,9.39072809854177,0.98851034785341,73.3853696214492,7.72487463065984,4.44223353681192,0.467540361839193,34.7145553170006,3.65367007823847,4.94849456172985,0.520969986014217,38.6708143044486,4.07120455242137,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_112_118,115,Bouenza,raw cases,4,10.3927887423173,1.23492472300789,81.2538467640518,9.65500085649278,6.75461465878896,0.820802091068156,52.809543044082,6.4172696073099,3.63817408352834,0.414122631939731,28.4443037199698,3.23773124918288,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_119_125,122,Bouenza,raw cases,4,12.155371643863,1.30492660333205,95.0889705333014,10.2081722359357,7.51586529283265,0.81936880704596,58.7950672592765,6.40975353381617,4.63950635103033,0.485557796286088,36.2939032740249,3.79841870211953,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_126_132,129,Bouenza,raw cases,4,11.8266386073995,0.578663556680986,92.5783830729351,4.52975170706927,6.20560509855278,0.30576292537543,48.5771912953973,2.39349811680193,5.62103350884676,0.272900631305556,44.0011917775378,2.13625359026734,PMC co-delivery with EPI only
