Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Congo-Brazzaville,COG,n_age_0_6,3,4,raw cases,0.0319888916923747,6.8030987346015e-4,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_7_13,10,4,raw cases,0.0350455249111776,0.00391952253697943,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_14_20,17,4,raw cases,0.0395476344460319,0.00292895440935342,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_21_27,24,4,raw cases,0.04702057547428,0.00178557885857997,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_28_34,31,4,raw cases,0.047940421316612,0.00397714359392963,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_35_41,38,4,raw cases,0.0553104229789885,0.0032957839900722,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_42_48,45,4,raw cases,0.0510534267798029,0.00226184766152745,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_49_55,52,4,raw cases,0.0624920155067294,0.00369544745817809,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_56_62,59,4,raw cases,0.015651607356287,0.0010606394654828,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_63_69,66,4,raw cases,0.0206287728361283,0.00162362258061674,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_70_76,73,4,raw cases,0.0327865770786034,0.00238607325549568,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_77_83,80,4,raw cases,0.0403198060416012,0.00157138211399188,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_84_90,87,4,raw cases,0.0278402019737259,0.00141462138440097,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_91_97,94,4,raw cases,0.0364914921056503,0.00194598531114506,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_98_104,101,4,raw cases,0.0471229712962718,0.00240394074807829,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_105_111,108,4,raw cases,0.0563574557640916,0.00412852641027839,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_112_118,115,4,raw cases,0.0623126830934441,0.00336632258075983,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_119_125,122,4,raw cases,0.0620301617777776,0.00414797932264141,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_126_132,129,4,raw cases,0.0650633661866863,0.00278363845090448,PMC co-delivery with EPI only
Congo-Brazzaville,COG,n_age_133_139,136,4,raw cases,0.0782817447384977,0.00843915743804594,PMC co-delivery with EPI only
