Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Gabon,rural/urban merged,GAB,Estuaire,n_age_0_6,3,clinical,ppy,0.161002285417518,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_7_13,10,clinical,ppy,0.179529800889666,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_14_20,17,clinical,ppy,0.166716290406283,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_21_27,24,clinical,ppy,0.149277892437484,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_28_34,31,clinical,ppy,0.213104783227419,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_35_41,38,clinical,ppy,0.232463875097974,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_42_48,45,clinical,ppy,0.0494153012755762,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_49_55,52,clinical,ppy,0.0896220585512115,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_56_62,59,clinical,ppy,0.117082175931685,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_63_69,66,clinical,ppy,0.142776045670268,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_70_76,73,clinical,ppy,0.0942800680410376,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_77_83,80,clinical,ppy,0.0954088582329428,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_84_90,87,clinical,ppy,0.142182946974361,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_91_97,94,clinical,ppy,0.201453677207568,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_98_104,101,clinical,ppy,0.154399857873057,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_105_111,108,clinical,ppy,0.153444319176847,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_112_118,115,clinical,ppy,0.219822899876497,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_119_125,122,clinical,ppy,0.185936975123835,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_126_132,129,clinical,ppy,0.324680284249729,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_133_139,136,clinical,ppy,0.306281076055491,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_140_146,143,clinical,ppy,0.374927473137829,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_147_153,150,clinical,ppy,0.389649671922045,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_154_160,157,clinical,ppy,0.468380896122649,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_161_167,164,clinical,ppy,0.381409707785694,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_168_174,171,clinical,ppy,0.480518276422132,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_175_181,178,clinical,ppy,0.532816938134528,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_182_188,185,clinical,ppy,0.462330339138419,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_189_195,192,clinical,ppy,0.447762874434749,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_196_202,199,clinical,ppy,0.491178947625389,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_203_209,206,clinical,ppy,0.481080647838421,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_210_216,213,clinical,ppy,0.573738860214066,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_217_223,220,clinical,ppy,0.411794354166464,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_224_230,227,clinical,ppy,0.530635082944803,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_231_237,234,clinical,ppy,0.426264177841596,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_238_244,241,clinical,ppy,0.539291862563798,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_245_251,248,clinical,ppy,0.607211965707047,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_252_258,255,clinical,ppy,0.51253027125765,4,PMC co-delivery with EPI only
Gabon,rural/urban merged,GAB,Estuaire,n_age_259_265,262,clinical,ppy,0.426159507218383,4,PMC co-delivery with EPI only
