Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Gabon,rural/urban merged,GAB,Estuaire,n_age_0_6,3,clinical,ppy,0.161002285417518
Gabon,rural/urban merged,GAB,Estuaire,n_age_7_13,10,clinical,ppy,0.179529800889666
Gabon,rural/urban merged,GAB,Estuaire,n_age_14_20,17,clinical,ppy,0.166716290406283
Gabon,rural/urban merged,GAB,Estuaire,n_age_21_27,24,clinical,ppy,0.149277892437484
Gabon,rural/urban merged,GAB,Estuaire,n_age_28_34,31,clinical,ppy,0.213104783227419
Gabon,rural/urban merged,GAB,Estuaire,n_age_35_41,38,clinical,ppy,0.232463875097974
Gabon,rural/urban merged,GAB,Estuaire,n_age_42_48,45,clinical,ppy,0.164653909381956
Gabon,rural/urban merged,GAB,Estuaire,n_age_49_55,52,clinical,ppy,0.267116258115935
Gabon,rural/urban merged,GAB,Estuaire,n_age_56_62,59,clinical,ppy,0.278258580128153
Gabon,rural/urban merged,GAB,Estuaire,n_age_63_69,66,clinical,ppy,0.268998471611224
Gabon,rural/urban merged,GAB,Estuaire,n_age_70_76,73,clinical,ppy,0.263450589282501
Gabon,rural/urban merged,GAB,Estuaire,n_age_77_83,80,clinical,ppy,0.243592404217389
Gabon,rural/urban merged,GAB,Estuaire,n_age_84_90,87,clinical,ppy,0.303051550905732
Gabon,rural/urban merged,GAB,Estuaire,n_age_91_97,94,clinical,ppy,0.353479071022623
Gabon,rural/urban merged,GAB,Estuaire,n_age_98_104,101,clinical,ppy,0.367092304923758
Gabon,rural/urban merged,GAB,Estuaire,n_age_105_111,108,clinical,ppy,0.340547664015549
Gabon,rural/urban merged,GAB,Estuaire,n_age_112_118,115,clinical,ppy,0.421761724571395
Gabon,rural/urban merged,GAB,Estuaire,n_age_119_125,122,clinical,ppy,0.303301769885284
Gabon,rural/urban merged,GAB,Estuaire,n_age_126_132,129,clinical,ppy,0.439362103621255
Gabon,rural/urban merged,GAB,Estuaire,n_age_133_139,136,clinical,ppy,0.357452422543706
Gabon,rural/urban merged,GAB,Estuaire,n_age_140_146,143,clinical,ppy,0.413772865753952
Gabon,rural/urban merged,GAB,Estuaire,n_age_147_153,150,clinical,ppy,0.419924235577809
Gabon,rural/urban merged,GAB,Estuaire,n_age_154_160,157,clinical,ppy,0.487576657914016
Gabon,rural/urban merged,GAB,Estuaire,n_age_161_167,164,clinical,ppy,0.384957964236093
Gabon,rural/urban merged,GAB,Estuaire,n_age_168_174,171,clinical,ppy,0.480703002842494
Gabon,rural/urban merged,GAB,Estuaire,n_age_175_181,178,clinical,ppy,0.532817255641327
Gabon,rural/urban merged,GAB,Estuaire,n_age_182_188,185,clinical,ppy,0.462330339139586
Gabon,rural/urban merged,GAB,Estuaire,n_age_189_195,192,clinical,ppy,0.447762874434749
Gabon,rural/urban merged,GAB,Estuaire,n_age_196_202,199,clinical,ppy,0.491178947625389
Gabon,rural/urban merged,GAB,Estuaire,n_age_203_209,206,clinical,ppy,0.481080647838421
Gabon,rural/urban merged,GAB,Estuaire,n_age_210_216,213,clinical,ppy,0.573738860214066
Gabon,rural/urban merged,GAB,Estuaire,n_age_217_223,220,clinical,ppy,0.411794354166464
Gabon,rural/urban merged,GAB,Estuaire,n_age_224_230,227,clinical,ppy,0.530635082944803
Gabon,rural/urban merged,GAB,Estuaire,n_age_231_237,234,clinical,ppy,0.426264177841596
Gabon,rural/urban merged,GAB,Estuaire,n_age_238_244,241,clinical,ppy,0.539291862563798
Gabon,rural/urban merged,GAB,Estuaire,n_age_245_251,248,clinical,ppy,0.607211965707047
Gabon,rural/urban merged,GAB,Estuaire,n_age_252_258,255,clinical,ppy,0.51253027125765
Gabon,rural/urban merged,GAB,Estuaire,n_age_259_265,262,clinical,ppy,0.426159507218383
Gabon,rural/urban merged,GAB,Estuaire,n_age_266_272,269,clinical,ppy,0.546898289631009
Gabon,rural/urban merged,GAB,Estuaire,n_age_273_279,276,clinical,ppy,0.403736763276969
Gabon,rural/urban merged,GAB,Estuaire,n_age_280_286,283,clinical,ppy,0.531886281518321
Gabon,rural/urban merged,GAB,Estuaire,n_age_287_293,290,clinical,ppy,0.510760630737982
Gabon,rural/urban merged,GAB,Estuaire,n_age_294_300,297,clinical,ppy,0.607502925675055
Gabon,rural/urban merged,GAB,Estuaire,n_age_301_307,304,clinical,ppy,0.539052535618833
Gabon,rural/urban merged,GAB,Estuaire,n_age_308_314,311,clinical,ppy,0.598974624750757
Gabon,rural/urban merged,GAB,Estuaire,n_age_315_321,318,clinical,ppy,0.476974417572991
Gabon,rural/urban merged,GAB,Estuaire,n_age_322_328,325,clinical,ppy,0.58548663003228
Gabon,rural/urban merged,GAB,Estuaire,n_age_329_335,332,clinical,ppy,0.511344100614955
Gabon,rural/urban merged,GAB,Estuaire,n_age_336_342,339,clinical,ppy,0.611080658731974
Gabon,rural/urban merged,GAB,Estuaire,n_age_343_349,346,clinical,ppy,0.567064355871124
Gabon,rural/urban merged,GAB,Estuaire,n_age_350_356,353,clinical,ppy,0.655182941992673
Gabon,rural/urban merged,GAB,Estuaire,n_age_357_363,360,clinical,ppy,0.589135058410587
Gabon,rural/urban merged,GAB,Estuaire,n_age_364_370,367,clinical,ppy,0.484542497162899
Gabon,rural/urban merged,GAB,Estuaire,n_age_371_377,374,clinical,ppy,0.61451069636738
Gabon,rural/urban merged,GAB,Estuaire,n_age_378_384,381,clinical,ppy,0.591346106266905
Gabon,rural/urban merged,GAB,Estuaire,n_age_385_391,388,clinical,ppy,0.56773400546658
Gabon,rural/urban merged,GAB,Estuaire,n_age_392_398,395,clinical,ppy,0.58995751190993
Gabon,rural/urban merged,GAB,Estuaire,n_age_399_405,402,clinical,ppy,0.585612383930124
Gabon,rural/urban merged,GAB,Estuaire,n_age_406_412,409,clinical,ppy,0.535891068236427
Gabon,rural/urban merged,GAB,Estuaire,n_age_413_419,416,clinical,ppy,0.548057220210913
Gabon,rural/urban merged,GAB,Estuaire,n_age_420_426,423,clinical,ppy,0.579944443990054
Gabon,rural/urban merged,GAB,Estuaire,n_age_427_433,430,clinical,ppy,0.651361424689056
Gabon,rural/urban merged,GAB,Estuaire,n_age_434_440,437,clinical,ppy,0.630398139021986
Gabon,rural/urban merged,GAB,Estuaire,n_age_441_447,444,clinical,ppy,0.556265010424382
Gabon,rural/urban merged,GAB,Estuaire,n_age_448_454,451,clinical,ppy,0.660064690120975
Gabon,rural/urban merged,GAB,Estuaire,n_age_455_461,458,clinical,ppy,0.603380072624793
Gabon,rural/urban merged,GAB,Estuaire,n_age_462_468,465,clinical,ppy,0.627724425985066
Gabon,rural/urban merged,GAB,Estuaire,n_age_469_475,472,clinical,ppy,0.658830273963772
Gabon,rural/urban merged,GAB,Estuaire,n_age_476_482,479,clinical,ppy,0.582119876175426
Gabon,rural/urban merged,GAB,Estuaire,n_age_483_489,486,clinical,ppy,0.604207992686405
Gabon,rural/urban merged,GAB,Estuaire,n_age_490_496,493,clinical,ppy,0.58490136721046
Gabon,rural/urban merged,GAB,Estuaire,n_age_497_503,500,clinical,ppy,0.640050417580653
Gabon,rural/urban merged,GAB,Estuaire,n_age_504_510,507,clinical,ppy,0.490487351332427
Gabon,rural/urban merged,GAB,Estuaire,n_age_511_517,514,clinical,ppy,0.599247590276199
Gabon,rural/urban merged,GAB,Estuaire,n_age_518_524,521,clinical,ppy,0.691145518200661
Gabon,rural/urban merged,GAB,Estuaire,n_age_525_531,528,clinical,ppy,0.581631940552431
Gabon,rural/urban merged,GAB,Estuaire,n_age_532_538,535,clinical,ppy,0.732803347739546
