Country,Iso code,Age group,age_in_days_midpoint,units,clinical,severe
Gabon,GAB,n_age_0_6,3,ppy,0.127346547670924,0.0102346569027252
Gabon,GAB,n_age_7_13,10,ppy,0.129055320308023,0.00950233424108547
Gabon,GAB,n_age_14_20,17,ppy,0.145757664109244,0.0143682721362676
Gabon,GAB,n_age_21_27,24,ppy,0.139602995014581,0.00484610063683387
Gabon,GAB,n_age_28_34,31,ppy,0.173236874773261,0.0116037481421996
Gabon,GAB,n_age_35_41,38,ppy,0.198714579183428,0.0125572788074108
Gabon,GAB,n_age_42_48,45,ppy,0.179039193675164,0.0196232350957794
Gabon,GAB,n_age_49_55,52,ppy,0.223736732199742,0.0163357890613872
Gabon,GAB,n_age_56_62,59,ppy,0.244543287796582,0.0136749116883333
Gabon,GAB,n_age_63_69,66,ppy,0.256534068437183,0.010309582148837
Gabon,GAB,n_age_70_76,73,ppy,0.257570505844118,0.0128166894715117
Gabon,GAB,n_age_77_83,80,ppy,0.234680811576412,0.016065813050424
Gabon,GAB,n_age_84_90,87,ppy,0.305065591369213,0.028293304479378
Gabon,GAB,n_age_91_97,94,ppy,0.319287181815924,0.0207883908601371
Gabon,GAB,n_age_98_104,101,ppy,0.320125028764529,0.0212333557997672
Gabon,GAB,n_age_105_111,108,ppy,0.328948130070217,0.0392104516125215
Gabon,GAB,n_age_112_118,115,ppy,0.37794100154546,0.0225687246914749
Gabon,GAB,n_age_119_125,122,ppy,0.315027411524811,0.0273057129146726
Gabon,GAB,n_age_126_132,129,ppy,0.376282533608945,0.0237733885473113
Gabon,GAB,n_age_133_139,136,ppy,0.349332592853484,0.0226544999329435
Gabon,GAB,n_age_140_146,143,ppy,0.399728722183394,0.0217666233644349
Gabon,GAB,n_age_147_153,150,ppy,0.393306773173881,0.0232816738293252
Gabon,GAB,n_age_154_160,157,ppy,0.432528526785093,0.0285941229709638
Gabon,GAB,n_age_161_167,164,ppy,0.400611729578175,0.0355928858379424
Gabon,GAB,n_age_168_174,171,ppy,0.435544650923782,0.0246661120229192
Gabon,GAB,n_age_175_181,178,ppy,0.444445142464716,0.0307627227860262
Gabon,GAB,n_age_182_188,185,ppy,0.449778614086591,0.034320758884629
Gabon,GAB,n_age_189_195,192,ppy,0.425834386640016,0.0215713407243616
Gabon,GAB,n_age_196_202,199,ppy,0.45319676340951,0.0284344453008691
Gabon,GAB,n_age_203_209,206,ppy,0.455656279122916,0.033991149637259
Gabon,GAB,n_age_210_216,213,ppy,0.482867433164571,0.039661012975893
Gabon,GAB,n_age_217_223,220,ppy,0.420198955150042,0.0356744463162054
Gabon,GAB,n_age_224_230,227,ppy,0.500520427638285,0.0279333425956073
Gabon,GAB,n_age_231_237,234,ppy,0.436350220660122,0.0253737839599194
Gabon,GAB,n_age_238_244,241,ppy,0.499040244519757,0.0238394374404391
Gabon,GAB,n_age_245_251,248,ppy,0.494584958491376,0.0202625010884033
Gabon,GAB,n_age_252_258,255,ppy,0.481204808493859,0.0371870078189206
Gabon,GAB,n_age_259_265,262,ppy,0.46457160750889,0.0290070818159307
Gabon,GAB,n_age_266_272,269,ppy,0.523714120240915,0.0429441614909244
Gabon,GAB,n_age_273_279,276,ppy,0.453355822143572,0.0351060204569029
Gabon,GAB,n_age_280_286,283,ppy,0.49485713758507,0.0406335128447248
Gabon,GAB,n_age_287_293,290,ppy,0.503731226633554,0.0311943052865976
Gabon,GAB,n_age_294_300,297,ppy,0.563104516956638,0.0478747334576611
Gabon,GAB,n_age_301_307,304,ppy,0.518513253894758,0.0369713161215402
Gabon,GAB,n_age_308_314,311,ppy,0.54073808216861,0.0331682093590776
Gabon,GAB,n_age_315_321,318,ppy,0.506664379070434,0.0258583924653947
Gabon,GAB,n_age_322_328,325,ppy,0.524087113126249,0.0355671495458986
Gabon,GAB,n_age_329_335,332,ppy,0.523567888365804,0.0356141080270205
Gabon,GAB,n_age_336_342,339,ppy,0.546025847856286,0.0455670140443339
Gabon,GAB,n_age_343_349,346,ppy,0.548807909975824,0.0479429559657434
Gabon,GAB,n_age_350_356,353,ppy,0.560055014866414,0.0489273326657143
Gabon,GAB,n_age_357_363,360,ppy,0.545230781863284,0.032903181878533
Gabon,GAB,n_age_364_370,367,ppy,0.508434196583082,0.0322167386148078
Gabon,GAB,n_age_371_377,374,ppy,0.548754964771545,0.037494940402963
Gabon,GAB,n_age_378_384,381,ppy,0.563764069624458,0.0358367260503898
Gabon,GAB,n_age_385_391,388,ppy,0.508349938076877,0.0413869895907842
Gabon,GAB,n_age_392_398,395,ppy,0.563207549179112,0.0411444132143389
Gabon,GAB,n_age_399_405,402,ppy,0.535416856986141,0.0355635337851086
Gabon,GAB,n_age_406_412,409,ppy,0.538997372770711,0.0369259702750531
Gabon,GAB,n_age_413_419,416,ppy,0.545109205795358,0.0376302075502449
Gabon,GAB,n_age_420_426,423,ppy,0.537415167199122,0.036762576923623
Gabon,GAB,n_age_427_433,430,ppy,0.588073164852627,0.0366500195287794
Gabon,GAB,n_age_434_440,437,ppy,0.571219184569625,0.0309315221693569
Gabon,GAB,n_age_441_447,444,ppy,0.548728294684773,0.0378703123366482
Gabon,GAB,n_age_448_454,451,ppy,0.595353583845302,0.0305499998441226
Gabon,GAB,n_age_455_461,458,ppy,0.587539140151151,0.0347448985548506
Gabon,GAB,n_age_462_468,465,ppy,0.614378673317074,0.03530821803103
Gabon,GAB,n_age_469_475,472,ppy,0.593643929092591,0.0263860535460442
Gabon,GAB,n_age_476_482,479,ppy,0.562011075027924,0.0293823160903346
Gabon,GAB,n_age_483_489,486,ppy,0.569732210390817,0.0316832296315812
Gabon,GAB,n_age_490_496,493,ppy,0.608771031999459,0.0474563620547698
Gabon,GAB,n_age_497_503,500,ppy,0.588959148677946,0.0395569970237568
Gabon,GAB,n_age_504_510,507,ppy,0.53617411792274,0.0349839767395409
Gabon,GAB,n_age_511_517,514,ppy,0.581071872215244,0.0388011863207909
Gabon,GAB,n_age_518_524,521,ppy,0.626632266515481,0.0337762219705841
Gabon,GAB,n_age_525_531,528,ppy,0.604278044520817,0.0320327758876794
Gabon,GAB,n_age_532_538,535,ppy,0.640834879211118,0.0308289579814898
Gabon,GAB,n_age_539_545,542,ppy,0.603113970143291,0.0429653788105464
Gabon,GAB,n_age_546_552,549,ppy,0.570052521179358,0.0377185459641072
Gabon,GAB,n_age_553_559,556,ppy,0.635054884518538,0.0372454209121302
Gabon,GAB,n_age_560_566,563,ppy,0.598036133123034,0.0372749820132515
Gabon,GAB,n_age_567_573,570,ppy,0.623480081218784,0.0302309138035177
Gabon,GAB,n_age_574_580,577,ppy,0.595441761386549,0.0330222917054387
Gabon,GAB,n_age_581_587,584,ppy,0.618690583778634,0.0387262381023124
Gabon,GAB,n_age_588_594,591,ppy,0.6271271804743,0.0375918490985353
Gabon,GAB,n_age_595_601,598,ppy,0.689706196741093,0.0434273332947646
Gabon,GAB,n_age_602_608,605,ppy,0.637247097435166,0.0303586621422084
Gabon,GAB,n_age_609_615,612,ppy,0.63144410363401,0.0339922318480831
Gabon,GAB,n_age_616_622,619,ppy,0.607079113575959,0.0410122765286521
Gabon,GAB,n_age_623_629,626,ppy,0.679059812288753,0.0294539771144274
Gabon,GAB,n_age_630_636,633,ppy,0.633467873315276,0.032703833247241
Gabon,GAB,n_age_637_643,640,ppy,0.626189323814575,0.0275312304859677
Gabon,GAB,n_age_644_650,647,ppy,0.591504820177443,0.0342553057573928
Gabon,GAB,n_age_651_657,654,ppy,0.606511641198892,0.0281079008908041
Gabon,GAB,n_age_658_664,661,ppy,0.605088103488203,0.0326896742659002
Gabon,GAB,n_age_665_671,668,ppy,0.63607277624621,0.0279267052478492
Gabon,GAB,n_age_672_678,675,ppy,0.609023482205344,0.0276379686804937
Gabon,GAB,n_age_679_685,682,ppy,0.590476173751258,0.02572951167632
Gabon,GAB,n_age_686_692,689,ppy,0.672836083802841,0.0302268860991117
Gabon,GAB,n_age_693_699,696,ppy,0.620776036901436,0.0342712695707005
Gabon,GAB,n_age_700_706,703,ppy,0.631828016101404,0.0294736687735878
Gabon,GAB,n_age_707_713,710,ppy,0.643062721187787,0.0355969856576957
Gabon,GAB,n_age_714_720,717,ppy,0.653826156441445,0.038041758547367
Gabon,GAB,n_age_721_727,724,ppy,0.645619048965646,0.0335106738905972
Gabon,GAB,n_age_728_734,731,ppy,0.662793533433559,0.027370555025337
Gabon,GAB,n_age_735_741,738,ppy,0.645650182815273,0.0152133337234128
Gabon,GAB,n_age_742_748,745,ppy,0.653288653540953,0.0268647508468707
Gabon,GAB,n_age_749_755,752,ppy,0.667233198553201,0.0382962147954019
Gabon,GAB,n_age_756_762,759,ppy,0.649679458746409,0.0262977591070791
Gabon,GAB,n_age_763_769,766,ppy,0.652092423580909,0.0263799993306995
Gabon,GAB,n_age_770_776,773,ppy,0.624725625777221,0.0358972740158696
Gabon,GAB,n_age_777_783,780,ppy,0.733380048081519,0.029259363095972
Gabon,GAB,n_age_784_790,787,ppy,0.644769321826399,0.0269616206630477
Gabon,GAB,n_age_791_797,794,ppy,0.7078109304467,0.0222695946200396
Gabon,GAB,n_age_798_804,801,ppy,0.660567799834174,0.0400859823376736
Gabon,GAB,n_age_805_811,808,ppy,0.689263088113263,0.0333582035122426
Gabon,GAB,n_age_812_818,815,ppy,0.648094174624293,0.0290023682758459
Gabon,GAB,n_age_819_825,822,ppy,0.667920292072324,0.030353271917817
Gabon,GAB,n_age_826_832,829,ppy,0.675068793463155,0.031840879058574
Gabon,GAB,n_age_833_839,836,ppy,0.686841714552772,0.0374410899865849
Gabon,GAB,n_age_840_846,843,ppy,0.695310034614322,0.0261682575060174
Gabon,GAB,n_age_847_853,850,ppy,0.645546999092228,0.0345517657399459
Gabon,GAB,n_age_854_860,857,ppy,0.699092748044791,0.0248159624206405
Gabon,GAB,n_age_861_867,864,ppy,0.716141119289188,0.0315943935342335
Gabon,GAB,n_age_868_874,871,ppy,0.691576232766512,0.0271911682925064
Gabon,GAB,n_age_875_881,878,ppy,0.684271663264204,0.0364705160555374
Gabon,GAB,n_age_882_888,885,ppy,0.725880490503685,0.0329036598127568
Gabon,GAB,n_age_889_895,892,ppy,0.711548664890348,0.0322784303579162
Gabon,GAB,n_age_896_902,899,ppy,0.67759518698907,0.0320350488165607
Gabon,GAB,n_age_903_909,906,ppy,0.738029007048417,0.0351400371669982
Gabon,GAB,n_age_910_916,913,ppy,0.712513587971764,0.0376703597916979
