Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Gabon,GAB,0-6mo,91,Estuaire,raw cases,4,2183.62360816422,143.628477042216,1598.54396918149,99.496820804132,315.152528218019,20.7609435265786,231.022478278513,14.4159391323833,585.07963898273,44.1316562380844,84.1300499395064,6.34500439419529,26.7939784491801,30.7262578751099,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Estuaire,raw cases,4,3614.9641608203,237.712298498334,3271.5713396447,213.378195934209,524.809965591826,34.5189123127721,474.919161319684,30.9836709242006,343.392821175592,24.3341025641255,49.8908042721416,3.53524138857151,9.49920402800538,10.2367873761046,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Estuaire,raw cases,4,4103.27081731321,256.565191249712,4103.27081731321,256.565191249712,600.618324850134,37.5487777050261,600.618324850134,37.5487777050261,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Estuaire,raw cases,4,4529.76945803505,231.376762360526,4529.76945803505,231.376762360526,667.84171810689,34.1045643593258,667.84171810689,34.1045643593258,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Estuaire,raw cases,4,5091.57444540293,226.115392958227,5091.57444540293,226.115392958227,728.492390666773,32.3682797534902,728.492390666773,32.3682797534902,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Haut_Ogooue,raw cases,4,1226.41507134513,92.8452776172872,838.884919552103,64.5058183720693,256.944916437979,19.4405824178383,176.017021618174,13.5201500916113,387.530151793025,28.3394592452179,80.9278948198053,5.920432326227,31.5986129694234,30.5233179031836,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Haut_Ogooue,raw cases,4,2056.23827098526,159.506112350605,1823.30314420459,140.888231183467,433.746397084656,33.6504276031832,384.560392908641,29.7191824232095,232.935126780672,18.6178811671381,49.1860041760148,3.93124517997376,11.3282166793374,11.672205467722,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Haut_Ogooue,raw cases,4,2361.95803519554,162.920030185859,2361.95803519554,162.920030185859,502.469822819295,34.6574146550658,502.469822819295,34.6574146550658,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Haut_Ogooue,raw cases,4,2471.92807978203,147.639964725765,2471.92807978203,147.639964725765,529.692008842526,31.6332185229724,529.692008842526,31.6332185229724,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Haut_Ogooue,raw cases,4,2789.69569650141,136.799411949568,2789.69569650141,136.799411949568,579.985694573477,28.4338868962864,579.985694573477,28.4338868962864,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Moyen_Ogooue,raw cases,4,205.125323593165,13.9405829273194,139.059049601522,9.81203720382332,325.893031834141,22.1386196820111,221.253305136695,15.59773683347,66.0662739916431,4.12854572349605,104.639726697446,6.54088284854112,32.207761008911604,29.6153019211653,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Moyen_Ogooue,raw cases,4,376.531053362884,25.6627570310948,331.745478247399,22.7378779996489,602.279833377214,41.0257153001772,530.579333844752,36.3431451212738,44.7855751154849,2.92487903144591,71.7004995324623,4.68257017890335,11.8942580473761,11.3973686767245,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Moyen_Ogooue,raw cases,4,437.305841063335,26.8541540037102,437.305841063335,26.8541540037102,705.53303903311,43.3285338200509,705.53303903311,43.3285338200509,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Moyen_Ogooue,raw cases,4,471.241442435604,22.6579558290435,471.241442435604,22.6579558290435,765.507189212336,36.8073877154994,765.507189212336,36.8073877154994,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Moyen_Ogooue,raw cases,4,514.936039354237,21.8805012366379,514.936039354237,21.8805012366379,811.795124151749,34.4897546604171,811.795124151749,34.4897546604171,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Ngounie,raw cases,4,244.62050047346,18.2240663796021,168.040345746458,12.3782857320253,287.757040979043,21.4251412247008,197.935212069982,14.5687013505675,76.580154727002,5.84578064757687,89.8218289090613,6.85643987413329,31.3056978375819,32.0772572147781,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Ngounie,raw cases,4,442.027284315119,27.0917183837609,394.03190932849,24.0175388382719,523.45122866916,32.0823407807611,466.563526906323,28.4388871391438,47.9953749866288,3.07417954548895,56.8877017628372,3.6434536416173,10.8580118670713,11.3473036370098,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Ngounie,raw cases,4,498.564857260184,31.2509133363935,498.564857260184,31.2509133363935,595.459716464353,37.3232247292775,595.459716464353,37.3232247292775,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Ngounie,raw cases,4,548.035208671956,27.1092602387172,548.035208671956,27.1092602387172,658.980654297939,32.5996565485411,658.980654297939,32.5996565485411,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Ngounie,raw cases,4,607.521004886989,28.1681837600592,607.521004886989,28.1681837600592,708.604669457394,32.8508514955355,708.604669457394,32.8508514955355,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Nyanga,raw cases,4,74.2640979252662,5.69392753934553,54.7985468156421,4.09937273595054,186.979641933811,14.3666470704827,138.137056672883,10.3666162834335,19.4655511096241,1.59455480339499,48.8425852609288,4.00003078704927,26.2112536924811,28.0044800777052,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Nyanga,raw cases,4,118.256240859148,7.89765894349111,105.123547436061,6.94677110126108,299.673449510332,20.0153795923855,266.362725678297,17.6035466768549,13.1326934230879,0.950887842230034,33.3107238320354,2.41183291553055,11.1052857148823,12.040122890008,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Nyanga,raw cases,4,137.489221049313,10.5665097780082,137.489221049313,10.5665097780082,351.32915295094,27.0022124409892,351.32915295094,27.0022124409892,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Nyanga,raw cases,4,153.869566594694,9.59026231240288,153.869566594694,9.59026231240288,396.064085828912,24.6775280599255,396.064085828912,24.6775280599255,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Nyanga,raw cases,4,176.40443027928401,9.38113122767777,176.40443027928401,9.38113122767777,440.754795800414,23.4361251777387,440.754795800414,23.4361251777387,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Ogooue_Ivindo,raw cases,4,174.434013792166,11.6006658074191,139.253487933976,9.3693254030627,334.813774751128,22.2669489922205,267.465169231575,17.9947331783294,35.1805258581897,2.23134040435638,67.3486055195535,4.27221581389111,20.1683863676419,19.2345891296115,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Ogooue_Ivindo,raw cases,4,318.499523116684,20.8768675350978,296.778601440498,19.631703913069,615.433561010218,40.344588798446,573.424524151611,37.9361823992364,21.7209216761862,1.24516362202883,42.0090368586077,2.4084063992096,6.8197658394071,5.96432208967886,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Ogooue_Ivindo,raw cases,4,367.214948359411,21.0137130030131,367.214948359411,21.0137130030131,715.430596550353,40.9369835154836,715.430596550353,40.9369835154836,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Ogooue_Ivindo,raw cases,4,398.115415806654,19.3819594352992,398.115415806654,19.3819594352992,781.035097466987,38.0268249323385,781.035097466987,38.0268249323385,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Ogooue_Ivindo,raw cases,4,447.30438637743,18.6789226954117,447.30438637743,18.6789226954117,851.389166413883,35.5500976911704,851.389166413883,35.5500976911704,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Ogooue_Lolo,raw cases,4,184.245446276928,12.8341735156245,124.1040956917,8.32801032206192,263.580208854628,18.3600464855674,177.765818426094,11.9312185199371,60.1413505852279,4.50616319356258,85.8143904285335,6.42882796563031,32.6419739540446,35.1106612987328,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Ogooue_Lolo,raw cases,4,329.098473959927,23.7853975934594,295.920989934925,20.9814403456656,474.150193861338,34.2686059573867,426.308129661999,30.2257382879991,33.1774840250026,2.80395724779375,47.8420641993388,4.0428676693876,10.0813241780764,11.7885658071354,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Ogooue_Lolo,raw cases,4,380.014501858054,22.8675691670196,380.014501858054,22.8675691670196,552.095302355832,33.2232215119835,552.095302355832,33.2232215119835,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Ogooue_Lolo,raw cases,4,423.051116287568,22.557693600698,423.051116287568,22.557693600698,619.231638260599,33.0083863146551,619.231638260599,33.0083863146551,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Ogooue_Lolo,raw cases,4,476.463527702957,21.7194225348991,476.463527702957,21.7194225348991,676.997427555793,30.857881755905,676.997427555793,30.857881755905,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Ogooue_Maritime,raw cases,4,173.836019855185,15.6123497272881,116.29011271889,10.1143866174609,162.051299577661,14.5787005261604,108.559958806755,9.46881446535014,57.5459071362949,5.49796310982723,53.4913407709058,5.10988606081027,33.1035577000864,35.2154749660622,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Ogooue_Maritime,raw cases,4,274.514170570254,21.2684585680414,242.531929492229,18.7541429466613,257.676187453357,19.9597844249077,227.626349590383,17.5975550450014,31.9822410780254,2.51431562138005,30.0498378629742,2.36222937990631,11.6504882103492,11.8218046377754,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Ogooue_Maritime,raw cases,4,315.51811703099,20.9750872600312,315.51811703099,20.9750872600312,298.522579033382,19.8471962999755,298.522579033382,19.8471962999755,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Ogooue_Maritime,raw cases,4,353.771748726462,25.2868591316891,353.771748726462,25.2868591316891,337.051440830159,24.0983108358539,337.051440830159,24.0983108358539,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Ogooue_Maritime,raw cases,4,401.589249770928,24.7768546461857,401.589249770928,24.7768546461857,371.332471278327,22.9129998719978,371.332471278327,22.9129998719978,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,0-6mo,91,Wouleu_Ntem,raw cases,4,674.350996716248,43.2171136827664,467.321717958908,30.0826646871179,349.116091798141,22.3409189882049,242.245030046152,15.5620611269606,207.02927875734,13.1344489956485,106.871061751989,6.7788578612443,30.7005223934522,30.3917774149876,PMC co-delivery with EPI only
Gabon,GAB,6-12mo,273.5,Wouleu_Ntem,raw cases,4,1257.42380420228,86.7421450696962,1123.91363729033,76.3765831465895,655.393990544213,45.2189454271312,585.75731194386,39.8127136224897,133.510166911948,10.3655619231067,69.6366786003533,5.40623180464146,10.6177540512403,11.9498565717715,PMC co-delivery with EPI only
Gabon,GAB,12-18mo,456,Wouleu_Ntem,raw cases,4,1431.69850307493,73.7727528444876,1431.69850307493,73.7727528444876,752.400574049279,38.7584144273772,752.400574049279,38.7584144273772,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,18-24mo,638.5,Wouleu_Ntem,raw cases,4,1555.20011563417,75.7679401461706,1555.20011563417,75.7679401461706,823.291018235654,40.1069858670216,823.291018235654,40.1069858670216,0,0,0,0,0,0,PMC co-delivery with EPI only
Gabon,GAB,24-30mo,821,Wouleu_Ntem,raw cases,4,1704.15197162998,62.6563831654961,1704.15197162998,62.6563831654961,875.446335064604,32.180971060052,875.446335064604,32.180971060052,0,0,0,0,0,0,PMC co-delivery with EPI only
