Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,Scenario
Gabon,GAB,n_age_0_6,3,Estuaire,raw cases,4,37.0899498993439,3.99786787997388,161.002285417518,17.3541853580252,0,0,0,0,37.0899498993439,3.99786787997388,161.002285417518,17.3541853580252,PMC co-delivery with EPI only
Gabon,GAB,n_age_7_13,10,Estuaire,raw cases,4,48.2316393423519,3.91721875842756,179.529800889666,14.5808335219541,0,0,0,0,48.2316393423519,3.91721875842756,179.529800889666,14.5808335219541,PMC co-delivery with EPI only
Gabon,GAB,n_age_14_20,17,Estuaire,raw cases,4,44.7705599720738,3.82587623558652,166.716290406283,14.2467705105408,0,0,0,0,44.7705599720738,3.82587623558652,166.716290406283,14.2467705105408,PMC co-delivery with EPI only
Gabon,GAB,n_age_21_27,24,Estuaire,raw cases,4,40.0716745654889,0.0170464696298061,149.277892437484,0.0635027382166999,0,0,0,0,40.0716745654889,0.0170464696298061,149.277892437484,0.0635027382166999,PMC co-delivery with EPI only
Gabon,GAB,n_age_28_34,31,Estuaire,raw cases,4,57.1802671688437,4.13095140589205,213.104783227419,15.3956171851414,0,0,0,0,57.1802671688437,4.13095140589205,213.104783227419,15.3956171851414,PMC co-delivery with EPI only
Gabon,GAB,n_age_35_41,38,Estuaire,raw cases,4,62.3519732536152,3.38557787551013,232.463875097974,12.6222878173534,0,0,0,0,62.3519732536152,3.38557787551013,232.463875097974,12.6222878173534,PMC co-delivery with EPI only
Gabon,GAB,n_age_42_48,45,Estuaire,raw cases,4,44.1498356056519,7.5156103908083,164.653909381956,28.0289748594176,30.8997558722913,5.28258541717316,115.23860810638,19.7010550243209,13.2500797333606,2.23302497363514,49.4153012755762,8.32791983509667,PMC co-delivery with EPI only
Gabon,GAB,n_age_49_55,52,Estuaire,raw cases,4,71.5984180112934,4.8424780641352,267.116258115935,18.0661061574889,47.5759281170347,3.22056576502479,177.494199564723,12.0151464245203,24.0224898942587,1.62191229911042,89.6220585512115,6.05095973296856,PMC co-delivery with EPI only
Gabon,GAB,n_age_56_62,59,Estuaire,raw cases,4,74.5564588973169,4.99369039495161,278.258580128153,18.6373819176763,43.1855217156536,2.8789574803849,161.176404196468,10.7448051126535,31.3709371816633,2.11473291456671,117.082175931685,7.89257680502284,PMC co-delivery with EPI only
Gabon,GAB,n_age_63_69,66,Estuaire,raw cases,4,72.0498057042732,1.27585068685939,268.998471611224,4.76339778316642,33.8080034808214,0.59437604967003,126.222425940956,2.21910728780872,38.2418022234518,0.681474637189361,142.776045670268,2.5442904953577,PMC co-delivery with EPI only
