Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Gabon,GAB,n_age_0_6,3,4,raw cases,0.127346547670924,0.0102346569027252,PMC co-delivery with EPI only
Gabon,GAB,n_age_7_13,10,4,raw cases,0.129055320308023,0.00950233424108547,PMC co-delivery with EPI only
Gabon,GAB,n_age_14_20,17,4,raw cases,0.145757664109244,0.0143682721362676,PMC co-delivery with EPI only
Gabon,GAB,n_age_21_27,24,4,raw cases,0.139602995014581,0.00484610063683387,PMC co-delivery with EPI only
Gabon,GAB,n_age_28_34,31,4,raw cases,0.173236874773261,0.0116037481421996,PMC co-delivery with EPI only
Gabon,GAB,n_age_35_41,38,4,raw cases,0.198714579183428,0.0125572788074108,PMC co-delivery with EPI only
Gabon,GAB,n_age_42_48,45,4,raw cases,0.0487683076030549,0.00534134031454895,PMC co-delivery with EPI only
Gabon,GAB,n_age_49_55,52,4,raw cases,0.0697392217457301,0.00497935146962207,PMC co-delivery with EPI only
Gabon,GAB,n_age_56_62,59,4,raw cases,0.096290709564319,0.00537762663182205,PMC co-delivery with EPI only
Gabon,GAB,n_age_63_69,66,4,raw cases,0.127850087556245,0.00500276826430553,PMC co-delivery with EPI only
Gabon,GAB,n_age_70_76,73,4,raw cases,0.0861672970089949,0.00438598616034865,PMC co-delivery with EPI only
Gabon,GAB,n_age_77_83,80,4,raw cases,0.0863938454193964,0.00575584373724173,PMC co-delivery with EPI only
Gabon,GAB,n_age_84_90,87,4,raw cases,0.134964088682668,0.0127959255634128,PMC co-delivery with EPI only
Gabon,GAB,n_age_91_97,94,4,raw cases,0.17342704118426,0.0112074801298877,PMC co-delivery with EPI only
Gabon,GAB,n_age_98_104,101,4,raw cases,0.127075974899752,0.00832794562987677,PMC co-delivery with EPI only
Gabon,GAB,n_age_105_111,108,4,raw cases,0.139498234608796,0.0164964218577586,PMC co-delivery with EPI only
Gabon,GAB,n_age_112_118,115,4,raw cases,0.18701837566845,0.0111827953398054,PMC co-delivery with EPI only
Gabon,GAB,n_age_119_125,122,4,raw cases,0.183907502650773,0.0157290272426385,PMC co-delivery with EPI only
