"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"GHA","PMC co-delivery with EPI only",6,"Ahafo","0-1yr",10189.7588062149,3743.28997836207,13933.048784577
"GHA","PMC co-delivery with EPI only",6,"Ahafo","0-1yr",9959.16324965241,3572.48192949474,13531.6451791471
"GHA","PMC co-delivery with EPI only",6,"Ahafo","0-1yr",9673.21679990617,3563.22830083784,13236.445100744
"GHA","PMC co-delivery with EPI only",6,"Ahafo","0-1yr",10420.6061714509,3574.01934730909,13994.62551876
"GHA","PMC co-delivery with EPI only",6,"Ahafo","0-1yr",9652.51261446973,3471.36134478,13123.8739592497
"GHA","PMC co-delivery with EPI only",6,"Ahafo","1-2yr",8506.42947113143,3206.4783506,11712.9078217314
"GHA","PMC co-delivery with EPI only",6,"Ashanti","0-1yr",43446.8920803417,138271.849931868,181718.74201221
"GHA","PMC co-delivery with EPI only",6,"Ashanti","0-1yr",41894.9533101927,131150.199515921,173045.152826113
"GHA","PMC co-delivery with EPI only",6,"Ashanti","0-1yr",41760.2760707333,132912.172809782,174672.448880515
"GHA","PMC co-delivery with EPI only",6,"Ashanti","0-1yr",41293.4210405276,128585.760454378,169879.181494905
"GHA","PMC co-delivery with EPI only",6,"Ashanti","0-1yr",40128.6047316448,129025.631427896,169154.236159541
"GHA","PMC co-delivery with EPI only",6,"Ashanti","1-2yr",29674.0211792981,91817.7676285633,121491.788807861
"GHA","PMC co-delivery with EPI only",6,"Bono","0-1yr",20829.4201453333,7706.09033477552,28535.5104801088
"GHA","PMC co-delivery with EPI only",6,"Bono","0-1yr",20625.3246185283,7434.45088529733,28059.7755038257
"GHA","PMC co-delivery with EPI only",6,"Bono","0-1yr",20354.6372401863,6907.18093428495,27261.8181744713
"GHA","PMC co-delivery with EPI only",6,"Bono","0-1yr",19782.7388092623,7215.52955753143,26998.2683667937
"GHA","PMC co-delivery with EPI only",6,"Bono","0-1yr",19454.8695478358,7303.44135157821,26758.310899414
"GHA","PMC co-delivery with EPI only",6,"Bono","1-2yr",16084.4272649666,5903.61509252571,21988.0423574923
"GHA","PMC co-delivery with EPI only",6,"Bono_East","0-1yr",23280.0780078556,5526.27502748536,28806.353035341
"GHA","PMC co-delivery with EPI only",6,"Bono_East","0-1yr",22333.7942378436,5303.91312666539,27637.707364509
"GHA","PMC co-delivery with EPI only",6,"Bono_East","0-1yr",21121.4170651672,5428.47677002991,26549.8938351972
"GHA","PMC co-delivery with EPI only",6,"Bono_East","0-1yr",21813.4583803347,5294.9896405056,27108.4480208403
"GHA","PMC co-delivery with EPI only",6,"Bono_East","0-1yr",21201.6351404785,4933.22016196174,26134.8553024402
"GHA","PMC co-delivery with EPI only",6,"Bono_East","1-2yr",17256.39451182,3496.27638222754,20752.6708940475
"GHA","PMC co-delivery with EPI only",6,"Central","0-1yr",19343.8547947749,57750.4278186746,77094.2826134494
"GHA","PMC co-delivery with EPI only",6,"Central","0-1yr",18460.9279868763,56806.3963859063,75267.3243727827
"GHA","PMC co-delivery with EPI only",6,"Central","0-1yr",17350.25591644,55303.4144080252,72653.6703244652
"GHA","PMC co-delivery with EPI only",6,"Central","0-1yr",17826.2045892778,55857.8737396715,73684.0783289493
"GHA","PMC co-delivery with EPI only",6,"Central","0-1yr",16100.0808588231,47546.5911971704,63646.6720559935
"GHA","PMC co-delivery with EPI only",6,"Central","1-2yr",13037.5519352055,32959.1009494612,45996.6528846667
"GHA","PMC co-delivery with EPI only",6,"Eastern","0-1yr",38612.2869778725,47355.6013593134,85967.8883371859
"GHA","PMC co-delivery with EPI only",6,"Eastern","0-1yr",36988.2202208655,46261.1199792203,83249.3402000858
"GHA","PMC co-delivery with EPI only",6,"Eastern","0-1yr",35497.1719647503,42997.6239962222,78494.7959609724
"GHA","PMC co-delivery with EPI only",6,"Eastern","0-1yr",35810.356536,46247.8816023892,82058.2381383892
"GHA","PMC co-delivery with EPI only",6,"Eastern","0-1yr",33602.6665145023,42085.5722581742,75688.2387726764
"GHA","PMC co-delivery with EPI only",6,"Eastern","1-2yr",28020.136351857,32091.3949681067,60111.5313199637
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","0-1yr",3845.14423022908,150114.599990928,153959.744221157
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","0-1yr",3596.09818035933,147292.067825967,150888.166006326
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","0-1yr",3571.83190923428,149496.02888752,153067.860796754
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","0-1yr",3513.01692968743,145231.74142609,148744.758355778
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","0-1yr",3689.31276092021,141049.460899421,144738.773660341
"GHA","PMC co-delivery with EPI only",6,"Greater_Accra","1-2yr",2305.03216088263,117126.366060598,119431.398221481
"GHA","PMC co-delivery with EPI only",6,"North_East","0-1yr",13323.8376232054,2453.80843341386,15777.6460566193
"GHA","PMC co-delivery with EPI only",6,"North_East","0-1yr",12687.2166305332,2300.87298219721,14988.0896127304
"GHA","PMC co-delivery with EPI only",6,"North_East","0-1yr",12142.8364598571,2294.99369834521,14437.8301582023
"GHA","PMC co-delivery with EPI only",6,"North_East","0-1yr",12949.7655391823,2228.67155970926,15178.4370988915
"GHA","PMC co-delivery with EPI only",6,"North_East","0-1yr",12570.8828216997,2252.77978571573,14823.6626074154
"GHA","PMC co-delivery with EPI only",6,"North_East","1-2yr",10483.7676405202,1642.55443453723,12126.3220750574
"GHA","PMC co-delivery with EPI only",6,"Northern","0-1yr",30473.4383120809,14703.9569764903,45177.3952885712
"GHA","PMC co-delivery with EPI only",6,"Northern","0-1yr",27750.8783073682,13540.1293185715,41291.0076259397
"GHA","PMC co-delivery with EPI only",6,"Northern","0-1yr",27101.699512086,13407.9618239848,40509.6613360708
"GHA","PMC co-delivery with EPI only",6,"Northern","0-1yr",28324.9669204667,12862.6881939247,41187.6551143914
"GHA","PMC co-delivery with EPI only",6,"Northern","0-1yr",25903.7669273222,11134.9780045632,37038.7449318854
"GHA","PMC co-delivery with EPI only",6,"Northern","1-2yr",20031.1738040473,6968.82977156336,27000.0035756107
"GHA","PMC co-delivery with EPI only",6,"Oti","0-1yr",16914.5897225208,2627.45438299947,19542.0441055203
"GHA","PMC co-delivery with EPI only",6,"Oti","0-1yr",16779.3766647224,2643.03411399583,19422.4107787182
"GHA","PMC co-delivery with EPI only",6,"Oti","0-1yr",15912.8171251905,2506.12089806509,18418.9380232556
"GHA","PMC co-delivery with EPI only",6,"Oti","0-1yr",15912.3206793573,2556.45257894862,18468.7732583059
"GHA","PMC co-delivery with EPI only",6,"Oti","0-1yr",15399.8753388366,2392.73886699624,17792.6142058329
"GHA","PMC co-delivery with EPI only",6,"Oti","1-2yr",13474.5217969533,1912.71409429638,15387.2358912497
"GHA","PMC co-delivery with EPI only",6,"Savannah","0-1yr",15091.4537928968,333.16960437551,15424.6233972723
"GHA","PMC co-delivery with EPI only",6,"Savannah","0-1yr",14409.3999533548,320.975082596027,14730.3750359508
"GHA","PMC co-delivery with EPI only",6,"Savannah","0-1yr",13501.8522085512,316.896653228572,13818.7488617798
"GHA","PMC co-delivery with EPI only",6,"Savannah","0-1yr",14171.1547847773,314.58162798806,14485.7364127654
"GHA","PMC co-delivery with EPI only",6,"Savannah","0-1yr",13868.0118604538,292.150444331707,14160.1623047855
"GHA","PMC co-delivery with EPI only",6,"Savannah","1-2yr",9417.22221203969,192.850651088372,9610.07286312807
"GHA","PMC co-delivery with EPI only",6,"Upper_East","0-1yr",19984.0298473159,10154.4941252975,30138.5239726134
"GHA","PMC co-delivery with EPI only",6,"Upper_East","0-1yr",19096.4513275891,9434.52318479816,28530.9745123873
"GHA","PMC co-delivery with EPI only",6,"Upper_East","0-1yr",18147.7156484051,9698.8421089296,27846.5577573347
"GHA","PMC co-delivery with EPI only",6,"Upper_East","0-1yr",19424.9359595571,9765.45489198316,29190.3908515403
