Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Ghana,rural/urban merged,GHA,Ahafo,n_age_0_6,3,clinical,ppy,0.118240491661525,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_7_13,10,clinical,ppy,0.125165219621416,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_14_20,17,clinical,ppy,0.169815238941544,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_21_27,24,clinical,ppy,0.220692257320203,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_28_34,31,clinical,ppy,0.202664234123407,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_35_41,38,clinical,ppy,0.261732871831301,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_42_48,45,clinical,ppy,0.0444851220144034,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_49_55,52,clinical,ppy,0.0665107567357964,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_56_62,59,clinical,ppy,0.0728923535244423,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_63_69,66,clinical,ppy,0.156872791939166,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_70_76,73,clinical,ppy,0.0757261666824122,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_77_83,80,clinical,ppy,0.11139855694799,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_84_90,87,clinical,ppy,0.15683093744806,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_91_97,94,clinical,ppy,0.224467622064021,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_98_104,101,clinical,ppy,0.138415890337542,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_105_111,108,clinical,ppy,0.172196855999617,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_112_118,115,clinical,ppy,0.213355605349575,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_119_125,122,clinical,ppy,0.347331760679384,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_126_132,129,clinical,ppy,0.545152874957731,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_133_139,136,clinical,ppy,0.724391091342841,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_140_146,143,clinical,ppy,0.842344790170221,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_147_153,150,clinical,ppy,0.989608371003183,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_154_160,157,clinical,ppy,1.0941544485026,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_161_167,164,clinical,ppy,1.08806441707899,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_168_174,171,clinical,ppy,1.17313049203305,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_175_181,178,clinical,ppy,1.23890842644946,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_182_188,185,clinical,ppy,0.218024446704421,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_189_195,192,clinical,ppy,0.244245080045896,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_196_202,199,clinical,ppy,0.359929861694337,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_203_209,206,clinical,ppy,0.512735310334144,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_210_216,213,clinical,ppy,0.864807489744209,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_217_223,220,clinical,ppy,1.19950874532047,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_224_230,227,clinical,ppy,1.3902451764498,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_231_237,234,clinical,ppy,1.59374608790237,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_238_244,241,clinical,ppy,1.41094893730275,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_245_251,248,clinical,ppy,1.4502743763604,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_252_258,255,clinical,ppy,1.61111013469812,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_259_265,262,clinical,ppy,1.67814855328249,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_266_272,269,clinical,ppy,1.55892339055218,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_273_279,276,clinical,ppy,0.320200045046517,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_280_286,283,clinical,ppy,0.385641017130305,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_287_293,290,clinical,ppy,0.542176895523865,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_294_300,297,clinical,ppy,0.731078244925023,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_301_307,304,clinical,ppy,1.0456974353814,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_308_314,311,clinical,ppy,1.27408035762999,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_315_321,318,clinical,ppy,1.60294007825605,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_322_328,325,clinical,ppy,1.61533220879561,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_329_335,332,clinical,ppy,1.58328193429773,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_336_342,339,clinical,ppy,1.68034461854729,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_343_349,346,clinical,ppy,1.52719905881907,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_350_356,353,clinical,ppy,1.66027204798299,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_357_363,360,clinical,ppy,1.74323847981083,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_364_370,367,clinical,ppy,1.7126708720205,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_371_377,374,clinical,ppy,1.83210082337176,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_378_384,381,clinical,ppy,1.65175831183255,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_385_391,388,clinical,ppy,1.62928065592866,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_392_398,395,clinical,ppy,1.59806531190606,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_399_405,402,clinical,ppy,1.55704518241973,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_406_412,409,clinical,ppy,1.72702468008355,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_413_419,416,clinical,ppy,1.62146847446431,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_420_426,423,clinical,ppy,1.67489699879772,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_427_433,430,clinical,ppy,1.65478284111261,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_434_440,437,clinical,ppy,1.54527402578548,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_441_447,444,clinical,ppy,1.70333163986864,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_448_454,451,clinical,ppy,1.71727828967062,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_455_461,458,clinical,ppy,1.60181288250733,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_462_468,465,clinical,ppy,1.69136457252419,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_469_475,472,clinical,ppy,1.64598957613418,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_476_482,479,clinical,ppy,1.72957798083138,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_483_489,486,clinical,ppy,1.62075372314457,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_490_496,493,clinical,ppy,1.70143436296868,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_497_503,500,clinical,ppy,1.66517502601766,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_504_510,507,clinical,ppy,1.61090742267589,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_511_517,514,clinical,ppy,1.70893941932767,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_518_524,521,clinical,ppy,1.6401576486752,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_525_531,528,clinical,ppy,1.59967449654249,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_532_538,535,clinical,ppy,1.59655165808155,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_539_545,542,clinical,ppy,1.74084362917968,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_546_552,549,clinical,ppy,0.50872392656041,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_553_559,556,clinical,ppy,0.54772153976644,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_560_566,563,clinical,ppy,0.661613000251449,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_567_573,570,clinical,ppy,0.818197279243492,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_574_580,577,clinical,ppy,1.20636277571215,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_581_587,584,clinical,ppy,1.4828443548262,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_588_594,591,clinical,ppy,1.62109100780124,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_595_601,598,clinical,ppy,1.60282008275328,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_602_608,605,clinical,ppy,1.55401461032807,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_609_615,612,clinical,ppy,1.65945923654322,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_616_622,619,clinical,ppy,1.64958541133792,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_623_629,626,clinical,ppy,1.77184124749915,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_630_636,633,clinical,ppy,1.79080844621027,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_637_643,640,clinical,ppy,1.72985234163012,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_644_650,647,clinical,ppy,1.66587421680646,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_651_657,654,clinical,ppy,1.77573175718621,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_658_664,661,clinical,ppy,1.69949379473034,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_665_671,668,clinical,ppy,1.83009127870887,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_672_678,675,clinical,ppy,1.65672562109859,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_679_685,682,clinical,ppy,1.67523596254758,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_686_692,689,clinical,ppy,1.70868154158106,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_693_699,696,clinical,ppy,1.81388011292091,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_700_706,703,clinical,ppy,1.82816060472282,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_707_713,710,clinical,ppy,1.80447873007234,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_714_720,717,clinical,ppy,1.76850407817783,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_721_727,724,clinical,ppy,1.85526720805598,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_728_734,731,clinical,ppy,1.80337801289063,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_735_741,738,clinical,ppy,1.73177693355955,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_742_748,745,clinical,ppy,1.74080269749829,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_749_755,752,clinical,ppy,1.82125967871696,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_756_762,759,clinical,ppy,1.80174482258399,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_763_769,766,clinical,ppy,1.78031238877849,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_770_776,773,clinical,ppy,1.79668040676126,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_777_783,780,clinical,ppy,1.74243549963478,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_784_790,787,clinical,ppy,1.71663980310832,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_791_797,794,clinical,ppy,1.84133155307068,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_798_804,801,clinical,ppy,1.6996976908391,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_805_811,808,clinical,ppy,1.8771557732475601,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_812_818,815,clinical,ppy,1.80841905911233,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_819_825,822,clinical,ppy,1.81253220608329,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_826_832,829,clinical,ppy,1.87819762367138,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_833_839,836,clinical,ppy,1.76062560467785,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_840_846,843,clinical,ppy,1.74462005724836,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_847_853,850,clinical,ppy,1.66289593896865,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_854_860,857,clinical,ppy,1.72461528575621,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_861_867,864,clinical,ppy,1.73137579618317,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_868_874,871,clinical,ppy,1.68857085284979,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_875_881,878,clinical,ppy,1.8084454517123,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_882_888,885,clinical,ppy,1.73243102155524,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_889_895,892,clinical,ppy,1.86788320749196,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_896_902,899,clinical,ppy,1.68146985402713,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_903_909,906,clinical,ppy,1.68754180903463,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_910_916,913,clinical,ppy,1.66622157435593,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_0_6,3,severe,ppy,0.0116344348565637,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_7_13,10,severe,ppy,0.00592057920491946,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_14_20,17,severe,ppy,0.00968834000848392,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_21_27,24,severe,ppy,0.0088061984693551,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_28_34,31,severe,ppy,0.0110712002538686,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_35_41,38,severe,ppy,0.0104267921322111,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_42_48,45,severe,ppy,0.00484176575779361,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_49_55,52,severe,ppy,0.00273324080598593,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_56_62,59,severe,ppy,0.00520936896656488,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_63_69,66,severe,ppy,0.00654423504997435,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_70_76,73,severe,ppy,0.00373973901107333,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_77_83,80,severe,ppy,0.00470082355729678,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_84_90,87,severe,ppy,0.00733995946021144,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_91_97,94,severe,ppy,0.0158963114089046,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_98_104,101,severe,ppy,0.00952677264576817,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_105_111,108,severe,ppy,0.00688062521612512,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_112_118,115,severe,ppy,0.0119423590885966,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_119_125,122,severe,ppy,0.0131481872906193,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_126_132,129,severe,ppy,0.0125299063165971,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_133_139,136,severe,ppy,0.0456722460675894,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_140_146,143,severe,ppy,0.0427543461592336,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_147_153,150,severe,ppy,0.0442201565589755,6,PMC co-delivery with EPI only
Ghana,rural/urban merged,GHA,Ahafo,n_age_154_160,157,severe,ppy,0.0470203491410499,6,PMC co-delivery with EPI only
