Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Ghana,rural/urban merged,GHA,Ahafo,n_age_0_6,3,clinical,ppy,0.118240491661525
Ghana,rural/urban merged,GHA,Ahafo,n_age_7_13,10,clinical,ppy,0.125165219621416
Ghana,rural/urban merged,GHA,Ahafo,n_age_14_20,17,clinical,ppy,0.169815238941544
Ghana,rural/urban merged,GHA,Ahafo,n_age_21_27,24,clinical,ppy,0.220692257320203
Ghana,rural/urban merged,GHA,Ahafo,n_age_28_34,31,clinical,ppy,0.202664234123407
Ghana,rural/urban merged,GHA,Ahafo,n_age_35_41,38,clinical,ppy,0.261732871831301
Ghana,rural/urban merged,GHA,Ahafo,n_age_42_48,45,clinical,ppy,0.247897553827074
Ghana,rural/urban merged,GHA,Ahafo,n_age_49_55,52,clinical,ppy,0.326108628632573
Ghana,rural/urban merged,GHA,Ahafo,n_age_56_62,59,clinical,ppy,0.275320842236864
Ghana,rural/urban merged,GHA,Ahafo,n_age_63_69,66,clinical,ppy,0.393568766593118
Ghana,rural/urban merged,GHA,Ahafo,n_age_70_76,73,clinical,ppy,0.38289475281028
Ghana,rural/urban merged,GHA,Ahafo,n_age_77_83,80,clinical,ppy,0.499539863532768
Ghana,rural/urban merged,GHA,Ahafo,n_age_84_90,87,clinical,ppy,0.543093958157917
Ghana,rural/urban merged,GHA,Ahafo,n_age_91_97,94,clinical,ppy,0.540127048395761
Ghana,rural/urban merged,GHA,Ahafo,n_age_98_104,101,clinical,ppy,0.632437298379241
Ghana,rural/urban merged,GHA,Ahafo,n_age_105_111,108,clinical,ppy,0.71067819849079406
Ghana,rural/urban merged,GHA,Ahafo,n_age_112_118,115,clinical,ppy,0.708557403850686
Ghana,rural/urban merged,GHA,Ahafo,n_age_119_125,122,clinical,ppy,0.808640808720536
Ghana,rural/urban merged,GHA,Ahafo,n_age_126_132,129,clinical,ppy,0.843216324426199
Ghana,rural/urban merged,GHA,Ahafo,n_age_133_139,136,clinical,ppy,0.842154704506355
Ghana,rural/urban merged,GHA,Ahafo,n_age_140_146,143,clinical,ppy,0.893274780153872
Ghana,rural/urban merged,GHA,Ahafo,n_age_147_153,150,clinical,ppy,1.03077649568788
Ghana,rural/urban merged,GHA,Ahafo,n_age_154_160,157,clinical,ppy,1.11854367135267
Ghana,rural/urban merged,GHA,Ahafo,n_age_161_167,164,clinical,ppy,1.09366143499668
Ghana,rural/urban merged,GHA,Ahafo,n_age_168_174,171,clinical,ppy,1.173379508873
Ghana,rural/urban merged,GHA,Ahafo,n_age_175_181,178,clinical,ppy,1.23890883436404
Ghana,rural/urban merged,GHA,Ahafo,n_age_182_188,185,clinical,ppy,1.2647926721231
Ghana,rural/urban merged,GHA,Ahafo,n_age_189_195,192,clinical,ppy,1.26157822498168
Ghana,rural/urban merged,GHA,Ahafo,n_age_196_202,199,clinical,ppy,1.38568267837168
Ghana,rural/urban merged,GHA,Ahafo,n_age_203_209,206,clinical,ppy,1.29827334840662
Ghana,rural/urban merged,GHA,Ahafo,n_age_210_216,213,clinical,ppy,1.38281935008934
Ghana,rural/urban merged,GHA,Ahafo,n_age_217_223,220,clinical,ppy,1.40821845961111
Ghana,rural/urban merged,GHA,Ahafo,n_age_224_230,227,clinical,ppy,1.47968258562428
Ghana,rural/urban merged,GHA,Ahafo,n_age_231_237,234,clinical,ppy,1.66448056435462
Ghana,rural/urban merged,GHA,Ahafo,n_age_238_244,241,clinical,ppy,1.44443268939207
Ghana,rural/urban merged,GHA,Ahafo,n_age_245_251,248,clinical,ppy,1.45820133331256
Ghana,rural/urban merged,GHA,Ahafo,n_age_252_258,255,clinical,ppy,1.61147443918703
Ghana,rural/urban merged,GHA,Ahafo,n_age_259_265,262,clinical,ppy,1.67814914200466
Ghana,rural/urban merged,GHA,Ahafo,n_age_266_272,269,clinical,ppy,1.5589233905545
Ghana,rural/urban merged,GHA,Ahafo,n_age_273_279,276,clinical,ppy,1.41182626786697
Ghana,rural/urban merged,GHA,Ahafo,n_age_280_286,283,clinical,ppy,1.56235832709952
Ghana,rural/urban merged,GHA,Ahafo,n_age_287_293,290,clinical,ppy,1.75224131168952
Ghana,rural/urban merged,GHA,Ahafo,n_age_294_300,297,clinical,ppy,1.68002473425075
Ghana,rural/urban merged,GHA,Ahafo,n_age_301_307,304,clinical,ppy,1.60799613991086
Ghana,rural/urban merged,GHA,Ahafo,n_age_308_314,311,clinical,ppy,1.47844346849273
Ghana,rural/urban merged,GHA,Ahafo,n_age_315_321,318,clinical,ppy,1.6988403602401
Ghana,rural/urban merged,GHA,Ahafo,n_age_322_328,325,clinical,ppy,1.68199731899225
Ghana,rural/urban merged,GHA,Ahafo,n_age_329_335,332,clinical,ppy,1.61834339937701
Ghana,rural/urban merged,GHA,Ahafo,n_age_336_342,339,clinical,ppy,1.68891671888454
Ghana,rural/urban merged,GHA,Ahafo,n_age_343_349,346,clinical,ppy,1.527521929297
Ghana,rural/urban merged,GHA,Ahafo,n_age_350_356,353,clinical,ppy,1.66027259208333
Ghana,rural/urban merged,GHA,Ahafo,n_age_357_363,360,clinical,ppy,1.74323847981325
Ghana,rural/urban merged,GHA,Ahafo,n_age_364_370,367,clinical,ppy,1.7126708720205
Ghana,rural/urban merged,GHA,Ahafo,n_age_371_377,374,clinical,ppy,1.83210082337176
Ghana,rural/urban merged,GHA,Ahafo,n_age_378_384,381,clinical,ppy,1.65175831183255
Ghana,rural/urban merged,GHA,Ahafo,n_age_385_391,388,clinical,ppy,1.62928065592866
Ghana,rural/urban merged,GHA,Ahafo,n_age_392_398,395,clinical,ppy,1.59806531190606
Ghana,rural/urban merged,GHA,Ahafo,n_age_399_405,402,clinical,ppy,1.55704518241973
Ghana,rural/urban merged,GHA,Ahafo,n_age_406_412,409,clinical,ppy,1.72702468008355
Ghana,rural/urban merged,GHA,Ahafo,n_age_413_419,416,clinical,ppy,1.62146847446431
Ghana,rural/urban merged,GHA,Ahafo,n_age_420_426,423,clinical,ppy,1.67489699879772
Ghana,rural/urban merged,GHA,Ahafo,n_age_427_433,430,clinical,ppy,1.65478284111261
Ghana,rural/urban merged,GHA,Ahafo,n_age_434_440,437,clinical,ppy,1.54527402578548
Ghana,rural/urban merged,GHA,Ahafo,n_age_441_447,444,clinical,ppy,1.70333163986864
Ghana,rural/urban merged,GHA,Ahafo,n_age_448_454,451,clinical,ppy,1.71727828967062
Ghana,rural/urban merged,GHA,Ahafo,n_age_455_461,458,clinical,ppy,1.60181288250733
Ghana,rural/urban merged,GHA,Ahafo,n_age_462_468,465,clinical,ppy,1.69136457252419
Ghana,rural/urban merged,GHA,Ahafo,n_age_469_475,472,clinical,ppy,1.64598957613418
Ghana,rural/urban merged,GHA,Ahafo,n_age_476_482,479,clinical,ppy,1.72957798083138
Ghana,rural/urban merged,GHA,Ahafo,n_age_483_489,486,clinical,ppy,1.62075372314457
Ghana,rural/urban merged,GHA,Ahafo,n_age_490_496,493,clinical,ppy,1.70143436296868
Ghana,rural/urban merged,GHA,Ahafo,n_age_497_503,500,clinical,ppy,1.66517502601766
Ghana,rural/urban merged,GHA,Ahafo,n_age_504_510,507,clinical,ppy,1.61090742267589
Ghana,rural/urban merged,GHA,Ahafo,n_age_511_517,514,clinical,ppy,1.70893941932767
Ghana,rural/urban merged,GHA,Ahafo,n_age_518_524,521,clinical,ppy,1.6401576486752
Ghana,rural/urban merged,GHA,Ahafo,n_age_525_531,528,clinical,ppy,1.59967449654249
Ghana,rural/urban merged,GHA,Ahafo,n_age_532_538,535,clinical,ppy,1.59655165808155
Ghana,rural/urban merged,GHA,Ahafo,n_age_539_545,542,clinical,ppy,1.74084362917968
Ghana,rural/urban merged,GHA,Ahafo,n_age_546_552,549,clinical,ppy,1.63888894640136
Ghana,rural/urban merged,GHA,Ahafo,n_age_553_559,556,clinical,ppy,1.68818722263974
Ghana,rural/urban merged,GHA,Ahafo,n_age_560_566,563,clinical,ppy,1.76895003349911
Ghana,rural/urban merged,GHA,Ahafo,n_age_567_573,570,clinical,ppy,1.7204210458304
Ghana,rural/urban merged,GHA,Ahafo,n_age_574_580,577,clinical,ppy,1.83222208396538
Ghana,rural/urban merged,GHA,Ahafo,n_age_581_587,584,clinical,ppy,1.73214324910417
Ghana,rural/urban merged,GHA,Ahafo,n_age_588_594,591,clinical,ppy,1.71458268114929
Ghana,rural/urban merged,GHA,Ahafo,n_age_595_601,598,clinical,ppy,1.6646944272986
Ghana,rural/urban merged,GHA,Ahafo,n_age_602_608,605,clinical,ppy,1.58873549743156
Ghana,rural/urban merged,GHA,Ahafo,n_age_609_615,612,clinical,ppy,1.66950873260304
Ghana,rural/urban merged,GHA,Ahafo,n_age_616_622,619,clinical,ppy,1.65015703442624
Ghana,rural/urban merged,GHA,Ahafo,n_age_623_629,626,clinical,ppy,1.77184297870732
Ghana,rural/urban merged,GHA,Ahafo,n_age_630_636,633,clinical,ppy,1.79080844623161
