Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Ghana,GHA,0-30mo,Ahafo,raw cases,6,30426.0897186648,1085.99781391329,1457.79791786202,52.0331520272327,3269.04097879497,151.449575224736,156.628774067194,7.25636706738129,27157.0487398699,934.548238688558,1301.16914379483,44.7767849598514,10.7442034419217,13.9456611499982,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Ashanti,raw cases,6,114278.06319398,5977.43832061198,447.790312039894,23.4221590388929,12938.0892703886,749.030103119389,50.6969655388114,2.93502019747893,101339.973923592,5228.40821749259,397.093346501083,20.487138841414,11.3215860584083,12.5309549499911,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Bono,raw cases,6,36298.292521135,1602.28878295762,889.171966116426,39.2500629774574,4070.09713425616,223.040137115087,99.7021077243284,5.46364645461008,32228.1953868788,1379.24864584253,789.469858392097,33.7864165228473,11.2129162325922,13.9200960206052,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Bono_East,raw cases,6,44423.4107348833,1827.55772802124,1077.43387950806,44.3251110248643,4742.71450384374,247.949907909684,115.02856720686,6.01371274252512,39680.6962310396,1579.60782011156,962.405312301195,38.3113982823392,10.6761602168461,13.5672818487735,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Central,raw cases,6,104339.186655729,4221.84259783666,952.664311744415,38.5473464158009,10577.0862951004,490.756173537221,96.5736168600835,4.4808274559373,93762.1003606289,3731.08642429943,856.090694884332,34.0665189598636,10.1372136721747,11.6242176766299,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Eastern,raw cases,6,115333.780652027,5160.48986145824,938.434446840478,41.9892716703236,11937.6580161335,687.56102489693,97.132942608902,5.59446630831385,103396.122635893,4472.92883656131,841.301504231576,36.3948053620098,10.3505303898348,13.3235611997238,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Greater_Accra,raw cases,6,59879.6684868983,4019.35193072176,273.377708999063,18.3501554074585,6768.64989594685,426.541359723748,30.9019413154494,1.94735379572345,53111.0185909514,3592.81057099802,242.475767683613,16.402801611735,11.3037531218595,10.6121923901088,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,North_East,raw cases,6,11921.6710104911,856.278098665085,517.970299772451,37.203393975881,1269.57568513428,98.055240373163,55.1602621506773,4.26028383149074,10652.0953253568,758.222858291922,462.810037621774,32.9431101443903,10.6493098494083,11.4513311184799,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Northern,raw cases,6,130910.44177386,4965.83105852589,1750.61254293224,66.4060560742357,10832.9755482109,514.495031795743,144.86501317241,6.88013456935562,120077.466225649,4451.33602673014,1605.74752975983,59.5259215048801,8.27510426320629,10.360703490152,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Oti,raw cases,6,62770.862305402,1788.09896929154,2248.65205545004,64.0553956879366,7006.79884733026,272.162583109332,251.005833781867,9.74972988180097,55764.0634580717,1515.9363861822,1997.64622166817,54.3056658061357,11.1625021387149,15.2207784794578,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Savannah,raw cases,6,32525.8491346335,1413.95284624982,1397.69112839765,60.7599617459841,3072.51633612209,164.520705455393,132.031259417052,7.06973488996101,29453.3327985114,1249.43214079443,1265.6598689806,53.6902268560231,9.44638316252433,11.6355157027864,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Upper_East,raw cases,6,27075.3508264832,1513.578102103,636.647502868641,35.5901471148435,3192.92038912044,193.459031522618,75.0780592140507,4.54897925849918,23882.4304373627,1320.11907058039,561.56944365459,31.0411678563443,11.7927202848923,12.781569134346,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Upper_West,raw cases,6,63237.5962481008,2894.0408222539,2117.2847862596,96.8966084626663,6983.76395417778,343.062803991045,233.82636356063,11.4862312724863,56253.832293923,2550.97801826286,1883.45842269897,85.41037719018,11.0436897803299,11.8541107420823,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Volta,raw cases,6,54946.7869198594,2746.04269011596,733.281252893164,36.6467583854037,6219.0044208408,360.18811755838,82.9944680862504,4.80681781276239,48727.7824990186,2385.85457255758,650.286784806914,31.8399405726413,11.3182312733068,13.1166248381655,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Western,raw cases,6,41089.7918089973,2055.00143364634,497.972462527634,24.9048262197963,3931.904135994,215.197213905722,47.6512510485583,2.6080026648919,37157.8876730033,1839.80421974062,450.321211479076,22.2968235549044,9.56905343855515,10.471876582776,PMC co-delivery with EPI only
Ghana,GHA,0-30mo,Western_North,raw cases,6,47683.2864873851,1475.19861188396,1651.84564918748,51.1038686348224,5064.1242341282,208.227047155658,175.431523271841,7.21340677677968,42619.1622532569,1266.9715647283,1476.41412591564,43.8904618580427,10.6203338888312,14.1151873027954,PMC co-delivery with EPI only
