Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,Scenario
Ghana,GHA,0-6mo,91,Ahafo,raw cases,6,2483.54957438239,116.506708014613,1703.45762874124,76.09428271336,592.349661211065,27.8137028952427,406.71344787538,18.1982799226307,780.091945641146,40.4124253012526,185.636213335685,9.61542297261201,31.4103633641032,34.6867798343285,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Ahafo,raw cases,6,6413.52603076796,295.204263417373,4775.50521824559,210.868059366514,1538.79730484658,70.8141247848113,1146.31269278993,50.6094722541639,1638.02081252237,84.3362040508586,392.484612056647,20.2046525306474,25.5400976727031,28.5687622104632,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Ahafo,raw cases,6,6878.8419222071,262.99214191426603,6878.8419222071,262.99214191426603,1660.6984809951,63.4868361711949,1660.6984809951,63.4868361711949,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Ahafo,raw cases,6,7142.90332470081,212.95544402361801,6291.97510406937,186.254498150993,1732.4276779818,51.6480748775939,1526.42539104125,45.1839204695166,850.928220631448,26.700945872625,206.002286940559,6.4641544080773,11.9129180663675,12.5382781337413,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Ahafo,raw cases,6,7507.26886660657,198.339256543425,7507.26886660657,198.339256543425,1763.29854086733,46.5851538804727,1763.29854086733,46.5851538804727,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Ashanti,raw cases,6,11230.1003519398,757.868781879591,7041.89971107448,521.739715822352,219.148109435959,14.7570131897118,137.666608296478,10.1631246985922,4188.20064086534,236.129066057239,81.4815011394807,4.59388849111961,37.294418657104,31.156985444316,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Ashanti,raw cases,6,21772.9226123686,1357.80635804495,15789.9231795436,960.928985527658,427.235552628602,26.640384457067402,309.997652080357,18.8617194184548,5982.99943282501,396.877372517293,117.237900548245,7.77866503861262,27.4790828008833,29.2293057965011,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Ashanti,raw cases,6,24551.8031557647,1342.21540085127,24551.8031557647,1342.21540085127,484.850332695247,26.5065192434109,484.850332695247,26.5065192434109,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Ashanti,raw cases,6,27068.0972244772,1268.25996802673,24301.208027779,1152.23630348187,536.97703602283,25.1609021314651,482.193637750092,22.8636880258792,2766.88919669829,116.023664544858,54.7833982727382,2.29721410558588,10.2219567698177,9.14825567863488,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Ashanti,raw cases,6,29655.1398494299,1251.28781180944,29655.1398494299,1251.28781180944,569.583387198873,24.0348003403606,569.583387198873,24.0348003403606,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Bono,raw cases,6,3308.38488637929,211.200020595936,2133.68010963229,134.30656867550601,403.355191105359,25.7607187461299,260.431754368319,16.405466951278,1174.704776747,76.89345192043,142.92343673704,9.35525179485182,35.5068958748811,36.4078808815749,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Bono,raw cases,6,6971.13460579685,402.773201833868,5060.14227654298,298.081927720881,855.269202630368,49.4082863907631,621.128546913243,36.5852272165718,1910.99232925387,104.691274112987,234.140655717125,12.8230591741913,27.4129311412921,25.9926116326303,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Bono,raw cases,6,8104.86514253021,371.507525321807,8104.86514253021,371.507525321807,1000.66791272244,45.8663821377633,1000.66791272244,45.8663821377633,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Bono,raw cases,6,8613.92753409935,312.25877417173,7629.52750584406,270.803363090061,1068.11390170391,38.7106776886681,946.272579475992,33.5795595556275,984.400028255292,41.4554110816694,121.841322227917,5.13111813304059,11.428004523586,13.2759795754756,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Bono,raw cases,6,9299.98035232928,304.549261034275,9299.98035232928,304.549261034275,1116.45954141602,36.5571917861622,1116.45954141602,36.5571917861622,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Bono_East,raw cases,6,4000.95719224556,228.928188794209,2652.01637137304,154.830197684733,483.238951632435,27.6813854679802,320.718612642473,18.7554878814442,1348.94082087253,74.0979911094762,162.520338989962,8.92589758653593,33.7154524793959,32.3673513077436,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Bono_East,raw cases,6,8855.5052738791,471.539605045508,6562.52156382747,339.915983451267,1075.37600541172,57.2408438125576,797.288584454001,41.2868870529567,2292.98371005163,131.623621594241,278.087420957722,15.9539567596009,25.8933131327379,27.91358778475,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Bono_East,raw cases,6,9916.82048248344,410.852760246235,9916.82048248344,410.852760246235,1211.84983330612,50.1965515553526,1211.84983330612,50.1965515553526,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Bono_East,raw cases,6,10441.0696144405,376.586123031689,9340.27964152096,334.357827825723,1282.27050373451,46.243119909853,1147.35756712602,41.0677389412052,1100.78997291958,42.228295205966,134.912936608489,5.17538096864788,10.542885102472,11.2134496263455,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Bono_East,raw cases,6,11209.0581718347,339.651050903601,11209.0581718347,339.651050903601,1332.64990082982,40.3790116927627,1332.64990082982,40.3790116927627,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Central,raw cases,6,9331.72051885097,489.097353711558,6049.60431774867,329.159208327841,423.920188324289,22.2263981157865,275.105931589011,14.9741435505297,3282.1162011023,159.938145383717,148.814256735278,7.25225456525679,35.1716084346087,32.7006769040995,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Central,raw cases,6,20540.3520738501,1044.18624402281,15517.1718423589,800.465177019838,939.062550076955,47.7354818068589,709.751343761598,36.6109034414247,5023.1802314912,243.721067002967,229.311206315357,11.1245783654342,24.4551807750472,23.3407659216055,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Central,raw cases,6,23408.600640837,1027.51117099835,23408.600640837,1027.51117099835,1076.84682746924,47.2632669685869,1076.84682746924,47.2632669685869,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Central,raw cases,6,24838.7104103721,956.189425524765,22566.9205478652,869.092464374229,1147.97455228056,44.1916726073634,1043.19346368938,40.1745274570585,2271.78986250694,87.0969611505361,104.781088591185,4.01714515030498,9.14616670903449,9.10875594579354,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Central,raw cases,6,26219.8030118192,704.858403579177,26219.8030118192,704.858403579177,1173.97603924687,31.5544666397214,1173.97603924687,31.5544666397214,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Eastern,raw cases,6,9945.58691147748,639.200271397629,6639.57634521877,422.065716922009,402.937467571172,25.9067700031599,269.349806807846,17.1328453642552,3306.01056625871,217.13455447562,133.587660763326,8.77392463890476,33.240980101873,33.9697218840113,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Eastern,raw cases,6,22417.0023113022,1266.87962711517,16700.4296161226,922.439333903778,913.200336326126,51.6024204117554,680.643662204625,37.5930331627611,5716.57269517964,344.440293211393,232.556674121501,14.0093872489944,25.501057705193,27.1880836852451,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Eastern,raw cases,6,25482.3595017986,1139.55128348937,25482.3595017986,1139.55128348937,1044.85959097691,46.7202615458787,1044.85959097691,46.7202615458787,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Eastern,raw cases,6,27797.8505374388,1125.54098747259,24882.7757827437,999.554810262672,1145.07165911023,46.3647195648947,1025.20005038562,41.1840425388498,2915.0747546951,125.986177209916,119.871608724609,5.1806770260449,10.4866912309245,11.1933886559582,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Eastern,raw cases,6,29690.9813900095,989.317691983482,29690.9813900095,989.317691983482,1184.2743579513,39.4583521349834,1184.2743579513,39.4583521349834,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Greater_Accra,raw cases,6,6428.02629589953,454.857039323892,3915.49720483003,335.89464474715,146.190246963845,10.3547307307608,89.2159910407073,7.65650009390864,2512.5290910695,118.962394576742,56.9742559231375,2.6982306368522,39.0871003852653,26.1537987306011,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Greater_Accra,raw cases,6,10250.1762946912,823.230490999012,7585.95778436501,601.893482359113,234.380577237491,18.8320227554464,173.538952017902,13.7752229569744,2664.21851032618,221.337008639898,60.8416252195886,5.05679979847197,25.9919286627883,26.8863958587467,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Greater_Accra,raw cases,6,12215.9097010709,998.449863714937,12215.9097010709,998.449863714937,281.088168219279,22.9703509075956,281.088168219279,22.9703509075956,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Greater_Accra,raw cases,6,14704.9040334762,888.481232108961,13113.001738925,802.239275601853,339.795274161362,20.5295437601367,303.079025813379,18.5403533670942,1591.90229455118,86.2419565071076,36.7162483479839,1.98919039304257,10.8256557875329,9.7066717214046,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Greater_Accra,raw cases,6,16280.6521617605,854.333304574963,16280.6521617605,854.333304574963,364.258732481219,19.1127040896791,364.258732481219,19.1127040896791,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,North_East,raw cases,6,977.070654502053,78.880697630271,638.275256026367,52.675408013346,211.192701590846,17.0638432660189,138.099584130833,11.409504585262,338.795398475687,26.205289616925,73.0931174600124,5.65433868075687,34.674605865463,33.2214222289897,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,North_East,raw cases,6,2115.43380341882,157.961468037334,1521.73966790063,111.555280962808,460.201286423016,34.3649391680643,331.214201739503,24.2817055317262,593.694135518189,46.4061870745254,128.987084683513,10.0832336363381,28.0648883722431,29.3781690250926,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,North_East,raw cases,6,2634.63485815499,200.832870341396,2634.63485815499,200.832870341396,576.820905890234,43.969822911150104,576.820905890234,43.969822911150104,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,North_East,raw cases,6,2832.32396390366,208.882202720832,2495.23781276326,183.438439039119,623.104193406396,45.9500587177047,549.095593487621,40.3640604260862,337.086151140404,25.4437636817124,74.0085999187751,5.58599829161852,11.9013981252277,12.1809150565679,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,North_East,raw cases,6,3362.20773051153,209.720859935252,3362.20773051153,209.720859935252,716.238188606581,44.6672322483801,716.238188606581,44.6672322483801,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Northern,raw cases,6,9681.9039095795,568.808856853206,7047.0912992873,403.953514670254,644.278733593473,37.823179830191,469.360262533579,26.8786540957271,2634.8126102922,164.855342182952,174.918471059895,10.9445257344639,27.213785996009,28.9825554220398,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Northern,raw cases,6,26048.113343361,1218.10621505776,20494.0818842021,952.363195888821,1743.8833688272,81.5386566098605,1372.57553614266,63.7735629817611,5554.03145915886,265.74301916894,371.307832684532,17.7650936280994,21.3222024411009,21.8160794094905,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Northern,raw cases,6,28931.6653356553,1118.10481310593,28931.6653356553,1118.10481310593,1949.65346165539,75.3487193853972,1949.65346165539,75.3487193853972,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Northern,raw cases,6,31531.0979081409,1069.03631263573,28886.9664293811,985.139642191877,2135.28547493067,72.3931101147053,1956.60372638643,66.723522013193,2644.1314787598,83.8966704438508,178.681748544245,5.66958810151226,8.38578944019937,7.84787845391351,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Northern,raw cases,6,34717.6612771232,991.774860873262,34717.6612771232,991.774860873262,2276.57325683145,65.0310477806032,2276.57325683145,65.0310477806032,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Oti,raw cases,6,4710.97927329791,243.140180998834,3238.56412733023,165.146283012227,839.724347866061,43.3383520467917,577.777809439393,29.4639420383246,1472.41514596768,77.9938979866067,261.946538426669,13.8744100084672,31.2549697323741,32.0777494144338,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Oti,raw cases,6,14428.0998405944,538.333243127527,10674.7495906369,393.336038832939,2587.69803444922,96.5302818425625,1915.39894624374,70.5615640174724,3753.35024995755,144.997204294588,672.299088205475,25.9687178250901,26.0141688193566,26.9344697073146,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Oti,raw cases,6,15182.0083914873,443.730598486482,15182.0083914873,443.730598486482,2740.583403307,80.0877169540067,2740.583403307,80.0877169540067,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Oti,raw cases,6,14433.3770584224,314.985093380074,12652.3436070174,265.813612551936,2617.64486940187,57.1142157572211,2295.23775649961,48.2133660373742,1781.03345140503,49.1714808281375,322.407112902264,8.90084971984687,12.339686299304,15.6107326541974,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Oti,raw cases,6,14016.3977416,247.90985329862,14016.3977416,247.90985329862,2462.08201497817,43.5401560009164,2462.08201497817,43.5401560009164,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Savannah,raw cases,6,2573.74945372534,134.126706643999,1782.07432082189,91.7979564802769,550.059616961508,28.6825363753782,381.283337250209,19.6593809101055,791.675132903446,42.3287501637221,168.776279711299,9.02315546527274,30.7596037274548,31.5587784288715,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Savannah,raw cases,6,6184.05309859295,327.489320348705,4621.43119717727,238.255142084996,1330.17894752137,70.4297778129996,994.530821121521,51.2626996147927,1562.62190141567,89.234178263709,335.64812639985,19.1670781982069,25.2685718654521,27.2479658783053,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Savannah,raw cases,6,7072.6198197388,323.050628377029,7072.6198197388,323.050628377029,1531.61431612653,69.9589637122488,1531.61431612653,69.9589637122488,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Savannah,raw cases,6,8068.55053550459,336.30915393235,7350.33123370162,303.351376904387,1756.27700882036,73.1923910240531,1600.28224068805,66.0342367862855,718.219301802965,32.9577770279622,155.99476813231001,7.15815423776763,8.90146623786436,9.79984536329088,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Savannah,raw cases,6,8626.87622707182,292.977036947736,8626.87622707182,292.977036947736,1818.85753709517,61.7660679570444,1818.85753709517,61.7660679570444,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Upper_East,raw cases,6,2587.11262669481,154.683371631026,1625.78726185859,94.4996923822214,302.652443702302,18.1120990895692,190.451007271822,11.0866294491266,961.325364836214,60.1836792488051,112.20143643048,7.0254696404426,37.1582340450468,38.9076593134807,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Upper_East,raw cases,6,4868.67320475826,312.60856073057,3440.52040337124,221.843567529091,573.085613605286,36.7987602723526,405.204332537292,26.1260690308941,1428.15280138702,90.7649932014797,167.881281067994,10.6726912414585,29.3335112324084,29.034711330157,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Upper_East,raw cases,6,5816.31055738468,327.687247251368,5816.31055738468,327.687247251368,689.223031695874,38.8299919161336,689.223031695874,38.8299919161336,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Upper_East,raw cases,6,6475.97214392518,337.109738867938,5672.52992102797,294.599379795605,771.093786465703,40.1401495510918,675.615147891157,35.0882846436502,803.442222897206,42.5103590723335,95.4786385745468,5.05186490744156,12.4065114092697,12.610243541195,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Upper_East,raw cases,6,7327.28229372023,381.489183622101,7327.28229372023,381.489183622101,845.019798557003,43.9966686942953,845.019798557003,43.9966686942953,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Upper_West,raw cases,6,4223.07741295633,242.635093822759,2753.08079735334,160.64344942269,703.429095877574,40.38849503927,459.025738829232,26.7572692535579,1469.99661560299,81.9916444000687,244.403357048342,13.6312257857121,34.8086589910255,33.792162175832,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Upper_West,raw cases,6,11909.960381728,634.973617175639,8606.70438825891,469.362490091343,1997.09573433546,106.476767016994,1443.9088508549,78.744475160698,3303.25599346907,165.611127084296,553.186883480558,27.7322918562965,27.7352391409871,26.0815760851504,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Upper_West,raw cases,6,14158.4922722175,645.217503077388,14158.4922722175,645.217503077388,2389.34773963348,108.885857971959,2389.34773963348,108.885857971959,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Upper_West,raw cases,6,15580.0854660166,696.462012029104,13369.5741209109,601.001979522425,2641.20099633238,118.071968242019,2267.13705642893,101.917961781094,2210.51134510572,95.4600325066799,374.063939903458,16.1540064609254,14.1880566055128,13.7064234456323,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Upper_West,raw cases,6,17365.9807151825,674.752596149011,17365.9807151825,674.752596149011,2849.98585052494,110.734121649641,2849.98585052494,110.734121649641,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Volta,raw cases,6,5207.65014345936,342.344686788519,3319.37439313684,211.412192139677,346.241663707609,22.7768565787351,221.068496459055,14.0967283357495,1888.27575032253,130.932494648842,125.173167248554,8.6801282429856,36.2596506736179,38.2458088884332,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Volta,raw cases,6,10555.5792771789,611.144562100931,7727.55107115408,459.288996880878,705.432177705554,40.8442570384943,516.686118698867,30.7081786669871,2828.02820602481,151.855565220053,188.746059006687,10.1360783715072,26.7917859528467,24.8477323757933,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Volta,raw cases,6,11917.3726624171,631.71334837886,11917.3726624171,631.71334837886,801.534732248274,42.4814759822492,801.534732248274,42.4814759822492,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Volta,raw cases,6,13055.5346864363,642.501514078959,11552.8342219429,565.101456389474,881.957490454797,43.4011544552615,780.629169081087,38.182135743341,1502.70046449346,77.4000576894848,101.328321373711,5.21901871192049,11.5100645096876,12.0466731974071,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Volta,raw cases,6,14210.6501503677,518.338578768695,14210.6501503677,518.338578768695,929.35995594318,33.8922572366098,929.35995594318,33.8922572366098,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Western,raw cases,6,3659.21881130039,210.995272722943,2465.24108542318,138.85411821256,220.896167083136,12.7482830672705,149.039476369491,8.40711135215087,1193.97772587722,72.1411545103829,71.8566907136457,4.34117171511962,32.6293066211284,34.1908866390155,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Western,raw cases,6,7730.41590049688,480.306674205894,5867.62852164916,372.478914782184,468.967692233885,29.1336371958116,356.110730925246,22.6027707489004,1862.78737884771,107.82775942371,112.856961308638,6.53086644691118,24.0968584721034,22.4497732832851,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Western,raw cases,6,9114.9147333402,483.692581221079,9114.9147333402,483.692581221079,556.605237063277,29.5372126285579,556.605237063277,29.5372126285579,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Western,raw cases,6,9838.08878076624,416.605086294092,8962.94974949716,381.376786322463,603.710652895454,25.5655049034243,550.112677787546,23.4080216990557,875.139031269073,35.2282999716289,53.5979751079083,2.15748320436861,8.89541709544232,8.45604173607241,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Western,raw cases,6,10747.1535830936,463.401819202334,10747.1535830936,463.401819202334,638.697301756823,27.5366690342696,638.697301756823,27.5366690342696,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,0-6mo,91,Western_North,raw cases,6,3385.60849315886,192.055679273306,2298.92889643034,119.674449639035,583.271134841553,33.0853801917805,396.468356557569,20.6441263171958,1086.67959672852,72.3812296342708,186.802778283984,12.4412538745847,32.0970247718933,37.6876278317541,PMC co-delivery with EPI only
Ghana,GHA,6-12mo,273.5,Western_North,raw cases,6,10227.1482488835,420.386283387667,7569.25099890497,315.543753941806,1773.55789661936,72.8958239940826,1313.2790760533,54.7412766977024,2657.89724997855,104.842529445861,460.278820566062,18.1545472963802,25.9886449799797,24.9395695313823,PMC co-delivery with EPI only
Ghana,GHA,12-18mo,456,Western_North,raw cases,6,11355.2026370612,343.022706239293,11355.2026370612,343.022706239293,1982.68447361454,59.8820656023115,1982.68447361454,59.8820656023115,0,0,0,0,0,0,PMC co-delivery with EPI only
Ghana,GHA,18-24mo,638.5,Western_North,raw cases,6,11262.323306817,281.987623349865,9942.77591939585,250.984335274339,1975.98071227814,49.4738006816145,1744.90795923887,44.0444355658185,1319.54738742114,31.0032880755264,231.072753039273,5.42936511579597,11.7164758236201,10.994556323864,PMC co-delivery with EPI only
Ghana,GHA,24-30mo,821,Western_North,raw cases,6,11453.0038014645,237.746319633826,11453.0038014645,237.746319633826,1945.92363906312,40.3904975500691,1945.92363906312,40.3904975500691,0,0,0,0,0,0,PMC co-delivery with EPI only
