Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,Scenario
Ghana,GHA,n_age_0_6,3,6,raw cases,0.0881053436613089,0.00547078034278721,PMC co-delivery with EPI only
Ghana,GHA,n_age_7_13,10,6,raw cases,0.0942530884828704,0.00794078139504837,PMC co-delivery with EPI only
Ghana,GHA,n_age_14_20,17,6,raw cases,0.108244848520381,0.00716546587386443,PMC co-delivery with EPI only
Ghana,GHA,n_age_21_27,24,6,raw cases,0.137413401958536,0.0102732356234938,PMC co-delivery with EPI only
Ghana,GHA,n_age_28_34,31,6,raw cases,0.148155400238232,0.0106069871119254,PMC co-delivery with EPI only
Ghana,GHA,n_age_35_41,38,6,raw cases,0.150518739506767,0.0127679984792891,PMC co-delivery with EPI only
Ghana,GHA,n_age_42_48,45,6,raw cases,0.0255959829559275,0.00161696329542341,PMC co-delivery with EPI only
Ghana,GHA,n_age_49_55,52,6,raw cases,0.0317462058708247,0.00171513743853403,PMC co-delivery with EPI only
Ghana,GHA,n_age_56_62,59,6,raw cases,0.050599590356429,0.0023819845300847,PMC co-delivery with EPI only
Ghana,GHA,n_age_63_69,66,6,raw cases,0.0910986429053722,0.00458411395365774,PMC co-delivery with EPI only
Ghana,GHA,n_age_70_76,73,6,raw cases,0.04636263709473,0.00309775118742892,PMC co-delivery with EPI only
Ghana,GHA,n_age_77_83,80,6,raw cases,0.0564594231554862,0.00329489098305334,PMC co-delivery with EPI only
Ghana,GHA,n_age_84_90,87,6,raw cases,0.082313142389323593,0.00526262274980575,PMC co-delivery with EPI only
Ghana,GHA,n_age_91_97,94,6,raw cases,0.133175559289242,0.00867003283532995,PMC co-delivery with EPI only
Ghana,GHA,n_age_98_104,101,6,raw cases,0.0766302253940721,0.00447888183399459,PMC co-delivery with EPI only
Ghana,GHA,n_age_105_111,108,6,raw cases,0.0893148564051462,0.00477090935929546,PMC co-delivery with EPI only
Ghana,GHA,n_age_112_118,115,6,raw cases,0.11938388537314,0.00833320566503925,PMC co-delivery with EPI only
Ghana,GHA,n_age_119_125,122,6,raw cases,0.189050767780267,0.0099234529393418,PMC co-delivery with EPI only
Ghana,GHA,n_age_126_132,129,6,raw cases,0.307973796988518,0.0162162005063218,PMC co-delivery with EPI only
Ghana,GHA,n_age_133_139,136,6,raw cases,0.442199118744923,0.0292193314437678,PMC co-delivery with EPI only
Ghana,GHA,n_age_140_146,143,6,raw cases,0.491982505575553,0.0289261411324577,PMC co-delivery with EPI only
Ghana,GHA,n_age_147_153,150,6,raw cases,0.536509293796083,0.0316138073754136,PMC co-delivery with EPI only
Ghana,GHA,n_age_154_160,157,6,raw cases,0.571828815649155,0.0354760690230061,PMC co-delivery with EPI only
Ghana,GHA,n_age_161_167,164,6,raw cases,0.576737919724382,0.0313737579589883,PMC co-delivery with EPI only
Ghana,GHA,n_age_168_174,171,6,raw cases,0.610427847096291,0.0398819815286396,PMC co-delivery with EPI only
Ghana,GHA,n_age_175_181,178,6,raw cases,0.631318488188525,0.0382010533650949,PMC co-delivery with EPI only
Ghana,GHA,n_age_182_188,185,6,raw cases,0.128810783457846,0.00771607757357387,PMC co-delivery with EPI only
Ghana,GHA,n_age_189_195,192,6,raw cases,0.152807600333532,0.00691528879519648,PMC co-delivery with EPI only
Ghana,GHA,n_age_196_202,199,6,raw cases,0.196545354239668,0.010923076039192,PMC co-delivery with EPI only
Ghana,GHA,n_age_203_209,206,6,raw cases,0.282606136916767,0.0179054683839925,PMC co-delivery with EPI only
Ghana,GHA,n_age_210_216,213,6,raw cases,0.463359005671168,0.0274445780283675,PMC co-delivery with EPI only
Ghana,GHA,n_age_217_223,220,6,raw cases,0.623266757340375,0.0342492278701234,PMC co-delivery with EPI only
Ghana,GHA,n_age_224_230,227,6,raw cases,0.679128481502506,0.0330713949034169,PMC co-delivery with EPI only
Ghana,GHA,n_age_231_237,234,6,raw cases,0.710549594204052,0.0395938857936426,PMC co-delivery with EPI only
Ghana,GHA,n_age_238_244,241,6,raw cases,0.747377808382299,0.0401204425628608,PMC co-delivery with EPI only
Ghana,GHA,n_age_245_251,248,6,raw cases,0.743606850725668,0.0422549698487081,PMC co-delivery with EPI only
Ghana,GHA,n_age_252_258,255,6,raw cases,0.785028827877054,0.0491932633549119,PMC co-delivery with EPI only
Ghana,GHA,n_age_259_265,262,6,raw cases,0.781941476017371,0.0427601703537489,PMC co-delivery with EPI only
Ghana,GHA,n_age_266_272,269,6,raw cases,0.783939553820192,0.0426488211140694,PMC co-delivery with EPI only
Ghana,GHA,n_age_273_279,276,6,raw cases,0.196302828736938,0.00994459513238554,PMC co-delivery with EPI only
Ghana,GHA,n_age_280_286,283,6,raw cases,0.215876762519798,0.0115169688161454,PMC co-delivery with EPI only
Ghana,GHA,n_age_287_293,290,6,raw cases,0.2627210617104,0.0149168336032295,PMC co-delivery with EPI only
Ghana,GHA,n_age_294_300,297,6,raw cases,0.363523607168987,0.019062485601938,PMC co-delivery with EPI only
Ghana,GHA,n_age_301_307,304,6,raw cases,0.530137715442613,0.0284307287063035,PMC co-delivery with EPI only
Ghana,GHA,n_age_308_314,311,6,raw cases,0.727959205029091,0.0337950096422578,PMC co-delivery with EPI only
Ghana,GHA,n_age_315_321,318,6,raw cases,0.796735356013684,0.0439968688356031,PMC co-delivery with EPI only
Ghana,GHA,n_age_322_328,325,6,raw cases,0.821544260438955,0.0372038398741391,PMC co-delivery with EPI only
Ghana,GHA,n_age_329_335,332,6,raw cases,0.816863340273515,0.0480343614618506,PMC co-delivery with EPI only
Ghana,GHA,n_age_336_342,339,6,raw cases,0.841418684020025,0.0441724611440341,PMC co-delivery with EPI only
Ghana,GHA,n_age_343_349,346,6,raw cases,0.865848298859713,0.0459215041710709,PMC co-delivery with EPI only
Ghana,GHA,n_age_350_356,353,6,raw cases,0.884103683760982,0.0510730701150342,PMC co-delivery with EPI only
Ghana,GHA,n_age_357_363,360,6,raw cases,0.845392844985458,0.0375566783907407,PMC co-delivery with EPI only
Ghana,GHA,n_age_364_370,367,6,raw cases,0.859603883784304,0.0388270909768179,PMC co-delivery with EPI only
Ghana,GHA,n_age_371_377,374,6,raw cases,0.847682034735946,0.0475244980848967,PMC co-delivery with EPI only
Ghana,GHA,n_age_378_384,381,6,raw cases,0.883108523481412,0.046331083967838,PMC co-delivery with EPI only
Ghana,GHA,n_age_385_391,388,6,raw cases,0.865671165369123,0.0437169916365689,PMC co-delivery with EPI only
Ghana,GHA,n_age_392_398,395,6,raw cases,0.88434626372874,0.0456422254687509,PMC co-delivery with EPI only
Ghana,GHA,n_age_399_405,402,6,raw cases,0.85832643016895,0.0448788024639419,PMC co-delivery with EPI only
Ghana,GHA,n_age_406_412,409,6,raw cases,0.888770941112135,0.0417942053274311,PMC co-delivery with EPI only
Ghana,GHA,n_age_413_419,416,6,raw cases,0.859972846811922,0.0432853763467904,PMC co-delivery with EPI only
Ghana,GHA,n_age_420_426,423,6,raw cases,0.877081501035285,0.0440817232656828,PMC co-delivery with EPI only
Ghana,GHA,n_age_427_433,430,6,raw cases,0.878628976375558,0.0427763716757097,PMC co-delivery with EPI only
Ghana,GHA,n_age_434_440,437,6,raw cases,0.896409399281411,0.0416801024373435,PMC co-delivery with EPI only
Ghana,GHA,n_age_441_447,444,6,raw cases,0.886120249313733,0.038180129881418,PMC co-delivery with EPI only
Ghana,GHA,n_age_448_454,451,6,raw cases,0.906085174265906,0.0370526573120115,PMC co-delivery with EPI only
Ghana,GHA,n_age_455_461,458,6,raw cases,0.907152403344981,0.0366540419563437,PMC co-delivery with EPI only
Ghana,GHA,n_age_462_468,465,6,raw cases,0.91703516965685,0.03914258701927,PMC co-delivery with EPI only
Ghana,GHA,n_age_469_475,472,6,raw cases,0.925486743134907,0.0439847102638245,PMC co-delivery with EPI only
Ghana,GHA,n_age_476_482,479,6,raw cases,0.897363332048036,0.0351105261437441,PMC co-delivery with EPI only
Ghana,GHA,n_age_483_489,486,6,raw cases,0.93778727839132,0.0410216439342847,PMC co-delivery with EPI only
Ghana,GHA,n_age_490_496,493,6,raw cases,0.891608637143328,0.0413583677531893,PMC co-delivery with EPI only
Ghana,GHA,n_age_497_503,500,6,raw cases,0.904038281611945,0.0335307996527497,PMC co-delivery with EPI only
Ghana,GHA,n_age_504_510,507,6,raw cases,0.920274061990447,0.0431172565083995,PMC co-delivery with EPI only
Ghana,GHA,n_age_511_517,514,6,raw cases,0.92828063379382,0.048054382115759,PMC co-delivery with EPI only
Ghana,GHA,n_age_518_524,521,6,raw cases,0.923604133155279,0.0466670727357438,PMC co-delivery with EPI only
Ghana,GHA,n_age_525_531,528,6,raw cases,0.939551568107227,0.0432078847633447,PMC co-delivery with EPI only
Ghana,GHA,n_age_532_538,535,6,raw cases,0.929106083055478,0.0385724904762278,PMC co-delivery with EPI only
Ghana,GHA,n_age_539_545,542,6,raw cases,0.915023558468708,0.0375969890825874,PMC co-delivery with EPI only
Ghana,GHA,n_age_546_552,549,6,raw cases,0.377677948601685,0.0151319549495805,PMC co-delivery with EPI only
Ghana,GHA,n_age_553_559,556,6,raw cases,0.384583597649832,0.0151092879838084,PMC co-delivery with EPI only
Ghana,GHA,n_age_560_566,563,6,raw cases,0.415694458924225,0.017944594776807,PMC co-delivery with EPI only
Ghana,GHA,n_age_567_573,570,6,raw cases,0.524691003852825,0.020973646329203,PMC co-delivery with EPI only
Ghana,GHA,n_age_574_580,577,6,raw cases,0.648711375961661,0.0241654686522845,PMC co-delivery with EPI only
Ghana,GHA,n_age_581_587,584,6,raw cases,0.836008385969467,0.0329050160047804,PMC co-delivery with EPI only
Ghana,GHA,n_age_588_594,591,6,raw cases,0.950742559610357,0.0385993339252944,PMC co-delivery with EPI only
Ghana,GHA,n_age_595_601,598,6,raw cases,0.909817872381953,0.0349899911917947,PMC co-delivery with EPI only
Ghana,GHA,n_age_602_608,605,6,raw cases,0.928269019852753,0.0423701293351116,PMC co-delivery with EPI only
Ghana,GHA,n_age_609_615,612,6,raw cases,0.957209275533405,0.0446524081236487,PMC co-delivery with EPI only
Ghana,GHA,n_age_616_622,619,6,raw cases,0.98163821616257,0.0407863744899156,PMC co-delivery with EPI only
Ghana,GHA,n_age_623_629,626,6,raw cases,0.981312500503788,0.0449715216207418,PMC co-delivery with EPI only
Ghana,GHA,n_age_630_636,633,6,raw cases,0.964330304723585,0.0427358857159551,PMC co-delivery with EPI only
Ghana,GHA,n_age_637_643,640,6,raw cases,0.959626674981298,0.0373954896572318,PMC co-delivery with EPI only
Ghana,GHA,n_age_644_650,647,6,raw cases,0.971378450820635,0.0377928874712797,PMC co-delivery with EPI only
Ghana,GHA,n_age_651_657,654,6,raw cases,0.961306891787992,0.038769489062302,PMC co-delivery with EPI only
Ghana,GHA,n_age_658_664,661,6,raw cases,0.974114298016652,0.0391953368721629,PMC co-delivery with EPI only
Ghana,GHA,n_age_665_671,668,6,raw cases,0.984380194920332,0.0405606495545465,PMC co-delivery with EPI only
Ghana,GHA,n_age_672_678,675,6,raw cases,0.989242874962303,0.0390219670887475,PMC co-delivery with EPI only
Ghana,GHA,n_age_679_685,682,6,raw cases,0.966908469353526,0.0346369771649831,PMC co-delivery with EPI only
Ghana,GHA,n_age_686_692,689,6,raw cases,0.993874310658009,0.0351324232761403,PMC co-delivery with EPI only
Ghana,GHA,n_age_693_699,696,6,raw cases,0.979998886966466,0.0320061239507204,PMC co-delivery with EPI only
Ghana,GHA,n_age_700_706,703,6,raw cases,0.999570980172798,0.0462406390193483,PMC co-delivery with EPI only
Ghana,GHA,n_age_707_713,710,6,raw cases,0.981169504348779,0.0371100530539701,PMC co-delivery with EPI only
Ghana,GHA,n_age_714_720,717,6,raw cases,0.992056441795819,0.0410421172917243,PMC co-delivery with EPI only
Ghana,GHA,n_age_721_727,724,6,raw cases,0.992011014911787,0.0391542154825359,PMC co-delivery with EPI only
Ghana,GHA,n_age_728_734,731,6,raw cases,0.979060282510551,0.0322771358578696,PMC co-delivery with EPI only
Ghana,GHA,n_age_735_741,738,6,raw cases,0.993751895956308,0.0347892092071617,PMC co-delivery with EPI only
Ghana,GHA,n_age_742_748,745,6,raw cases,1.01035871177841,0.0331741209957401,PMC co-delivery with EPI only
Ghana,GHA,n_age_749_755,752,6,raw cases,0.988545640969485,0.0418320300425645,PMC co-delivery with EPI only
Ghana,GHA,n_age_756_762,759,6,raw cases,0.993949015867796,0.0323164577967714,PMC co-delivery with EPI only
Ghana,GHA,n_age_763_769,766,6,raw cases,1.00866634823381,0.0342429777642513,PMC co-delivery with EPI only
Ghana,GHA,n_age_770_776,773,6,raw cases,0.998621812623755,0.0385105064357192,PMC co-delivery with EPI only
Ghana,GHA,n_age_777_783,780,6,raw cases,1.01434286819027,0.039741817435593,PMC co-delivery with EPI only
Ghana,GHA,n_age_784_790,787,6,raw cases,1.00264145816434,0.0399460412340534,PMC co-delivery with EPI only
Ghana,GHA,n_age_791_797,794,6,raw cases,1.01693367832859,0.0327662537181724,PMC co-delivery with EPI only
Ghana,GHA,n_age_798_804,801,6,raw cases,1.00009000802621,0.0334394109933682,PMC co-delivery with EPI only
Ghana,GHA,n_age_805_811,808,6,raw cases,1.00530311776431,0.0334563989503105,PMC co-delivery with EPI only
Ghana,GHA,n_age_812_818,815,6,raw cases,1.0238757198936,0.0339796955377746,PMC co-delivery with EPI only
Ghana,GHA,n_age_819_825,822,6,raw cases,1.01468089117258,0.0378415954506216,PMC co-delivery with EPI only
Ghana,GHA,n_age_826_832,829,6,raw cases,1.02664839000831,0.0304845991650338,PMC co-delivery with EPI only
Ghana,GHA,n_age_833_839,836,6,raw cases,0.994310897322741,0.037993480889733,PMC co-delivery with EPI only
Ghana,GHA,n_age_840_846,843,6,raw cases,1.04439883686786,0.0369932193426803,PMC co-delivery with EPI only
Ghana,GHA,n_age_847_853,850,6,raw cases,1.00833901099151,0.0340179824979093,PMC co-delivery with EPI only
Ghana,GHA,n_age_854_860,857,6,raw cases,1.02538977185052,0.0321122330462178,PMC co-delivery with EPI only
Ghana,GHA,n_age_861_867,864,6,raw cases,1.02133445397176,0.0356855083229279,PMC co-delivery with EPI only
Ghana,GHA,n_age_868_874,871,6,raw cases,1.05826236567375,0.0353164469444001,PMC co-delivery with EPI only
Ghana,GHA,n_age_875_881,878,6,raw cases,1.02967971945665,0.0397269208362459,PMC co-delivery with EPI only
Ghana,GHA,n_age_882_888,885,6,raw cases,1.02282862630853,0.031431561168278,PMC co-delivery with EPI only
Ghana,GHA,n_age_889_895,892,6,raw cases,1.0246944152058,0.0324374756740615,PMC co-delivery with EPI only
Ghana,GHA,n_age_896_902,899,6,raw cases,1.01263666742439,0.0365417784931925,PMC co-delivery with EPI only
Ghana,GHA,n_age_903_909,906,6,raw cases,1.01768863097964,0.028202333666224,PMC co-delivery with EPI only
Ghana,GHA,n_age_910_916,913,6,raw cases,1.03090750245556,0.0323638870499199,PMC co-delivery with EPI only
