"Iso code","Scenario","N doses","Admin-1 unit","age","rural","urban","merged"
"GIN","PMC co-delivery with EPI only",4,"Boke","0-1yr",14934.5517858472,8610.41780818438,23544.9695940316
"GIN","PMC co-delivery with EPI only",4,"Boke","0-1yr",10221.2534490189,6203.52407071226,16424.7775197312
"GIN","PMC co-delivery with EPI only",4,"Boke","0-1yr",8074.96359441714,5665.26275912424,13740.2263535414
"GIN","PMC co-delivery with EPI only",4,"Boke","0-1yr",8727.80936411478,6530.41267627127,15258.222040386
"GIN","PMC co-delivery with EPI only",4,"Conakry","0-1yr",351.484750922193,60974.407415297,61325.8921662192
"GIN","PMC co-delivery with EPI only",4,"Conakry","0-1yr",295.978721352995,51360.6537928254,51656.6325141784
"GIN","PMC co-delivery with EPI only",4,"Conakry","0-1yr",276.802822090343,48050.3047865746,48327.1076086649
"GIN","PMC co-delivery with EPI only",4,"Conakry","0-1yr",300.77208556395,52218.2993965012,52519.0714820651
"GIN","PMC co-delivery with EPI only",4,"Faranah","0-1yr",20352.5596354522,6258.34208154631,26610.9017169985
"GIN","PMC co-delivery with EPI only",4,"Faranah","0-1yr",17191.1877282738,5242.85043948635,22434.0381677602
"GIN","PMC co-delivery with EPI only",4,"Faranah","0-1yr",12769.355952236,4141.36520145292,16910.7211536889
"GIN","PMC co-delivery with EPI only",4,"Faranah","0-1yr",12409.290691959,4160.38901066098,16569.6797026199
"GIN","PMC co-delivery with EPI only",4,"Kankan","0-1yr",49135.855671851,16398.4969203869,65534.3525922379
"GIN","PMC co-delivery with EPI only",4,"Kankan","0-1yr",37607.2924858996,13975.633268155,51582.9257540546
"GIN","PMC co-delivery with EPI only",4,"Kankan","0-1yr",35443.5124205457,11575.6815338609,47019.1939544066
"GIN","PMC co-delivery with EPI only",4,"Kankan","0-1yr",37003.1556995453,12608.04110328,49611.1968028253
"GIN","PMC co-delivery with EPI only",4,"Kindia","0-1yr",21298.8888073465,27863.138456136,49162.0272634825
"GIN","PMC co-delivery with EPI only",4,"Kindia","0-1yr",17960.6096346119,22521.6046532496,40482.2142878615
"GIN","PMC co-delivery with EPI only",4,"Kindia","0-1yr",13696.7479262934,16100.8586648074,29797.6065911009
"GIN","PMC co-delivery with EPI only",4,"Kindia","0-1yr",7765.27864934514,15381.6088097304,23146.8874590756
"GIN","PMC co-delivery with EPI only",4,"Labe","0-1yr",14912.8381704983,6115.412785456,21028.2509559543
"GIN","PMC co-delivery with EPI only",4,"Labe","0-1yr",10649.1570706992,4903.5099151584,15552.6669858576
"GIN","PMC co-delivery with EPI only",4,"Labe","0-1yr",7060.5980744489,3290.42916857631,10351.0272430252
"GIN","PMC co-delivery with EPI only",4,"Labe","0-1yr",6557.59816905602,3254.343378048,9811.94154710402
"GIN","PMC co-delivery with EPI only",4,"Mamou","0-1yr",11299.3551847289,3886.20124604081,15185.5564307697
"GIN","PMC co-delivery with EPI only",4,"Mamou","0-1yr",7735.37108396884,3514.74655120457,11250.1176351734
"GIN","PMC co-delivery with EPI only",4,"Mamou","0-1yr",7052.87514260572,3187.94231681085,10240.8174594166
"GIN","PMC co-delivery with EPI only",4,"Mamou","0-1yr",7476.69214833754,2829.31092288,10306.0030712175
"GIN","PMC co-delivery with EPI only",4,"Nzerekore","0-1yr",27838.738688078,10210.164743232,38048.90343131
"GIN","PMC co-delivery with EPI only",4,"Nzerekore","0-1yr",23550.917274265,8688.66791765854,32239.5851919235
"GIN","PMC co-delivery with EPI only",4,"Nzerekore","0-1yr",20287.2857846993,7610.98964535771,27898.275430057
"GIN","PMC co-delivery with EPI only",4,"Nzerekore","0-1yr",22332.0948922013,7369.22296701008,29701.3178592114
