Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value,N doses,Scenario
Guinea,rural/urban merged,GIN,Boke,n_age_0_6,3,clinical,ppy,0.0646741469624854,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_7_13,10,clinical,ppy,0.114404141290265,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_14_20,17,clinical,ppy,0.0952382596882015,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_21_27,24,clinical,ppy,0.101581321424556,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_28_34,31,clinical,ppy,0.129573282358803,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_35_41,38,clinical,ppy,0.176803991877047,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_42_48,45,clinical,ppy,0.0805729320118433,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_49_55,52,clinical,ppy,0.0951873903384371,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_56_62,59,clinical,ppy,0.108940463837474,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_63_69,66,clinical,ppy,0.147623982410461,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_70_76,73,clinical,ppy,0.155243926781761,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_77_83,80,clinical,ppy,0.191816174830882,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_84_90,87,clinical,ppy,0.203430682328231,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_91_97,94,clinical,ppy,0.241180564058151,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_98_104,101,clinical,ppy,0.24662481018383,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_105_111,108,clinical,ppy,0.257786564713136,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_112_118,115,clinical,ppy,0.28982263392106,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_119_125,122,clinical,ppy,0.275766701807608,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_126_132,129,clinical,ppy,0.32591701226891,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_133_139,136,clinical,ppy,0.357743333026262,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_140_146,143,clinical,ppy,0.432211148027783,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_147_153,150,clinical,ppy,0.384724296568228,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_154_160,157,clinical,ppy,0.454204588665167,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_161_167,164,clinical,ppy,0.549102346342307,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_168_174,171,clinical,ppy,0.524589038149016,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_175_181,178,clinical,ppy,0.570553531708961,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_182_188,185,clinical,ppy,0.501867320186543,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_189_195,192,clinical,ppy,0.533583507325322,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_196_202,199,clinical,ppy,0.487835626866066,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_203_209,206,clinical,ppy,0.584212997858217,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_210_216,213,clinical,ppy,0.52036193427319,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_217_223,220,clinical,ppy,0.560789454585819,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_224_230,227,clinical,ppy,0.558471623228179,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_231_237,234,clinical,ppy,0.533826330140371,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_238_244,241,clinical,ppy,0.581745240485351,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_245_251,248,clinical,ppy,0.632325954861176,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_252_258,255,clinical,ppy,0.554960685587914,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_259_265,262,clinical,ppy,0.552059334363306,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_266_272,269,clinical,ppy,0.579900368709201,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_273_279,276,clinical,ppy,0.47741011192221,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_280_286,283,clinical,ppy,0.450418041132917,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_287_293,290,clinical,ppy,0.436673383387729,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_294_300,297,clinical,ppy,0.441322454081911,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_301_307,304,clinical,ppy,0.497447075089277,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_308_314,311,clinical,ppy,0.502385458365289,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_315_321,318,clinical,ppy,0.614151251533817,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_322_328,325,clinical,ppy,0.605208696406301,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_329_335,332,clinical,ppy,0.578806240161147,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_336_342,339,clinical,ppy,0.631558261310032,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_343_349,346,clinical,ppy,0.614775081619139,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_350_356,353,clinical,ppy,0.668981157690344,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_357_363,360,clinical,ppy,0.716591188143898,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_364_370,367,clinical,ppy,0.641557755514416,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_371_377,374,clinical,ppy,0.651966360885813,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_378_384,381,clinical,ppy,0.717338423939018,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_385_391,388,clinical,ppy,0.697453715647608,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_392_398,395,clinical,ppy,0.638079465778153,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_399_405,402,clinical,ppy,0.660014315928443,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_406_412,409,clinical,ppy,0.721656108211029,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_413_419,416,clinical,ppy,0.660381798193587,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_420_426,423,clinical,ppy,0.645860105877788,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_427_433,430,clinical,ppy,0.649391934521715,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_434_440,437,clinical,ppy,0.614942975223311,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_441_447,444,clinical,ppy,0.70903878170678,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_448_454,451,clinical,ppy,0.723476771106706,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_455_461,458,clinical,ppy,0.684119593792546,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_462_468,465,clinical,ppy,0.701357197204905,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_469_475,472,clinical,ppy,0.678509691380167,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_476_482,479,clinical,ppy,0.731827680692691,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_483_489,486,clinical,ppy,0.707829948969544,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_490_496,493,clinical,ppy,0.763776893703068,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_497_503,500,clinical,ppy,0.794768934020728,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_504_510,507,clinical,ppy,0.725936374634423,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_511_517,514,clinical,ppy,0.710055813017223,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_518_524,521,clinical,ppy,0.646506709610958,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_525_531,528,clinical,ppy,0.708217933531679,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_532_538,535,clinical,ppy,0.677622355827916,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_539_545,542,clinical,ppy,0.724187527170804,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_546_552,549,clinical,ppy,0.748241915783704,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_553_559,556,clinical,ppy,0.758534461075326,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_560_566,563,clinical,ppy,0.732667359996886,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_567_573,570,clinical,ppy,0.730870991341338,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_574_580,577,clinical,ppy,0.738666497916789,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_581_587,584,clinical,ppy,0.777983757205938,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_588_594,591,clinical,ppy,0.756700735849862,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_595_601,598,clinical,ppy,0.698943619340239,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_602_608,605,clinical,ppy,0.8272877668082,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_609_615,612,clinical,ppy,0.730042816399,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_616_622,619,clinical,ppy,0.790529334207708,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_623_629,626,clinical,ppy,0.783306792789724,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_630_636,633,clinical,ppy,0.736680705715269,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_637_643,640,clinical,ppy,0.82867258903738406,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_644_650,647,clinical,ppy,0.793883529247586,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_651_657,654,clinical,ppy,0.721370449939055,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_658_664,661,clinical,ppy,0.830189288080237,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_665_671,668,clinical,ppy,0.856281262163796,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_672_678,675,clinical,ppy,0.837426570310819,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_679_685,682,clinical,ppy,0.7665918009898,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_686_692,689,clinical,ppy,0.784239739428742,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_693_699,696,clinical,ppy,0.763571776988324,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_700_706,703,clinical,ppy,0.783638660711133,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_707_713,710,clinical,ppy,0.849564530757566,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_714_720,717,clinical,ppy,0.843094106853788,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_721_727,724,clinical,ppy,0.808981525048275,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_728_734,731,clinical,ppy,0.812977892618202,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_735_741,738,clinical,ppy,0.814690711318249,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_742_748,745,clinical,ppy,0.817382285442542,4,PMC co-delivery with EPI only
Guinea,rural/urban merged,GIN,Boke,n_age_749_755,752,clinical,ppy,0.846034661536688,4,PMC co-delivery with EPI only
